Part_id	Sc_id	enddistance	endpupilsize	length	maxdistance	maxpupilsize	maxpupilvelocity	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	mindistance	minpupilsize	minpupilvelocity	numfixations	numsamples	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	sumabspathangles	sumfixationduration	sumrelpathangles	answer
1	seg9	553.5	2591.0	14971565	562.15	3479.5	0.031882318	1.237749411	553.9747126	183.3125	327.5959136	3209.578544	0.001266279	1.092886279	543.5	2542.5	0.0	16	898	557.7	2571.0	1.003563625	4.447881131	86.21733681	155.5452524	0.003294134	0.839171581	18.56624116	2933	15.30040791	1.0
1	seg8	556.3	2999.5	14989046	562.4	3499.5	0.049147352	1.541475673	553.7043825	270.75	278.7281532	3225.547809	0.000831722	1.037513262	547.05	2224.5	0.0	24	901	550.85	3302.5	0.937648897	3.511968518	130.7710412	141.0119816	0.00305257	0.91197381	35.45394047	6498	22.82529176	1.0
1	seg5	552.85	3536.5	14989042	565.2	4054.5	0.027289102	1.213919256	556.9564103	183.3	496.1847481	3436.721154	0.002082612	1.161400862	549.55	1621.0	0.0	10	901	564.8	2119.0	1.022630204	3.446937481	130.8052411	469.7988425	0.004667458	0.831795885	10.9252733	1833	9.291206899	1.0
1	seg7	556.3	2999.5	14989046	562.4	3499.5	0.049147352	1.541475673	553.7043825	270.75	278.7281532	3225.547809	0.000831722	1.037513262	547.05	2224.5	0.0	24	901	550.85	3302.5	0.937648897	3.511968518	130.7710412	141.0119816	0.00305257	0.91197381	35.45394047	6498	22.82529176	0.0
1	seg6	554.95	3194.5	14972377	563.4	3939.5	0.094926449	1.461723526	552.7854196	280.5135135	306.4425491	3398.070413	0.001023941	1.19871519	546.6	1532.0	0.0	37	900	558.8	3633.0	1.153524784	3.704821501	129.6003733	271.7936565	0.005362875	1.185483805	52.62204694	10379	41.95503166	1.0
1	seg10	547.25	3388.0	14986603	569.6	3826.5	0.064305014	1.592251012	552.3254325	232.0666667	257.4980067	3375.641869	0.001117985	1.071679667	534.1	1901.0	0.0	15	897	555.55	3213.0	0.939319208	6.553944309	233.0357013	279.6753337	0.004241372	0.73266997	22.29151417	3481	13.93183567	1.0
1	seg3	553.5	3697.5	14989048	567.6	3947.5	0.043410387	1.261734722	555.3002155	191.6428571	378.2282415	3499.872845	0.001656061	1.501283448	547.35	1433.0	0.0	14	901	556.05	3301.5	1.234917637	4.799987594	119.0814893	324.7582484	0.004571812	1.081812481	16.40255138	2683	18.01540137	1.0
1	seg2	556.9	1747.0	14987949	573.3	3665.5	0.104840759	1.35963189	559.4926786	326.2083333	319.8452645	3394.439221	0.000908938	1.343932453	542.75	0.982	0.0	24	899	546.3	3431.0	1.214289554	5.57743585	384.194242	259.9129766	0.00492239	1.131332277	31.27153346	7829	29.56651397	1.0
1	seg15	561.3	2449.5	14989026	568.1	3735.0	0.069773028	1.499564887	560.080373	314.375	414.1735904	3230.401421	0.000808605	1.250754587	550.45	1759.0	0.0	24	901	557.3	3041.5	1.047318051	2.987331085	276.0390351	260.1706163	0.003548099	1.119433535	34.48999241	7545	27.51660092	1.0
1	seg13	552.05	3095.5	14972334	572.0	3633.5	0.009966977	1.364651115	553.9285081	221.0487805	366.205799	3139.125554	0.000577304	1.24237626	547.45	2838.0	0.0	41	900	555.6	3082.0	1.035833523	4.152885358	80.75455133	159.0233498	0.000930474	0.823459659	54.58604459	9063	48.45267415	1.0
1	seg14	558.95	3539.0	14989036	568.1	3730.0	0.071059742	1.485969979	560.5244102	333.1538462	411.3150975	3144.124319	0.000961595	1.219118326	554.8	1759.0	0.0	26	901	556.9	3043.0	1.085999906	2.6035026	264.4442765	218.3095956	0.004907248	1.189133523	37.14924947	8662	29.25883982	1.0
1	seg17	539.5	3115.5	14972403	562.85	3500.5	0.111024379	1.503083417	544.194777	300.1463415	365.4745395	3181.732394	0.000719352	1.22656048	536.95	1150.0	0.0	41	900	560.8	3120.0	1.241308504	4.588810825	156.8116005	184.558125	0.004401643	0.989153077	60.12333668	12306	47.83585874	1.0
2	seg9	544.55	4309.0	14989042	571.7	4469.0	0.028880216	1.550869681	554.6280702	169.8846154	220.1400047	4067.207602	0.00091414	1.341242167	539.6	2588.0	0.0	26	901	560.1	4006.0	1.105245092	7.129747588	72.17275216	185.9922764	0.002149233	0.945389439	38.77174202	4417	32.18981201	1.0
2	seg8	559.85	4046.0	14972402	606.35	5051.5	0.041071214	1.48293819	567.2714836	191.1388889	345.6168011	4351.707129	0.001095037	1.603289621	544.75	2852.0	0.0	36	900	606.35	4757.5	1.033725393	10.88277774	116.3983684	349.8480599	0.003330805	0.918085246	51.90283665	6881	54.51184711	1.0
2	seg5	547.0	3880.0	14989058	581.4	4570.5	0.008886754	1.39666715	555.9289976	236.0416667	382.8148203	4112.115752	0.000611255	1.606933219	546.4	3611.0	0.0	24	901	578.7	4309.5	1.174989596	4.755266579	163.6014455	243.5372143	0.000871035	1.131330327	32.12334446	5665	35.35253082	1.0
2	seg7	559.85	4046.0	14972402	606.35	5051.5	0.041071214	1.48293819	567.2714836	191.1388889	345.6168011	4351.707129	0.001095037	1.603289621	544.75	2852.0	0.0	36	900	606.35	4757.5	1.033725393	10.88277774	116.3983684	349.8480599	0.003330805	0.918085246	51.90283665	6881	54.51184711	1.0
2	seg6	561.3	4134.0	14986697	614.45	5051.5	0.095292422	1.586494343	569.2405229	161.9142857	257.4397438	4380.953159	0.001615024	1.643319565	525.5	2296.0	0.0	35	899	538.3	4100.0	1.006825381	20.73977605	114.8588319	371.5919833	0.007253338	0.91052998	53.94080768	5667	54.22954565	1.0
2	seg10	553.7	4145.0	14971500	566.7	4596.0	0.061903332	1.734788394	551.0647619	169.0	568.9038928	4021.573016	0.001487457	1.522413424	538.65	1179.0	0.0	21	898	541.75	4157.5	0.760600189	7.07643075	114.7580063	518.0579604	0.005349113	1.116338307	34.69576788	3549	28.92585506	1.0
2	seg3	555.65	4172.5	14989053	575.3	4394.0	0.037886521	1.558808826	564.7094667	254.2	267.1941457	3812.090667	0.000811486	1.562316325	551.85	2146.0	0.0	20	901	569.7	3679.5	1.107407063	5.816539872	156.1421754	288.0484395	0.00242636	1.031693528	29.6173677	5084	28.12169385	1.0
2	seg2	569.7	4350.5	14989080	576.3	4662.5	0.068988292	1.43191667	570.6397025	195.8166667	286.4867162	4361.077231	0.001156804	1.646229274	562.85	1492.0	0.0	60	901	572.5	4320.5	1.121837935	2.347223585	94.24499118	187.5688084	0.004224107	1.030872331	84.48308352	11749	95.48129788	0.0
2	seg15	544.35	4436.0	14986538	567.05	4801.0	0.008706617	1.573683738	545.4479003	190.0740741	348.5874959	4481.979003	0.000687479	1.617306128	532.75	4104.0	0.0	27	897	556.5	4213.5	1.136785457	9.181581724	60.3508498	210.5248068	0.000858103	1.068560863	40.9157772	5132	40.4326532	1.0
2	seg13	551.0	4705.5	14987347	587.6	4998.0	0.104533173	1.607801309	556.6619617	186.46875	290.9377157	4672.691388	0.001107966	1.762331783	548.75	1732.0	0.0	32	899	587.6	1732.0	1.102226733	5.202573886	81.66492688	313.2264111	0.006008837	0.990741126	49.84184057	5967	52.86995348	1.0
2	seg14	539.25	4566.0	14985130	567.05	4578.5	0.008706617	1.554742043	553.0288382	165.85	281.9713418	4268.890041	0.000828223	1.726631761	538.3	3936.0	0.0	20	895	563.0	3959.0	1.169361098	7.524038442	59.02209667	155.5937263	0.00095641	1.142828278	29.54009881	3317	31.0793717	1.0
2	seg17	547.2	3772.5	14989033	608.3	4688.0	0.187451216	1.549311934	566.6292831	165.625	296.6333616	4168.17983	0.001221098	1.768846403	530.35	1427.0	0.0	64	901	535.35	4420.5	1.114565393	24.14681799	76.96659758	321.5305614	0.006910167	0.991914656	97.60665186	10600	109.668477	1.0
3	seg9	543.6	3395.0	14988233	554.3	3879.5	0.068456134	1.421590942	538.9875187	234.974359	235.0091222	3489.061286	0.000587967	0.93288271	512.3	1748.0	0.0	39	899	520.4	2728.0	1.019534881	5.359325534	161.1208254	158.6720835	0.002775794	0.787040733	54.0204558	9164	34.51666026	1.0
3	seg8	540.45	3770.5	14970229	554.3	3893.5	0.005703993	1.52725332	533.4989552	190.0909091	274.7105525	3586.843284	0.000645015	0.962952661	512.3	2728.0	0.0	22	896	528.75	3332.0	0.99675346	9.871115871	78.14571803	198.9041537	0.000659036	0.902580513	32.07231972	4182	19.25905322	1.0
3	seg5	534.2	1439.0	14983340	549.1	3998.0	0.032246442	1.482278805	526.0166667	164.9	327.5479775	3483.251773	0.001606947	1.223224158	486.15	1439.0	0.0	10	893	548.0	3733.0	1.391386324	7.850047012	75.77811176	369.2532166	0.003584009	1.169329487	13.34050925	1649	9.785793264	1.0
3	seg7	540.45	3770.5	14970229	554.3	3893.5	0.005703993	1.52725332	533.4989552	190.0909091	274.7105525	3586.843284	0.000645015	0.962952661	512.3	2728.0	0.0	22	896	528.75	3332.0	0.99675346	9.871115871	78.14571803	198.9041537	0.000659036	0.902580513	32.07231972	4182	19.25905322	0.0
3	seg6	545.0	3362.0	14970701	558.7	4164.0	0.024677274	1.828933373	541.6094664	227.4857143	313.8423753	3641.942341	0.000679058	1.393941445	496.85	2589.0	0.0	35	898	505.2	3670.0	1.134647481	10.62151224	98.1605442	254.5513	0.001814686	1.007330314	62.18373468	7962	46.00006768	1.0
3	seg10	548.7	3746.5	14972402	557.0	3864.0	0.021795257	1.642666421	544.7147761	206.7272727	337.5285521	3497.523881	0.000705787	1.362052602	536.15	2992.0	0.0	22	900	545.8	3410.0	1.032653211	4.527333606	117.0279502	157.7542555	0.001549432	0.778262012	34.49599485	4548	27.24105204	1.0
3	seg3	509.1	3995.0	14985624	527.0	4073.5	0.083883752	1.527337303	516.1396667	288.6666667	282.5824465	3777.321667	0.001083051	1.512482918	481.7	1735.0	0.0	15	897	481.7	3477.0	1.236343696	5.94062398	292.8904395	288.1243647	0.005168042	1.203500807	21.38272224	4330	19.66227794	1.0
3	seg2	523.45	3947.0	14983508	527.0	4021.5	0.083883752	1.500947809	516.6368182	302.5	152.422922	3681.918182	0.002092576	1.34001082	481.7	1735.0	0.0	6	895	521.9	1741.0	1.069775722	7.846104852	274.1968271	387.7859793	0.008399839	1.087399342	7.504739047	1815	5.360043279	0.0
3	seg15	520.2	1374.0	14988155	529.65	4052.5	0.006364837	1.680194245	512.2095918	235.6428571	291.5637785	3621.391837	0.000860044	1.22182776	488.8	1374.0	0.0	14	899	488.8	3842.0	1.076225278	6.139012896	255.7467519	364.6020084	0.000832989	1.014109942	21.84252519	3299	14.66193312	1.0
3	seg13	513.9	3223.0	14987354	568.5	4230.0	0.006185072	1.333827369	531.2263636	134.4666667	276.8353973	3814.512121	0.000942055	1.384696274	495.7	3223.0	0.0	15	899	496.0	4028.0	1.134165004	16.58995763	43.71966976	262.2246462	0.000861726	1.093512007	18.67358317	2017	18.00105156	1.0
3	seg14	511.0	2379.0	14988158	529.65	4052.5	0.004202942	1.957506918	511.6224771	192.8571429	291.4153941	3686.431193	0.000927724	1.499886539	488.8	1686.0	0.0	14	899	519.05	3866.5	0.914613539	7.511565541	211.5426333	348.3834523	0.000748316	0.964981986	25.44758993	2700	17.99863847	1.0
3	seg17	514.9	3476.0	14969782	530.75	3768.5	0.003902732	1.527210679	514.5782895	156.5	299.5916188	3408.239035	0.000575198	1.44441233	493.1	3030.0	0.0	18	898	515.65	3383.0	1.232155934	6.428702513	55.02646422	134.8751131	0.000606045	0.915381084	25.96258154	2817	23.11059728	0.0
4	seg9	590.6	3625.0	14989050	627.5	3930.5	0.042632401	1.444597439	607.6721119	181.0526316	472.6844761	3527.712996	0.000915196	1.311622342	587.6	2622.0	0.0	38	901	626.75	3323.5	1.031982497	7.123444804	75.04879399	238.195734	0.002162506	0.98329522	53.45010524	6880	47.21840433	0.0
4	seg8	616.5	3748.5	14972409	639.9	3748.5	0.009486641	1.62634847	615.1287796	184.5263158	508.9397681	3239.785975	0.000867881	1.273529205	607.0	2982.5	0.0	38	900	609.15	3126.0	0.965865857	5.385846768	77.09549601	129.3387774	0.00138361	0.877565987	60.17489339	7012	45.84705137	1.0
4	seg5	595.15	3418.5	14989071	620.9	3910.0	0.028761859	1.579036985	604.4158482	227.9736842	494.1259351	3366.924851	0.000898928	1.36263065	592.15	2888.0	0.0	38	901	602.45	3272.0	0.971990275	5.820867789	197.621873	142.1641646	0.001797027	0.95628774	58.42436845	8663	49.05470341	0.0
4	seg7	616.5	3748.5	14972409	639.9	3748.5	0.009486641	1.62634847	615.1287796	184.5263158	508.9397681	3239.785975	0.000867881	1.273529205	607.0	2982.5	0.0	38	900	609.15	3126.0	0.965865857	5.385846768	77.09549601	129.3387774	0.00138361	0.877565987	60.17489339	7012	45.84705137	0.0
4	seg6	614.75	3305.5	14989042	624.8	4126.0	0.038546983	1.462429422	608.2556858	203.7857143	359.9876448	3480.823564	0.000927664	1.368975392	593.25	2296.5	0.0	56	901	598.3	3656.0	1.100366101	4.721727066	80.11644123	291.9820485	0.002248892	1.024495797	80.43361821	11412	73.92467115	0.0
4	seg10	598.95	3084.0	14972376	623.8	3930.5	0.026238367	1.599969837	599.23407	208.7352941	417.1538976	3555.183241	0.001001165	1.016171274	576.8	2967.0	0.0	34	900	604.25	3887.0	0.959832298	7.917535038	237.4173296	146.339219	0.001997536	0.92216116	52.79900463	7097	32.51748075	0.0
4	seg3	586.15	3829.5	14972415	632.65	4252.5	0.112698889	1.333503359	600.9673489	271.12	339.2837287	3673.079922	0.001191441	1.117478338	577.8	1686.0	0.0	25	900	586.8	3361.0	1.294066434	15.33519909	167.0589517	221.5947271	0.005539797	1.120402475	32.00408061	6778	25.70200177	1.0
4	seg2	612.15	3483.0	14989052	615.65	4183.0	0.07506155	1.478708256	603.6135623	242.0851064	261.9633398	3790.242724	0.001321575	1.495967059	596.0	1753.0	0.0	47	901	600.2	3943.5	1.076012768	4.18719528	187.8454302	180.0762583	0.004138944	1.018643247	68.0205798	11378	67.31851764	0.0
4	seg15	615.05	3694.5	14989067	635.8	4035.0	0.090068452	1.625363154	615.0559618	203.3076923	579.3645679	3611.115262	0.001070285	1.298141059	600.05	2141.0	0.0	39	901	619.35	3461.0	1.012883152	6.505266747	109.1353949	216.234231	0.00432063	1.00528051	61.76379986	7929	48.03121918	0.0
4	seg13	619.2	3069.0	14989034	621.3	3887.5	0.108916241	1.616433074	614.5645658	217.6818182	380.1436676	3464.397059	0.001046935	1.717215023	593.0	1388.0	0.0	44	901	615.2	3667.0	1.156500466	4.921287662	103.6159664	285.04705	0.005486332	1.01541514	69.50662217	9578	72.12303097	1.0
4	seg14	615.25	3714.5	14989065	635.8	4035.0	0.090068452	1.612973931	615.9293419	194.1714286	603.4001407	3512.858318	0.001085554	1.294152675	600.05	2141.0	0.0	35	901	621.2	3184.5	1.018503151	7.418676506	101.0877562	214.2830121	0.004511587	0.966081337	54.84111367	6796	42.70703827	0.0
4	seg17	566.1	3500.5	14989038	579.1	3993.5	0.022275593	1.566801167	557.9142207	255.22	264.2807411	3331.761092	0.000713918	1.748686345	463.8	2840.0	0.0	50	901	499.8	3795.5	1.253916777	27.46017062	266.0303259	299.0888447	0.00134413	1.171984293	76.77325718	12761	83.93694457	0.0
5	seg9	551.0	4533.0	14989047	551.4	4842.0	0.077874512	1.387545546	526.8321161	207.25	293.0327742	3898.401685	0.001082684	1.168626662	458.05	2532.0	0.0	32	901	525.5	3792.0	1.082910162	10.46151813	129.8937531	217.1680862	0.003714676	0.910645526	43.01391194	6632	35.05879986	1.0
5	seg8	525.65	3886.5	14989041	539.9	4842.0	0.074761304	1.593740565	518.1445476	255.4583333	288.3662005	4353.341067	0.001361438	1.242761426	458.05	2154.0	0.0	24	901	529.25	4314.5	1.266217663	8.290655946	292.2418562	310.1568409	0.004554856	1.10732822	36.656033	6131	27.34075138	1.0
5	seg5	515.65	4456.0	14983973	528.7	4647.0	0.031045457	1.369936662	512.0272201	203.1875	305.4559666	4272.992278	0.001369393	0.572300224	464.6	3137.0	0.0	16	895	501.2	4141.5	1.437133636	9.952303033	113.0664812	222.131133	0.002751447	0.962867889	20.54904994	3251	8.012203142	1.0
5	seg7	525.65	3886.5	14989041	539.9	4842.0	0.074761304	1.593740565	518.1445476	255.4583333	288.3662005	4353.341067	0.001361438	1.242761426	458.05	2154.0	0.0	24	901	529.25	4314.5	1.266217663	8.290655946	292.2418562	310.1568409	0.004554856	1.10732822	36.656033	6131	27.34075138	1.0
5	seg6	529.65	4055.0	14987607	536.4	4804.0	0.043953405	1.509169427	527.6762687	257.6764706	313.7399695	4184.729104	0.001225895	1.481995122	517.55	3249.5	0.0	34	899	529.1	3816.5	1.153093777	4.109971409	161.0760635	279.9259033	0.002801353	1.160687571	49.8025911	8761	47.4238439	1.0
5	seg10	530.1	4126.0	14987295	551.4	4932.0	0.070493575	1.666950166	529.0258621	231.2	354.3268036	4323.65625	0.001426508	1.121244245	518.2	2306.0	0.0	25	897	545.75	4003.0	1.11801749	7.509490706	192.8753916	221.2825829	0.004373966	0.975157721	40.00680399	5780	25.78861764	0.0
5	seg3	508.05	3745.0	14972367	519.8	4954.0	0.040831032	1.385907568	507.9901051	223.3125	469.6530678	4369.328371	0.001508284	1.128000247	496.1	2188.0	0.0	32	900	507.8	4208.0	1.15704146	4.225909348	130.7670762	279.1443055	0.003602842	1.085388326	42.96313462	7146	33.8400074	1.0
5	seg2	489.45	4774.0	14989042	506.0	4981.0	0.024798847	1.293205891	489.6526316	242.2307692	479.9668715	4412.989474	0.001090514	1.221138109	462.9	3612.0	0.0	39	901	470.85	4020.0	1.06571242	11.15479713	193.8925993	296.4113109	0.002210195	1.033441731	49.14182384	9447	45.18211002	1.0
5	seg15	557.0	3945.0	14970535	576.5	4678.0	0.071990393	1.570382476	543.4972892	232.7037037	439.31787	4134.013052	0.001703637	1.039125961	475.0	2632.0	0.0	27	898	475.0	3979.0	1.113075905	16.61027953	129.5245195	209.0416509	0.005202173	0.864927055	40.82994437	6283	25.97814903	1.0
5	seg13	519.5	3850.5	14985551	532.35	4994.0	0.009666767	1.503276404	514.7599472	249.8709677	305.9708946	4028.935739	0.000781906	0.995923281	483.95	3718.0	0.0	31	897	484.95	4501.5	1.224900578	11.51927886	133.9021389	184.5191635	0.001132735	0.99945819	45.09829213	7746	28.88177515	1.0
5	seg14	545.6	4649.5	14982533	576.5	4780.0	0.071990393	1.590839032	537.4441606	225.3043478	463.0943296	4098.616788	0.001642432	1.019657192	465.65	2632.0	0.0	23	895	518.7	4617.0	1.093328803	25.1916939	121.6692367	217.1710346	0.005393127	0.928131467	34.99845871	5182	21.41280103	1.0
5	seg12	529.7	4255.5	14970196	544.55	4674.5	0.070493575	1.65830527	532.1865513	243.1190476	229.4387389	4229.693076	0.000981349	1.27971149	517.95	1546.0	0.0	42	898	526.3	4426.0	0.820549234	4.255827247	137.474823	284.7060273	0.003379914	0.905589828	67.99051607	10211	51.18845961	1.0
5	seg17	510.3	3572.0	14988950	511.2	4300.0	0.011047733	1.445405443	485.8254352	226.1612903	247.5871569	3717.0706	0.000906508	1.246961269	421.75	3332.0	0.0	31	895	421.75	4053.5	1.065626065	27.26914742	118.1897054	167.9823881	0.001433104	1.00372263	43.3621633	7011	36.16187681	1.0
6	seg9	507.3	3900.5	14989059	518.55	4242.5	0.061666867	1.599869141	510.3844548	281.255814	171.7978416	3914.262181	0.001027509	1.382852178	505.15	1990.0	0.0	43	901	508.65	3969.5	1.13656702	2.564500502	192.0157599	204.0510593	0.002820873	0.951808404	67.19450392	12094	56.69693929	1.0
6	seg8	513.7	3923.0	14989059	519.55	4457.0	0.026658661	1.567951534	505.9829714	296.2857143	217.9302084	3988.790286	0.000764216	1.761176493	491.8	2984.0	0.0	42	901	498.75	4333.5	1.149439795	7.517977027	172.838891	222.6065766	0.00170941	0.931822105	64.28601289	12444	70.44705972	1.0
6	seg5	536.5	4061.5	14972405	546.2	4285.0	0.017832483	1.45389009	538.666992	278.6590909	201.1924624	4049.318025	0.000643501	1.605614735	530.15	3239.0	0.0	44	900	541.55	4202.0	1.296762941	2.860885346	137.012127	119.4430534	0.001280951	1.18298289	62.51727385	12261	67.43581888	1.0
6	seg7	513.7	3923.0	14989059	519.55	4457.0	0.026658661	1.567951534	505.9829714	296.2857143	217.9302084	3988.790286	0.000764216	1.761176493	491.8	2984.0	0.0	42	901	498.75	4333.5	1.149439795	7.517977027	172.838891	222.6065766	0.00170941	0.931822105	64.28601289	12444	70.44705972	1.0
6	seg6	498.75	3852.5	14972389	539.7	4898.5	0.031375728	1.484869292	509.2783217	250.5957447	257.6305108	4329.701632	0.001179573	1.618142595	490.5	1883.0	0.0	47	900	534.4	4318.0	1.074601196	17.774122	141.7600023	296.6498858	0.002548266	0.95850435	68.30398744	11778	72.81641678	1.0
6	seg1	635.0	4267.0	14989056	640.5	4386.0	0.026568598	1.370907298	633.7720705	386.6060606	216.0291269	4040.246303	0.000757495	1.517323413	628.15	2578.0	0.0	33	901	639.6	4215.5	1.25376266	2.767977443	284.6000417	140.0416303	0.001696343	1.167698674	43.86903352	12758	47.0370258	1.0
6	seg10	502.7	4045.0	14989058	514.25	4374.5	0.053194044	1.658064832	505.6710646	314.4146341	263.1297434	3944.229332	0.000738343	1.592092171	494.2	2852.0	0.0	41	901	511.8	3955.0	0.9028053	4.770635829	204.1641467	125.1108366	0.002192011	1.066276052	66.32259328	12891	62.09159465	0.0
