Part_id	Sc_id	answer	endpupilsize	maxpupilsize	maxpupilvelocity	meanpupilsize	meanpupilvelocity	minpupilsize	minpupilvelocity	startpupilsize	stddevpupilsize	stddevpupilvelocity
18	seg17	1.0	2767.0	2767.0	0.006724707	2451.731935	0.000353215	2193.0	0	2503.0	86.10666571	0.000432191
19	seg16	1.0	3058.0	3163.0	0.073251276	2857.108036	0.001048483	1728.0	0	3142.5	129.5546142	0.00346288
19	seg9	1.0	2838.0	3098.5	0.036325428	2817.139286	0.000940355	1381.0	0	2799.0	110.1735643	0.002175523
19	seg5	1.0	2779.0	3166.0	0.085019514	2848.290009	0.000930868	1103.0	0	2778.5	111.9146241	0.003021594
19	seg4	0.0	2762.0	3253.0	0.055542212	2848.054078	0.001096604	1241.0	0	2873.0	104.4345433	0.003375019
19	seg7	1.0	2867.0	3125.0	0.042269589	2801.074124	0.001201367	1686.0	0	2853.0	121.0469435	0.002950651
19	seg6	0.0	2802.0	3251.0	0.085019514	2803.360598	0.001214458	1103.0	0	2732.5	119.0277207	0.003864062
19	seg1	0.0	3140.0	3240.5	0.023296307	2961.624776	0.000987078	1941.0	0	2787.0	127.3949972	0.002040421
19	seg10	0.0	3148.0	3310.0	0.042872583	2895.710878	0.001165019	1381.0	0	2903.0	132.5429591	0.002896995
19	seg3	1.0	3099.5	3374.0	0.06034224	3071.989446	0.001127038	1663.0	0	3124.5	144.7969738	0.003196973
19	seg2	1.0	3268.0	3591.0	0.084604299	3116.982558	0.00106139	1932.0	0	2958.5	140.9694276	0.003438315
19	seg15	0.0	2833.5	3311.5	0.050438333	2822.815566	0.001396808	1802.0	0	2713.5	135.9360623	0.003895127
19	seg13	1.0	2163.0	3191.0	0.059831882	2868.85682	0.00113526	1051.0	0	2915.5	150.2314777	0.003165424
19	seg11	1.0	2801.5	3310.0	0.073251276	2910.220129	0.001144699	1728.0	0	2814.5	149.8125386	0.003486483
19	seg12	1.0	2801.5	3310.0	0.073251276	2910.220129	0.001144699	1728.0	0	2814.5	149.8125386	0.003486483
19	seg17	1.0	2667.0	2997.0	0.048093666	2681.332278	0.001249867	1729.0	0	2052.5	117.2613631	0.00345
20	seg16	1.0	4215.5	4218.5	0.042779946	3809.880362	0.000928349	2197.0	0	3440.5	196.7736213	0.001767412
20	seg9	1.0	3543.5	4163.0	0.024978984	3871.94051	0.001020925	3121.0	0	4083.0	127.0357608	0.002061196
20	seg5	1.0	3691.5	4301.0	0.016452504	3648.347826	0.00100134	3250.0	0	3791.0	220.6813528	0.001811579
20	seg4	1.0	3324.5	4034.0	0.052479885	3534.829584	0.000955192	2013.0	0	3655.0	142.7409155	0.002679113
20	seg7	1.0	3953.0	4163.0	0.007745887	3793.524226	0.000778446	3406.0	0	3904.0	152.3718721	0.001059702
20	seg6	1.0	3578.5	4084.0	0.013119971	3847.328671	0.000896414	3500.5	0	3932.5	148.3371764	0.001640566
20	seg1	1.0	3444.0	4951.0	0.020897136	3962.368889	0.001056945	3413.0	0	3615.0	219.7363893	0.002222354
20	seg10	0.0	3949.0	4237.0	0.064184929	3878.116	0.002251387	2800.0	0	3336.5	178.5236627	0.006239244
20	seg3	0.0	3490.0	4321.0	0.06382851	3704.957143	0.001234074	2491.0	0	3469.0	216.6069582	0.003626503
20	seg2	1.0	4216.0	4321.0	0.015610928	3961.778875	0.000796348	3624.0	0	4029.0	168.4198411	0.001330767
20	seg15	0.0	3775.5	4755.0	0.027020536	3814.584951	0.000968746	3047.5	0	3323.0	203.4199726	0.002080895
20	seg13	1.0	3856.5	4350.0	0.015641888	3946.752166	0.001013658	2249.0	0	3958.0	224.0076963	0.001696351
20	seg11	1.0	4145.5	4218.5	0.042779946	3808.313107	0.001141355	2197.0	0	3440.5	233.245269	0.002441001
20	seg12	1.0	4145.5	4218.5	0.042779946	3808.313107	0.001141355	2197.0	0	3440.5	233.245269	0.002441001
20	seg17	0.0	3598.0	4856.0	0.011949081	3828.829016	0.001314326	3513.0	0	4856.0	280.1052384	0.001859694
21	seg16	0.0	3196.5	3844.0	0.056139298	3356.978027	0.000972058	2087.5	0	3482.0	176.6308841	0.002885115
21	seg9	1.0	3090.5	3945.0	0.052716902	3114.951068	0.000900738	1498.0	0	3392.5	157.1214367	0.002696046
21	seg5	1.0	3255.0	3909.0	0.035154608	3364.514207	0.000945522	2058.0	0	3595.0	182.1859521	0.002511555
21	seg4	0.0	3463.5	3853.0	0.050915641	3408.682255	0.000915376	2145.0	0	3648.0	160.9819014	0.003047309
21	seg7	0.0	3118.0	3945.0	0.058244266	3291.229803	0.000945866	1498.0	0	3499.5	168.1234429	0.003127582
21	seg6	0.0	3399.0	3672.5	0.058244266	3305.81984	0.000865194	2094.5	0	3274.5	163.4242665	0.002255775
21	seg1	0.0	3639.5	3862.0	0.053650775	3377.006733	0.000936753	2255.0	0	3245.0	183.5892734	0.002934956
21	seg10	0.0	3722.0	3778.0	0.034226012	3153.510541	0.000988958	2082.0	0	2950.5	198.4080799	0.002251998
21	seg3	1.0	3227.0	3914.0	0.053023479	3511.564831	0.001001749	2163.0	0	3815.0	196.6496654	0.003193492
21	seg2	0.0	3604.0	3964.0	0.063404383	3562.570676	0.00081043	2440.0	0	3735.5	174.7585921	0.002732191
21	seg15	1.0	3365.0	3801.0	0.05956527	3191.510554	0.000894875	1703.0	0	2807.0	204.8278324	0.0028828
21	seg13	1.0	3587.0	3831.5	0.046835595	3200.103749	0.000784071	1577.0	0	2938.0	236.4977062	0.002752968
21	seg11	0.0	3341.5	4041.0	0.040558391	3291.997748	0.001075661	2082.0	0	3372.5	221.4706669	0.00321447
21	seg12	0.0	3341.5	4041.0	0.040558391	3291.997748	0.001075661	2082.0	0	3372.5	221.4706669	0.00321447
21	seg17	0.0	3211.5	3603.0	0.025909691	3082.290476	0.000683851	2415.0	0	3133.0	198.3801447	0.00158691
22	seg16	0.0	2408.5	2821.0	0.027199039	2398.58	0.000864489	1674.0	0	2353.0	118.3193529	0.002062981
22	seg9	0.0	2206.0	3025.0	0.028159712	2356.776882	0.000922532	1714.0	0	2519.0	115.3274604	0.00204372
22	seg5	1.0	2031.0	2937.5	0.028519964	2320.430147	0.000881746	1830.0	0	2335.0	146.7993259	0.002363197
22	seg4	0.0	2601.0	2651.0	0.022335635	2417.538428	0.000800658	1968.0	0	2494.0	116.4444678	0.00149032
22	seg7	0.0	2376.0	2852.0	0.028159712	2403.962687	0.000908142	1714.0	0	2401.5	114.661972	0.001968614
22	seg6	0.0	2527.0	2852.0	0.025277694	2359.418539	0.000947309	1561.0	0	2666.0	147.5363517	0.001884677
22	seg1	0.0	2628.5	2717.0	0.024317022	2481.617816	0.000734212	1855.0	0	2375.5	100.6680109	0.001730208
22	seg10	1.0	2087.0	2709.0	0.048757055	2303.174419	0.001302663	1280.0	0	2400.0	137.3907336	0.00286399
22	seg3	0.0	2251.5	2871.0	0.01981387	2401.067005	0.00102728	1735.0	0	2401.5	120.1658487	0.002190612
22	seg2	0.0	1484.0	2768.0	0.022156839	2143.265769	0.002039944	0.92	0	2025.0	291.0737629	0.00362334
22	seg15	0.0	2281.0	2821.0	0.035184629	2389.665568	0.000959644	1731.0	0	2261.5	115.5559714	0.002762701
22	seg13	1.0	2323.0	2885.0	0.044311018	2304.614596	0.001086768	1877.0	0	2521.0	119.8267147	0.002574187
22	seg11	0.0	2402.0	2821.0	0.027199039	2383.692094	0.001032921	1674.0	0	2519.0	130.8071797	0.002132658
22	seg12	0.0	2402.0	2821.0	0.027199039	2383.692094	0.001032921	1674.0	0	2519.0	130.8071797	0.002132658
22	seg17	1.0	2088.0	3204.0	0.057039928	2230.054633	0.000844197	2018.5	0	2361.0	72.15666182	0.002503729
23	seg16	1.0	3818.0	3866.5	0.059441609	3579.607456	0.00074226	2079.0	0	3726.0	171.8394214	0.003509022
23	seg9	1.0	3876.0	4258.0	0.07980544	3669.507225	0.000769305	1750.0	0	3650.5	168.1996899	0.003994078
23	seg5	1.0	3258.5	4187.5	0.008225758	3571.932377	0.000826795	3227.5	0	3769.0	197.8825371	0.001050936
23	seg4	1.0	3432.0	4163.0	0.06064245	3509.546288	0.000662978	2257.0	0	3792.0	205.7205231	0.002589782
23	seg7	1.0	2925.0	4102.0	0.022575803	3385.472892	0.000763783	2513.0	0	3989.0	242.0427101	0.001859002
23	seg6	1.0	3551.5	4358.0	0.05458476	3560.553476	0.00085151	1213.0	0	1970.0	315.4714666	0.002784927
23	seg1	1.0	3489.0	3826.0	0.036355449	3506.983953	0.000547408	2916.0	0	3704.0	187.7991785	0.001407151
23	seg10	0.0	3930.5	4224.0	0.056739718	3602.41326	0.000887767	1886.0	0	3893.0	263.0676193	0.003455047
23	seg3	1.0	3707.0	4595.0	0.014049835	3782.172131	0.000913498	1956.0	0	4150.0	324.6786487	0.001391685
23	seg2	1.0	3602.0	4019.0	0.096667667	3544.174912	0.000813971	1739.0	0	3465.5	194.3623387	0.003268763
23	seg15	1.0	3274.0	4023.5	0.045006906	3701.870277	0.000817136	2938.0	0	3248.0	224.92702	0.002680037
23	seg13	1.0	3133.0	3857.0	0.075592915	3514.186579	0.000916146	1614.0	0	3470.0	269.9962772	0.003728747
23	seg11	1.0	3485.0	4224.0	0.056739718	3678.19106	0.000741309	1886.0	0	3479.0	250.3998107	0.003177612
23	seg12	1.0	3485.0	4224.0	0.056739718	3678.19106	0.000741309	1886.0	0	3479.0	250.3998107	0.003177612
23	seg17	1.0	3594.5	3927.5	0.05619934	3495.901688	0.000630206	2722.0	0	3304.0	171.2756548	0.002458397
24	seg16	0.0	3134.0	4273.0	0.036865806	3682.152659	0.001644834	2498.0	0	4005.0	295.095664	0.003272077
24	seg9	1.0	3189.0	4243.0	0.111024379	3588.413229	0.001394328	1238.0	0	1848.0	335.1642637	0.005263822
24	seg5	1.0	3091.5	4403.0	0.062259846	3638.141079	0.00225669	1751.0	0	3131.0	434.1723338	0.005292123
24	seg4	0.0	3604.5	4430.0	0.072290603	3815.903101	0.001387127	2556.0	0	2619.0	275.5779056	0.004469276
24	seg7	0.0	3826.0	4243.0	0.111024379	3728.936573	0.0016313	1848.0	0	3558.5	290.9963022	0.005366962
24	seg6	0.0	3453.0	4350.5	0.046835595	3856.72043	0.001334172	1807.0	0	3282.5	343.493974	0.002492104
24	seg1	1.0	3643.5	4983.0	0.100150105	4089.185682	0.002080671	2180.0	0	3994.0	281.0045792	0.007776814
24	seg10	1.0	3996.5	4684.0	0.056116015	3805.588341	0.001151241	2020.0	0	3446.0	251.1238356	0.003036746
24	seg3	1.0	3811.0	4410.0	0.096067247	3875.992718	0.001543547	1601.0	0	3762.5	321.6539303	0.006083349
24	seg2	0.0	3850.5	4382.5	0.071089763	3833.233491	0.001137781	1371.0	0	3685.5	287.7278375	0.003755155
24	seg15	1.0	3548.0	4480.5	0.027379165	3743.440217	0.001928602	2471.0	0	4400.0	270.4819817	0.003442217
24	seg13	1.0	1934.0	4417.0	0.071870309	3878.599576	0.001085786	1863.0	0	3956.5	325.7526183	0.00347238
24	seg11	1.0	3601.0	5002.0	0.038546983	3937.005604	0.001403403	2280.0	0	4109.5	248.5651874	0.003155153
24	seg12	1.0	3601.0	5002.0	0.038546983	3937.005604	0.001403403	2280.0	0	4109.5	248.5651874	0.003155153
24	seg17	1.0	3983.0	4001.0	0.06952867	3581.592279	0.001756784	2180.0	0	3751.5	276.3883257	0.005065181
25	seg16	1.0	4095.5	4484.0	0.063948601	3910.786076	0.001816412	2735.0	0	4382.0	276.778587	0.004742858
25	seg5	1.0	3805.5	4269.0	0.022397022	3856.876847	0.001402474	3098.0	0	3481.0	286.2426394	0.0024869
25	seg4	1.0	3130.0	4394.0	0.055719003	3821.201031	0.001019365	2589.0	0	4006.0	155.0284304	0.002827416
25	seg7	1.0	4062.0	4407.0	0.029062087	3756.148148	0.002002644	3050.0	0	4397.5	325.524173	0.004088121
25	seg6	1.0	3605.0	4250.0	0.023686581	3786.627551	0.001470747	3290.0	0	3664.0	191.5217857	0.002771847
25	seg1	0.0	4173.0	4496.0	0.054461391	3874.72606	0.002156827	2806.0	0	4189.0	242.1201377	0.004636882
25	seg10	0.0	4425.0	4670.0	0.017383211	4190.821667	0.001846345	2904.0	0	3890.0	296.9894327	0.002807578
25	seg3	0.0	4136.0	4285.5	0.03521465	3865.193353	0.002248912	2671.0	0	3390.0	246.5622647	0.004615354
25	seg2	0.0	4050.0	4648.5	0.056979886	4193.287179	0.002134631	2477.0	0	2477.0	338.1903091	0.005137277
25	seg15	1.0	4085.5	4455.5	0.016061243	4134.289593	0.00114603	3621.0	0	3712.0	191.3428083	0.002176133
25	seg13	1.0	3924.5	4055.5	0.005464153	3810.352041	0.000765075	3456.0	0	3456.0	156.3232873	0.000951963
25	seg11	1.0	4075.5	4363.0	0.009306515	4143.333333	0.001068188	3968.0	0	4105.0	115.5202518	0.001602016
25	seg12	1.0	4075.5	4363.0	0.009306515	4143.333333	0.001068188	3968.0	0	4105.0	115.5202518	0.001602016
25	seg17	1.0	3687.0	4080.0	0.006244371	3646.753521	0.000675278	2725.0	0	3874.0	278.0245649	0.000875642
