Part_id	Sc_id	answer	meanfixationduration	numfixations	stddevfixationduration	sumfixationduration
1.0	seg9	1.0	179.6666667	9.0	93.40904667	1617.0
1.0	seg8	1.0	184.75	12.0	67.15670277	2217.0
1.0	seg5	1.0	141.75	8.0	64.90597595	1134.0
1.0	seg7	0.0	184.75	12.0	67.15670277	2217.0
1.0	seg6	1.0	297.9230769	26.0	141.9720883	7746.0
1.0	seg10	1.0	244.6923077	13.0	247.6150859	3181.0
1.0	seg3	1.0	166.6363636	11.0	100.2888555	1833.0
1.0	seg2	1.0	334.6086957	23.0	390.5687856	7696.0
1.0	seg15	1.0	308.1428571	14.0	332.2619118	4314.0
1.0	seg13	1.0	231.0967742	31.0	70.86623777	7164.0
1.0	seg14	1.0	354.9230769	13.0	344.5875461	4614.0
1.0	seg17	1.0	317.0	26.0	165.9132303	8242.0
2.0	seg9	1.0	185.2941176	17.0	77.83216294	3150.0
2.0	seg8	1.0	176.2105263	19.0	81.88920628	3348.0
2.0	seg5	1.0	227.7222222	18.0	160.677172	4099.0
2.0	seg7	1.0	176.2105263	19.0	81.88920628	3348.0
2.0	seg6	1.0	170.3125	32.0	116.6805502	5450.0
2.0	seg10	1.0	140.0	15.0	55.07657008	2100.0
2.0	seg3	1.0	195.0	13.0	97.39609848	2535.0
2.0	seg2	0.0	205.2631579	38.0	103.4300088	7800.0
2.0	seg15	1.0	192.0	21.0	62.55317738	4032.0
2.0	seg13	1.0	186.46875	32.0	81.66492688	5967.0
2.0	seg14	1.0	177.1818182	11.0	62.33108082	1949.0
2.0	seg17	1.0	154.6744186	43.0	71.34714628	6651.0
3.0	seg9	1.0	254.1071429	28.0	183.9090635	7115.0
3.0	seg8	1.0	210.5714286	14.0	83.74936444	2948.0
3.0	seg7	0.0	210.5714286	14.0	83.74936444	2948.0
3.0	seg6	1.0	235.9666667	30.0	96.09136577	7079.0
3.0	seg3	1.0	288.6666667	15.0	292.8904395	4330.0
3.0	seg2	1.0	302.5	6.0	274.1968271	1815.0
3.0	seg15	0.0	265.0909091	11.0	282.6653338	2916.0
3.0	seg13	1.0	131.8181818	11.0	38.95591914	1450.0
3.0	seg14	1.0	200.0	11.0	236.3662412	2200.0
3.0	seg11	1.0	161.5	16.0	80.39568811	2584.0
4.0	seg8	0.0	176.55	20.0	87.90094605	3531.0
4.0	seg5	1.0	191.32	25.0	75.80332007	4783.0
4.0	seg4	0.0	212.030303	33.0	97.17622036	6997.0
4.0	seg6	0.0	198.9722222	36.0	64.44376779	7163.0
4.0	seg1	0.0	222.2758621	29.0	194.2509232	6446.0
4.0	seg3	0.0	274.3157895	19.0	163.2809619	5212.0
4.0	seg2	1.0	209.6666667	36.0	110.3322256	7548.0
4.0	seg15	0.0	218.4074074	27.0	120.3626761	5897.0
4.0	seg13	0.0	235.6470588	34.0	107.8548077	8012.0
4.0	seg14	1.0	198.5	24.0	113.9294213	4764.0
4.0	seg11	0.0	211.90625	32.0	113.0387771	6781.0
5.0	seg8	1.0	205.125	16.0	145.8546651	3282.0
5.0	seg5	1.0	230.1	10.0	130.897288	2301.0
5.0	seg4	1.0	189.2	25.0	78.71308659	4730.0
5.0	seg6	1.0	235.7307692	26.0	143.232275	6129.0
5.0	seg1	1.0	225.2	25.0	115.5970011	5630.0
5.0	seg3	0.0	212.1578947	19.0	106.4332149	4031.0
5.0	seg2	1.0	183.3333333	30.0	100.3027601	5500.0
5.0	seg15	1.0	241.1764706	17.0	127.35837	4100.0
5.0	seg13	1.0	183.25	20.0	72.76195868	3665.0
5.0	seg14	1.0	229.3333333	21.0	125.8480565	4816.0
5.0	seg11	1.0	256.7352941	34.0	141.5077488	8729.0
5.0	seg17	1.0	236.7391304	23.0	122.3635483	5445.0
6.0	seg8	1.0	291.8518519	27.0	178.9582469	7880.0
6.0	seg5	1.0	242.09375	32.0	103.3632365	7747.0
6.0	seg4	1.0	267.0967742	31.0	196.9619853	8280.0
6.0	seg6	1.0	248.8787879	33.0	156.0634401	8213.0
6.0	seg1	1.0	329.6666667	24.0	175.425363	7912.0
6.0	seg10	1.0	314.5925926	27.0	186.9776332	8494.0
6.0	seg3	0.0	370.1538462	26.0	333.8897653	9624.0
6.0	seg2	1.0	323.4615385	26.0	183.2404389	8410.0
6.0	seg15	0.0	365.0434783	23.0	285.2776125	8396.0
6.0	seg13	1.0	324.44	25.0	212.5347187	8111.0
6.0	seg14	1.0	337.16	25.0	255.6124475	8429.0
6.0	seg11	1.0	338.0	24.0	134.0979525	8112.0
6.0	seg17	1.0	315.2857143	28.0	174.9268328	8828.0
7.0	seg9	0.0	215.2307692	13.0	104.1090405	2798.0
7.0	seg8	1.0	179.6666667	9.0	65.34332407	1617.0
7.0	seg5	1.0	109.4285714	7.0	27.11615228	766.0
7.0	seg4	1.0	250.9032258	31.0	211.558716	7778.0
7.0	seg7	1.0	179.6666667	9.0	65.34332407	1617.0
7.0	seg6	0.0	198.7037037	27.0	76.93994402	5365.0
7.0	seg1	1.0	196.5294118	34.0	93.9613832	6682.0
7.0	seg10	0.0	279.5416667	24.0	271.8130718	6709.0
7.0	seg3	1.0	194.5405405	37.0	126.2652839	7198.0
7.0	seg2	1.0	194.0	14.0	82.76100903	2716.0
7.0	seg15	0.0	169.2307692	13.0	64.1354736	2200.0
7.0	seg13	1.0	216.625	24.0	85.46589073	5199.0
7.0	seg14	1.0	169.9	10.0	51.38406584	1699.0
7.0	seg11	1.0	207.4545455	11.0	137.7478592	2282.0
7.0	seg12	1.0	207.4545455	11.0	137.7478592	2282.0
7.0	seg17	1.0	205.5833333	12.0	110.8524477	2467.0
8.0	seg9	1.0	215.7	20.0	174.2696338	4314.0
8.0	seg8	1.0	260.6470588	17.0	160.1686382	4431.0
8.0	seg5	1.0	225.6363636	22.0	189.8634962	4964.0
8.0	seg4	1.0	231.5666667	30.0	173.2060131	6947.0
8.0	seg7	0.0	260.6470588	17.0	160.1686382	4431.0
8.0	seg6	1.0	242.6	25.0	145.1995753	6065.0
8.0	seg1	1.0	362.6818182	22.0	397.957809	7979.0
8.0	seg10	1.0	319.6153846	26.0	231.2911718	8310.0
8.0	seg3	1.0	177.1818182	11.0	57.85640532	1949.0
8.0	seg2	1.0	199.9333333	30.0	90.23873827	5998.0
8.0	seg15	1.0	319.3333333	12.0	225.0128616	3832.0
8.0	seg13	1.0	213.4285714	21.0	154.3092905	4482.0
8.0	seg14	0.0	306.125	8.0	173.8319694	2449.0
8.0	seg11	1.0	211.0	15.0	62.86607079	3165.0
8.0	seg12	0.0	211.0	15.0	62.86607079	3165.0
8.0	seg17	0.0	259.0740741	27.0	147.6211174	6995.0
9.0	seg9	0.0	263.2	20.0	137.7738803	5264.0
9.0	seg8	1.0	225.5416667	24.0	110.6329533	5413.0
9.0	seg7	1.0	225.5416667	24.0	110.6329533	5413.0
9.0	seg6	0.0	291.7894737	19.0	205.1800237	5544.0
9.0	seg1	0.0	126.875	8.0	23.5034192	1015.0
9.0	seg10	0.0	371.7272727	22.0	303.739265	8178.0
9.0	seg3	1.0	323.1333333	15.0	314.0882193	4847.0
9.0	seg2	0.0	220.7333333	15.0	104.9261418	3311.0
9.0	seg15	1.0	403.5	22.0	435.4959679	8877.0
9.0	seg13	0.0	267.9130435	23.0	161.3062905	6162.0
9.0	seg14	1.0	445.55	20.0	454.0073585	8911.0
9.0	seg11	1.0	301.5517241	29.0	124.1495602	8745.0
9.0	seg12	1.0	301.5517241	29.0	124.1495602	8745.0
10.0	seg8	0.0	213.3	10.0	83.43600342	2133.0
10.0	seg5	1.0	310.9333333	15.0	350.5142073	4664.0
10.0	seg7	1.0	213.3	10.0	83.43600342	2133.0
10.0	seg1	1.0	300.6	25.0	319.2174024	7515.0
10.0	seg10	1.0	334.8888889	18.0	335.4954	6028.0
10.0	seg3	1.0	321.3333333	24.0	215.0647358	7712.0
10.0	seg2	0.0	309.3214286	28.0	242.1095641	8661.0
10.0	seg15	1.0	849.4285714	7.0	868.32019	5946.0
10.0	seg13	0.0	191.6875	16.0	78.24297093	3067.0
10.0	seg11	1.0	291.7	10.0	327.8665209	2917.0
10.0	seg12	1.0	291.7	10.0	327.8665209	2917.0
11.0	seg8	0.0	209.2222222	9.0	101.2296619	1883.0
11.0	seg5	0.0	244.3333333	15.0	184.5518381	3665.0
11.0	seg7	1.0	209.2222222	9.0	101.2296619	1883.0
11.0	seg6	0.0	271.6875	16.0	123.6509705	4347.0
11.0	seg1	0.0	189.5	8.0	93.48338279	1516.0
11.0	seg10	0.0	241.65	20.0	100.9998828	4833.0
11.0	seg3	0.0	397.2857143	7.0	437.8240569	2781.0
11.0	seg13	0.0	292.0714286	28.0	249.6021914	8178.0
11.0	seg11	1.0	171.4285714	7.0	115.9882999	1200.0
11.0	seg12	0.0	171.4285714	7.0	115.9882999	1200.0
