Part_id	Sc_id	answer	endpupilsize	maxpupilsize	maxpupilvelocity	meanpupilsize	meanpupilvelocity	minpupilsize	minpupilvelocity	startpupilsize	stddevpupilsize	stddevpupilvelocity
1	seg9	1.0	2591.0	3939.5	0.088381867	3314.01728	0.001005662	1532.0	0	3822.5	255.3354302	0.004173335
1	seg8	1.0	2999.5	3939.5	0.094926449	3368.301005	0.001109972	1532.0	0	3129.0	256.4278731	0.005060901
1	seg5	1.0	3536.5	4054.5	0.027289102	3503.285476	0.000936099	1591.0	0	3849.0	380.2460812	0.002616033
1	seg7	0.0	2999.5	3939.5	0.094926449	3368.301005	0.001109972	1532.0	0	3129.0	256.4278731	0.005060901
1	seg6	1.0	3194.5	4054.5	0.094926449	3410.081264	0.001217493	1532.0	0	2119.0	314.5346803	0.005190369
1	seg10	1.0	3388.0	3826.5	0.064305014	3306.025893	0.001117772	1901.0	0	3482.5	237.1486946	0.003664991
1	seg3	1.0	3697.5	3947.5	0.104840759	3428.993354	0.001039652	0.982	0	3314.0	306.0528585	0.004585033
1	seg2	1.0	1747.0	3992.5	0.104840759	3427.344367	0.001018226	0.982	0	1068.0	295.2673843	0.004416947
1	seg15	1.0	2449.5	3735.0	0.071059742	3199.979441	0.000839904	1759.0	0	3387.0	214.9153417	0.00392809
1	seg13	1.0	3095.5	3633.5	0.021346223	3186.913103	0.000550477	2168.0	0	3444.0	149.9300593	0.001160144
1	seg14	1.0	3539.0	3730.0	0.071059742	3165.453488	0.00079262	1759.0	0	2917.5	195.6396489	0.003742165
1	seg17	1.0	3115.5	3521.0	0.111024379	3190.091796	0.000759452	1150.0	0	3085.0	185.0831789	0.003812161
2	seg9	1.0	4309.0	5051.5	0.095292422	4235.8612	0.001308941	2296.0	0	2296.0	336.7469405	0.005412055
2	seg8	1.0	4046.0	5051.5	0.095292422	4281.927285	0.001472406	2296.0	0	3889.0	353.0141826	0.006139666
2	seg5	1.0	3880.0	5351.0	0.113703237	4452.137958	0.00103366	2245.5	0	5221.5	372.4258866	0.004092432
2	seg7	1.0	4046.0	5051.5	0.095292422	4281.927285	0.001472406	2296.0	0	3889.0	353.0141826	0.006139666
2	seg6	1.0	4134.0	5051.5	0.095292422	4255.915509	0.001142325	2296.0	0	3890.0	345.26005	0.005319056
2	seg10	1.0	4145.0	4596.0	0.061903332	4039.085484	0.001198695	1179.0	0	4006.0	393.5643784	0.004102107
2	seg3	1.0	4172.5	4516.5	0.037886521	4045.151984	0.000665745	2146.0	0	4437.5	267.4612324	0.001573207
