Part_id	Sc_id	answer	Mean pose_Tx	Standard Deviation pose_Tx	Minimum pose_Tx	Maximum pose_Tx	Sum pose_Tx	Mean pose_Ty	Standard Deviation pose_Ty	Minimum pose_Ty	Maximum pose_Ty	Sum pose_Ty	Mean pose_Tz	Standard Deviation pose_Tz	Minimum pose_Tz	Maximum pose_Tz	Sum pose_Tz
1	seg2	1.0	-15.47871485943774	21.147876476679915	-72.1	14.6	-3854.2	61.72289156626508	7.811838281842232	29.3	76.5	15369.0	611.7622489959839	15.144448416287185	554.7	654.8	152328.80000000002
1	seg3	1.0	11.742000000000004	6.724822376836435	-2.6	19.7	2935.5	19.88160000000001	8.28838111092872	8.5	38.1	4970.4	620.9036000000003	8.24455378052687	602.9	641.9	155225.9
1	seg5	1.0	-8.867479674796748	35.85038466515852	-84.7	27.7	-2181.4	44.82195121951224	16.791534048589405	9.5	68.0	11026.200000000004	609.1528455284549	7.6720994381685825	588.6	630.8	149851.6
1	seg6	1.0	2.167094017094021	25.46882933359204	-42.0	50.0	507.0999999999999	53.709829059829055	22.77982382449549	25.4	119.7	12568.1	604.6833333333334	24.84404905614771	557.2	733.0	141495.90000000002
1	seg7	0.0	-1.1039408866995082	9.337681711235824	-21.6	13.3	-224.1	51.10591133004926	16.41429643992559	35.3	87.3	10374.5	590.7935960591135	9.031608881563743	567.7	616.9	119931.1
1	seg8	1.0	-1.1039408866995082	9.337681711235824	-21.6	13.3	-224.1	51.10591133004926	16.41429643992559	35.3	87.3	10374.5	590.7935960591135	9.031608881563743	567.7	616.9	119931.1
1	seg9	1.0	-65.64406779661017	53.61825919447825	-114.2	19.1	-3873.000000000001	98.37796610169488	23.18927329312537	65.2	145.6	5804.3	540.5406779661017	54.03219730219266	489.6	647.2	31891.9
1	seg10	1.0	-61.80769230769231	16.34142737097069	-95.5	-49.4	-1607.0000000000002	66.69230769230768	16.863819329169292	50.1	92.9	1734.0	553.6730769230769	22.8859472786301	507.3	582.2	14395.5
1	seg13	1.0	31.74009009009011	35.64083933945317	-75.2	68.9	7046.3	69.13783783783782	38.29864169504468	15.8	128.7	15348.600000000002	624.348198198198	18.61724646995037	558.0	678.9	138605.3
1	seg14	1.0	-34.78308823529412	31.598402684748294	-76.8	1.6	-4730.500000000001	85.5411764705882	33.45595100186881	32.8	124.0	11633.6	574.4227941176473	16.838318375726185	537.4	605.5	78121.5
1	seg15	1.0	-58.957	41.04450329824935	-113.6	1.6	-11791.4	105.3145	38.85315353674656	32.8	149.3	21062.9	581.1105000000001	18.861114488544946	544.0	647.1	116222.1
1	seg17	1.0	-35.35640000000001	25.4541638841271	-69.0	23.1	-8839.1	69.62399999999997	19.983286616570364	24.8	94.7	17406.0	620.9884	20.039712209510395	579.7	674.8	155247.1
2	seg2	0.0	15.728400000000004	3.0841584654488825	1.5	19.7	3932.1	17.473199999999988	1.265875886491247	13.0	19.3	4368.3	621.9695999999998	7.541386864496475	603.0	641.9	155492.4
2	seg3	1.0	-3.5923999999999983	13.887035041361427	-27.7	29.3	-898.1000000000001	25.8212	7.509795640361989	0.5	36.6	6455.299999999999	627.4448000000001	11.099318580885944	605.6	646.6	156861.2
2	seg5	1.0	3.045569620253166	7.414607502920718	-47.3	13.3	240.6	45.734177215189874	13.883601893536673	35.9	145.6	3613.0	595.9784810126582	10.849425941601602	583.6	647.2	47082.29999999999
2	seg6	1.0	-37.20338983050846	28.47559148714821	-95.5	6.3	-2195.0	77.21355932203389	31.88216895853728	47.1	140.9	4555.599999999999	575.7864406779661	35.249976355934464	507.3	645.1	33971.4
2	seg7	1.0	21.03496503496504	25.81762627348569	-88.5	48.2	3008.0	34.43846153846154	13.639396471056722	15.2	79.6	4924.700000000001	610.7405594405595	10.390583672617028	583.8	644.3	87335.90000000001
2	seg8	1.0	21.03496503496504	25.81762627348569	-88.5	48.2	3008.0	34.43846153846154	13.639396471056722	15.2	79.6	4924.700000000001	610.7405594405595	10.390583672617028	583.8	644.3	87335.90000000001
2	seg9	1.0	9.982399999999998	6.4337617487749705	-18.2	17.5	2495.6	42.32760000000002	7.509066402689489	28.5	56.6	10581.9	604.1196000000003	7.119678071373742	590.5	622.4	151029.90000000002
