Part_id	Sc_id	answer	Mean gaze_angle_x	Standard Deviation gaze_angle_x	Minimum gaze_angle_x	Maximum gaze_angle_x	Sum gaze_angle_x	Mean gaze_angle_y	Standard Deviation gaze_angle_y	Minimum gaze_angle_y	Maximum gaze_angle_y	Sum gaze_angle_y
1	seg2	1.0	-0.0404638844301765	0.0660400303891788	-0.243	0.151	-25.209	0.4887720706260029	0.1022114513789124	0.155	0.779	304.505
1	seg3	1.0	-0.0494607999999999	0.0531134226289362	-0.19	0.092	-30.913	0.4452095999999997	0.110177119529601	0.232	0.673	278.256
1	seg5	1.0	0.0508405797101448	0.0677481983929702	-0.157	0.211	31.572000000000003	0.5742383252818032	0.1097998378536437	0.219	0.776	356.602
1	seg6	1.0	0.0296480263157894	0.0834924819105184	-0.342	0.241	18.026	0.4416546052631583	0.1170631820736674	-0.137	0.776	268.526
1	seg7	0.0	0.0640124555160142	0.0785462543966009	-0.342	0.241	35.975	0.4171174377224198	0.1116437541709881	-0.137	0.78	234.42
1	seg8	1.0	0.0640124555160142	0.0785462543966009	-0.342	0.241	35.975	0.4171174377224198	0.1116437541709881	-0.137	0.78	234.42
1	seg9	1.0	0.0940848806366047	0.0593831528551902	-0.122	0.343	35.47	0.4478912466843496	0.1249920373178847	0.042	0.78	168.855
1	seg10	1.0	0.0732173913043478	0.0907030302555682	-0.269	0.343	11.788	0.4461180124223601	0.1826587756147867	-0.125	0.729	71.82499999999999
1	seg13	1.0	0.0069174311926605	0.0801807356472637	-0.281	0.282	2.261999999999999	0.3694036697247705	0.1595904229764404	-0.176	0.75	120.795
1	seg14	1.0	0.0134019607843137	0.1639975645326049	-1.127	0.336	2.7340000000000004	0.3492843137254902	0.1959272012389125	-1.01	0.631	71.254
1	seg15	1.0	-0.0061086956521739	0.1465413422787214	-1.127	0.336	-1.6859999999999993	0.3865942028985508	0.181244315760189	-1.01	0.631	106.70000000000002
1	seg17	1.0	0.0024582560296846	0.0735296415279541	-0.343	0.221	1.3249999999999995	0.4372282003710582	0.1428480187433954	0.023	0.839	235.666
2	seg2	0.0	-0.0657088	0.0509571899005429	-0.175	0.072	-41.068	0.4012175999999998	0.1064413634365889	0.232	0.665	250.761
2	seg3	1.0	-0.0660304	0.0470691818055083	-0.197	0.053	-41.269	0.3571808000000001	0.0859083099086462	0.239	0.593	223.238
2	seg5	1.0	0.0821689497716894	0.0765912697213406	-0.342	0.343	35.99	0.4200981735159817	0.1166024230672635	-0.137	0.78	184.003
2	seg6	1.0	0.0795185185185185	0.0858552733612955	-0.269	0.343	15.029	0.4652169312169311	0.1764647859084493	-0.125	0.729	87.92599999999999
2	seg7	1.0	0.0525415162454873	0.0973251792429303	-0.269	0.25	14.553999999999998	0.4164079422382667	0.1485113483432844	-0.125	0.647	115.345
2	seg8	1.0	0.0525415162454873	0.0973251792429303	-0.269	0.25	14.553999999999998	0.4164079422382667	0.1485113483432844	-0.125	0.647	115.345
2	seg9	1.0	0.0166529126213592	0.080610856048524	-0.269	0.238	6.860999999999999	0.4507888349514563	0.1440461818192377	0.112	0.702	185.725
2	seg10	1.0	0.0019146537842189	0.0561498236855681	-0.191	0.164	1.1889999999999996	0.4381690821256037	0.1629845000502975	0.131	0.719	272.103
