Part_id	Sc_id	answer	meanabspathangles	meanrelpathangles	stddevabspathangles	stddevrelpathangles	sumabspathangles	sumrelpathangles
1	seg9	1.0	1.50325694	1.134318005	1.081102404	1.005174591	69.14981923	51.04431024
1	seg8	1.0	1.509653122	1.201642984	1.115885515	1.08359746	76.99230921	60.08214919
1	seg5	1.0	1.436685379	1.023359839	1.091652957	0.837140193	22.98696607	15.35039759
1	seg7	0.0	1.509653122	1.201642984	1.115885515	1.08359746	76.99230921	60.08214919
1	seg6	1.0	1.43783002	1.221286302	1.135449746	1.101736516	69.01584096	57.4004562
1	seg10	1.0	1.464693421	1.080559078	1.033926314	0.814017284	46.87018947	33.49733143
1	seg3	1.0	1.537100102	1.512474504	1.17672153	0.965812835	50.72430336	48.39918413
1	seg2	1.0	1.357670744	1.303250725	1.179230662	1.060426598	46.16080528	43.00727392
1	seg15	1.0	1.517306008	1.244183938	1.132842679	1.06957331	81.93452442	65.9417487
1	seg13	1.0	1.352611869	1.471421411	1.100057548	0.987730627	108.2089495	116.2422915
1	seg14	1.0	1.447661568	1.255703305	1.079775613	1.048920691	86.85969409	74.08649501
1	seg17	1.0	1.48186812	1.210647841	1.221867364	1.036992732	106.6945047	85.95599671
2	seg9	1.0	1.517218283	1.516952811	1.047518145	0.934935205	101.653625	100.1188856
2	seg8	1.0	1.565932652	1.524842138	1.000470792	0.917189328	84.56036319	80.81663332
2	seg5	1.0	1.487626534	1.571265738	0.978277975	0.992286711	110.0843635	114.7023988
2	seg7	1.0	1.565932652	1.524842138	1.000470792	0.917189328	84.56036319	80.81663332
2	seg6	1.0	1.50702383	1.573814578	1.07176934	0.98494413	85.90035833	88.13361639
2	seg10	1.0	1.666525793	1.421294583	0.945095162	1.015784777	73.32713491	61.11566706
2	seg3	1.0	1.563680174	1.59877329	1.076014059	1.115467651	115.7123329	116.7104502
2	seg2	0.0	1.506121657	1.608762459	1.162204157	1.064013594	126.5142192	133.5272841
2	seg15	1.0	1.524692635	1.665860218	1.087772914	1.019868073	94.5309434	101.6174733
2	seg13	1.0	1.635006268	1.723264148	1.100328395	1.017001687	58.86022566	60.31424517
2	seg14	1.0	1.5663073	1.736633319	1.05713911	1.036297693	95.54474529	104.1979991
2	seg17	1.0	1.607904498	1.714721809	1.142367393	1.057183986	138.2797869	145.7513538
3	seg9	1.0	1.479037561	0.988946271	1.040071531	0.840084767	79.86802831	52.41415234
