Part_id	Sc_id	answer	meanfixationduration	numfixations	stddevfixationduration	sumfixationduration
8	seg13	0.0	214.0	45	132.756955	9630
8	seg14	1.0	366.9142857	35	415.1515933	12842
8	seg11	1.0	286.8	50	204.8336308	14340
8	seg12	0.0	286.8	50	204.8336308	14340
8	seg17	1.0	322.9347826	46	494.3472195	14855
9	seg16	0.0	260.9324324	74	122.0236145	19309
9	seg9	1.0	235.5952381	42	121.1620683	9895
9	seg4	0.0	144.3888889	18	89.83326967	2599
9	seg7	0.0	264.9272727	55	171.2084342	14571
9	seg6	0.0	300.7058824	34	201.4803591	10224
9	seg1	1.0	231.24	25	204.3308755	5781
9	seg10	0.0	288.2075472	53	230.1673604	15275
9	seg3	1.0	263.5	22	273.0577734	5797
9	seg2	0.0	198.2121212	33	87.93739164	6541
9	seg15	1.0	348.08	50	308.8249514	17404
9	seg13	1.0	254.0727273	55	155.9337293	13974
9	seg11	1.0	296.8030303	66	209.5506709	19589
9	seg12	1.0	296.8030303	66	209.5506709	19589
9	seg17	1.0	283.171875	64	175.0401818	18123
10	seg16	0.0	232.8181818	33	115.718531	7683
10	seg9	1.0	233.2631579	19	97.41768155	4432
10	seg5	1.0	262.6538462	26	270.9814669	6829
10	seg4	1.0	249.2173913	23	230.5231119	5732
10	seg7	1.0	293.2	25	239.0521212	7330
10	seg6	1.0	327.75	40	261.807891	13110
10	seg1	1.0	311.4354839	62	312.4564033	19309
10	seg10	0.0	330.7058824	34	352.4142302	11244
10	seg3	1.0	297.9344262	61	216.1049798	18174
10	seg2	0.0	320.1428571	63	280.2219084	20169
10	seg15	1.0	459.5294118	17	630.6607763	7812
10	seg13	1.0	182.75	32	85.40718411	5848
10	seg11	1.0	288.0952381	21	239.19697	6050
10	seg12	1.0	288.0952381	21	239.19697	6050
10	seg17	1.0	247.3962264	53	146.4029397	13112
11	seg16	0.0	288.1111111	27	313.0181038	7779
11	seg9	0.0	227.2857143	28	111.2740551	6364
11	seg5	1.0	208.4571429	35	144.3014294	7296
11	seg4	0.0	275.5652174	46	260.929846	12676
11	seg7	0.0	224.4166667	36	113.4002708	8079
11	seg6	0.0	223.8536585	41	121.2950042	9178
11	seg1	0.0	250.7368421	19	249.649497	4764
11	seg10	0.0	219.754717	53	98.89444755	11647
11	seg3	1.0	396.4	15	397.3912789	5946
11	seg2	0.0	192.7142857	7	133.9610818	1349
11	seg15	0.0	283.2222222	18	196.950742	5098
11	seg13	1.0	276.0909091	33	234.4776593	9111
11	seg11	0.0	253.9285714	42	254.8091005	10665
11	seg12	0.0	253.9285714	42	254.8091005	10665
11	seg17	1.0	233.675	40	213.6689732	9347
12	seg16	0.0	353.5	58	285.0734131	20503
12	seg9	1.0	268.0789474	76	143.0074835	20374
12	seg5	0.0	237.6091954	87	161.1889225	20672
12	seg4	0.0	285.9859155	71	180.930965	20305
12	seg7	0.0	269.3815789	76	158.7060988	20473
12	seg6	0.0	247.9058824	85	136.9805881	21072
12	seg1	1.0	300.7971014	69	351.0567903	20755
12	seg10	0.0	323.7878788	66	225.0541484	21370
12	seg3	0.0	259.3544304	79	147.6008163	20489
12	seg2	0.0	278.5616438	73	190.5860834	20335
12	seg15	0.0	294.9014085	71	214.6853615	20938
12	seg13	1.0	296.7464789	71	258.0136607	21069
12	seg11	0.0	378.9285714	56	305.1348946	21220
12	seg12	0.0	378.9285714	56	305.1348946	21220
12	seg17	0.0	407.9056604	53	349.7229818	21619
13	seg16	0.0	179.5555556	18	70.73830997	3232
13	seg9	1.0	167.9259259	27	76.27930757	4534
13	seg5	1.0	173.8378378	37	69.17751462	6432
13	seg4	1.0	194.8095238	42	250.4222033	8182
13	seg7	1.0	156.0454545	22	64.32319975	3433
13	seg6	1.0	194.7205882	68	65.96286734	13241
13	seg1	1.0	207.1388889	72	125.3704713	14914
13	seg10	1.0	181.4444444	54	95.19268774	9798
13	seg3	1.0	224.6888889	45	121.7172249	10111
13	seg2	1.0	205.827957	93	111.2210513	19142
13	seg15	1.0	155.4444444	27	98.45863377	4197
13	seg13	1.0	172.2051282	39	78.39514603	6716
13	seg11	0.0	192.047619	21	137.549437	4033
13	seg12	0.0	192.047619	21	137.549437	4033
13	seg17	1.0	252.2380952	21	359.2979133	5297
14	seg16	0.0	211.7	20	162.6530372	4234
14	seg9	1.0	163.4516129	31	151.713071	5067
14	seg5	1.0	171.1212121	33	119.8876447	5647
14	seg4	1.0	168.6078431	51	85.47656484	8599
14	seg7	0.0	177.75	24	166.2908008	4266
14	seg6	1.0	160.7142857	14	192.7167825	2250
14	seg1	1.0	208.2692308	26	143.1210838	5415
14	seg10	1.0	136.5483871	31	142.2680191	4233
14	seg3	1.0	157.7083333	24	122.0810419	3785
14	seg2	0.0	130.1538462	26	98.30226541	3384
14	seg15	1.0	175.9767442	43	131.951017	7567
14	seg13	0.0	151.1428571	28	63.99578359	4232
14	seg11	0.0	161.1111111	27	151.6748378	4350
14	seg12	0.0	161.1111111	27	151.6748378	4350
14	seg17	0.0	171.4473684	38	115.5016549	6515
15	seg16	1.0	285.9452055	73	321.1208188	20874
15	seg9	1.0	275.3142857	70	173.8587252	19272
15	seg5	1.0	259.7594937	79	165.2713554	20521
15	seg4	0.0	324.046875	64	618.3860311	20739
15	seg7	1.0	256.0136986	73	127.9161502	18689
15	seg6	0.0	250.75	76	134.5279277	19057
15	seg1	1.0	263.8266667	75	256.1948358	19787
15	seg10	0.0	569.2820513	39	706.5840714	22202
15	seg3	1.0	283.8666667	75	157.3509018	21290
15	seg2	0.0	268.5333333	75	179.1179842	20140
15	seg15	0.0	317.8032787	61	221.1878402	19386
15	seg13	1.0	225.037037	81	99.49879955	18228
15	seg11	1.0	457.0625	48	656.9424149	21939
15	seg12	0.0	457.0625	48	656.9424149	21939
15	seg17	1.0	197.6129032	93	79.64909894	18378
16	seg16	1.0	264.1969697	66	236.2009066	17437
16	seg9	1.0	291.6764706	68	201.8636633	19834
16	seg5	1.0	277.8043478	46	205.2711615	12779
16	seg4	0.0	233.9882353	85	147.3821962	19889
16	seg7	1.0	255.35	60	141.0728655	15321
16	seg6	1.0	260.5245902	61	161.3900665	15892
16	seg1	1.0	332.828125	64	268.6102124	21301
16	seg10	1.0	311.7794118	68	208.7286924	21201
16	seg3	1.0	605.0	37	913.5857315	22385
16	seg2	0.0	322.2539683	63	233.296846	20302
16	seg15	1.0	269.0172414	58	194.308896	15603
16	seg13	1.0	246.1290323	62	169.7695143	15260
16	seg11	1.0	300.8125	64	246.7978978	19252
16	seg12	1.0	300.8125	64	246.7978978	19252
16	seg17	1.0	309.2903226	62	483.3811037	19176
17	seg16	0.0	131.6382979	47	53.91032229	6187
17	seg9	1.0	140.3714286	35	67.93945649	4913
17	seg5	1.0	139.1538462	26	53.97087534	3618
17	seg4	0.0	159.4528302	53	55.91530891	8451
17	seg7	0.0	167.1333333	30	84.5489996	5014
17	seg6	1.0	157.1538462	65	69.38102018	10215
17	seg1	0.0	174.9431818	88	108.7190155	15395
17	seg10	1.0	153.5178571	56	66.33413795	8597
17	seg3	0.0	139.2	25	67.00186565	3480
17	seg2	0.0	164.4090909	22	61.84593692	3617
17	seg15	1.0	163.8666667	30	58.23065512	4916
17	seg13	1.0	160.7011494	87	67.44129488	13981
17	seg11	0.0	181.5932203	59	90.00787679	10714
17	seg12	0.0	181.5932203	59	90.00787679	10714
17	seg17	1.0	170.0	20	90.8735385	3400
18	seg16	1.0	235.4827586	58	201.1844089	13658
18	seg9	1.0	316.8372093	43	278.6753471	13624
18	seg5	1.0	206.4848485	33	122.4239869	6814
18	seg4	1.0	205.4901961	51	103.4569229	10480
18	seg7	1.0	303.3023256	43	275.4642432	13042
18	seg6	1.0	227.037037	27	203.1073005	6130
18	seg1	1.0	344.4634146	41	449.1492568	14123
18	seg10	0.0	328.2647059	34	254.0903334	11161
18	seg3	1.0	215.0454545	22	245.4894969	4731
18	seg2	1.0	263.462963	54	155.920603	14227
18	seg15	0.0	214.2702703	37	110.798528	7928
18	seg13	1.0	230.5909091	44	157.2508466	10146
18	seg11	1.0	284.7321429	56	208.8364729	15945
18	seg12	0.0	284.7321429	56	208.8364729	15945
18	seg17	1.0	495.6666667	21	344.0808529	10409
19	seg16	1.0	245.3974359	78	145.8705475	19141
19	seg9	1.0	312.884058	69	359.7437215	21589
19	seg5	1.0	266.7297297	74	193.8019959	19738
19	seg4	0.0	214.091954	87	106.1541915	18626
19	seg7	1.0	238.575	80	110.1521129	19086
19	seg6	0.0	231.7375	80	109.7104063	18539
19	seg1	0.0	284.3823529	68	194.8512659	19338
19	seg10	0.0	330.25	56	397.7982243	18494
19	seg3	1.0	289.1594203	69	219.4114201	19952
19	seg2	1.0	235.8157895	76	144.8031961	17922
19	seg15	0.0	247.6666667	75	147.5684297	18575
19	seg13	1.0	236.1518987	79	119.9265896	18656
19	seg11	1.0	246.4444444	72	132.2578456	17744
19	seg12	1.0	246.4444444	72	132.2578456	17744
19	seg17	1.0	205.2555556	90	113.8187561	18473
20	seg16	1.0	239.9166667	60	150.2762757	14395
20	seg9	1.0	240.2413793	29	304.3140595	6967
20	seg5	1.0	238.6666667	24	151.7975387	5728
20	seg4	1.0	220.1538462	65	93.23328114	14310
20	seg7	1.0	237.2363636	55	225.2694653	13048
20	seg6	1.0	260.2307692	26	203.9731958	6766
20	seg1	1.0	272.0833333	24	302.6995808	6530
20	seg10	0.0	203.0909091	11	95.51382575	2234
20	seg3	0.0	241.7826087	23	102.2932311	5561
20	seg2	1.0	260.3684211	38	123.2806995	9894
20	seg15	0.0	226.7317073	41	179.4225494	9296
20	seg13	1.0	288.575	40	242.5403892	11543
20	seg11	1.0	252.4615385	26	208.2339513	6564
20	seg12	1.0	252.4615385	26	208.2339513	6564
20	seg17	0.0	327.1428571	14	177.7733463	4580
21	seg16	0.0	272.9861111	72	180.1173712	19655
21	seg9	1.0	255.5194805	77	146.7611388	19675
21	seg5	1.0	253.1875	80	186.817185	20255
21	seg4	0.0	264.3947368	76	263.7949749	20094
21	seg7	0.0	260.1973684	76	169.3541473	19775
21	seg6	0.0	244.1358025	81	164.0194922	19775
21	seg1	0.0	353.220339	59	299.1104091	20840
21	seg10	0.0	281.3098592	71	222.0416686	19973
21	seg3	1.0	295.7101449	69	269.5208221	20404
21	seg2	0.0	255.961039	77	212.9693233	19709
21	seg15	1.0	276.2739726	73	197.1555548	20168
21	seg13	1.0	453.1666667	48	573.073139	21752
21	seg11	0.0	297.3913043	69	235.937069	20520
21	seg12	0.0	297.3913043	69	235.937069	20520
21	seg17	0.0	317.7352941	68	187.1647544	21606
22	seg16	0.0	246.2407407	54	177.9977671	13297
22	seg9	0.0	259.9393939	33	173.9412507	8578
22	seg5	1.0	212.6956522	46	117.7977305	9784
22	seg4	0.0	219.1785714	84	148.7062408	18411
22	seg7	0.0	238.893617	47	156.552288	11228
22	seg6	0.0	232.85	40	137.1904067	9314
22	seg1	0.0	265.826087	69	184.9701054	18342
22	seg10	1.0	212.0384615	26	164.6063136	5513
22	seg3	0.0	244.390625	64	163.3999492	15641
22	seg2	0.0	189.1944444	36	115.1713802	6811
22	seg15	0.0	238.4509804	51	153.6564107	12161
22	seg13	1.0	229.4	65	141.5576075	14911
22	seg11	0.0	237.7317073	41	168.732336	9747
22	seg12	0.0	237.7317073	41	168.732336	9747
22	seg17	1.0	212.2261905	84	96.91610472	17827
23	seg16	1.0	288.8857143	70	198.4000893	20222
23	seg9	1.0	287.6984127	63	172.6956707	18125
23	seg5	1.0	305.9090909	11	498.8237072	3365
23	seg4	1.0	223.755814	86	110.2747303	19243
23	seg7	1.0	242.5625	16	150.4770054	3881
23	seg6	1.0	241.5	32	154.0739244	7728
23	seg1	1.0	486.3043478	46	555.918454	22370
23	seg10	0.0	296.9411765	51	184.5376289	15144
23	seg3	1.0	265.0	34	296.2083624	9010
23	seg2	1.0	297.484375	64	199.4933258	19039
23	seg15	1.0	340.375	16	322.7118167	5446
23	seg13	1.0	214.0526316	38	131.0582597	8134
23	seg11	1.0	314.2121212	66	217.9316417	20738
23	seg12	1.0	314.2121212	66	217.9316417	20738
23	seg17	1.0	240.525641	78	198.4131021	18761
24	seg16	0.0	176.6415094	53	83.35099426	9362
