Part_id	Sc_id	answer	meanabspathangles	meanrelpathangles	stddevabspathangles	stddevrelpathangles	sumabspathangles	sumrelpathangles
1	seg9	1.0	1.345850946	1.123912944	1.022290175	0.823307487	26.91701891	21.35434593
1	seg8	1.0	1.599907344	1.141552129	1.0838499	1.049329763	59.19657171	41.09587664
1	seg5	1.0	1.431927104	1.063000634	1.026048659	0.871858409	20.04697945	13.81900824
1	seg7	0.0	1.599907344	1.141552129	1.0838499	1.049329763	59.19657171	41.09587664
1	seg6	1.0	1.489501735	1.221930622	1.166111788	1.171246931	58.09056766	46.43336363
1	seg10	1.0	1.508427098	1.097857845	1.031979318	0.790016132	33.18539615	23.05501474
1	seg3	1.0	1.451367645	1.47876456	1.220289693	1.067267245	30.47872055	29.57529121
1	seg2	1.0	1.426966283	1.364358339	1.192076427	1.070193946	38.52808964	35.47331683
1	seg15	1.0	1.58752597	1.302760164	1.129484144	1.133074188	55.56340896	44.29384556
1	seg13	1.0	1.262510323	1.364640238	1.041200074	0.91932504	65.65053678	69.59665215
1	seg14	1.0	1.560434581	1.334600234	1.155762125	1.172559964	53.05477576	44.04180772
1	seg17	1.0	1.574264868	1.199329738	1.20482015	0.979508649	78.7132434	58.76715716
2	seg9	1.0	1.455579061	1.410857436	1.098389067	0.948200779	50.94526713	47.96915283
2	seg8	1.0	1.550064926	1.558507854	1.009657826	0.922736581	77.50324631	76.36688483
2	seg5	1.0	1.434619376	1.605124847	1.016196971	1.098562616	55.95015566	60.99474417
2	seg7	1.0	1.550064926	1.558507854	1.009657826	0.922736581	77.50324631	76.36688483
2	seg6	1.0	1.581312434	1.63532658	0.992382258	0.897838434	55.34593521	55.60110371
2	seg10	1.0	1.654992865	1.461077784	0.911754565	1.06177629	49.64978596	42.37125574
2	seg3	1.0	1.590443032	1.573533782	1.142693667	1.08088456	57.25594917	55.07368236
2	seg2	0.0	1.490444054	1.700255751	1.172677866	1.07197381	104.3310838	117.3176468
2	seg15	1.0	1.589841599	1.69478354	1.154212989	1.057935371	49.28508955	50.84350619
2	seg13	1.0	1.607801309	1.762331783	1.102226733	0.990741126	49.84184057	52.86995348
2	seg14	1.0	1.497569238	1.752074101	1.165827856	1.132454144	43.42950789	49.05807483
2	seg17	1.0	1.564030749	1.681090487	1.116542618	1.027586003	123.5584292	131.125058
3	seg9	1.0	1.460805527	0.894863605	1.060922866	0.773286912	59.89302663	35.79454418
3	seg8	1.0	1.511780977	1.038240349	1.014809085	0.88688118	39.30630541	25.95600871
3	seg5	1.0	1.358117588	1.164521515	1.279808484	1.078112406	14.93929347	11.64521515
3	seg7	0.0	1.511780977	1.038240349	1.014809085	0.88688118	39.30630541	25.95600871
3	seg6	1.0	1.844461142	1.412817539	1.163546618	1.039281687	71.93398454	53.68706649
3	seg10	1.0	1.566726372	1.218277848	1.039352152	0.767079128	56.40214939	42.63972469
3	seg3	1.0	1.527337303	1.512482918	1.236343696	1.203500807	21.38272224	19.66227794
3	seg2	0.0	1.715394324	1.466890859	0.956915965	1.052543198	12.00776027	8.801345156
3	seg15	1.0	1.660500132	1.356814145	0.996799269	1.012123591	31.54950251	24.42265461
3	seg13	1.0	1.333827369	1.384696274	1.134165004	1.093512007	18.67358317	18.00105156
3	seg14	1.0	1.61449947	1.59414243	1.009208499	1.001756744	30.67548992	28.69456374
3	seg17	0.0	1.459423235	1.476430428	1.133097282	0.93033616	53.9986597	53.1514954
4	seg9	0.0	1.508798091	1.329719345	1.003763728	0.959241109	66.38711601	57.17793182
4	seg8	1.0	1.64151678	1.274591632	1.061909145	0.952507301	90.28342289	68.82794814
4	seg5	0.0	1.449355751	1.370070635	0.948623139	0.97317017	69.56907607	64.39331986
4	seg7	0.0	1.64151678	1.274591632	1.061909145	0.952507301	90.28342289	68.82794814
4	seg6	0.0	1.50480258	1.293101232	1.073418255	0.973583431	102.3265755	86.63778255
4	seg10	0.0	1.56719286	1.043427667	0.949523421	0.972971889	70.52367869	45.91081736
4	seg3	1.0	1.416600924	1.123225567	1.356004759	1.158224424	52.41423417	40.4361204
4	seg2	0.0	1.457341909	1.437592487	1.06356919	1.008037252	87.44051456	84.81795673
4	seg15	0.0	1.687995882	1.340459581	1.037281718	0.989518505	82.7117982	64.34205987
4	seg13	1.0	1.556097886	1.642291918	1.110559064	1.023807713	88.69757953	91.96834743
4	seg14	0.0	1.545230274	1.316115246	1.140931629	1.063994713	75.71628342	63.17353182
4	seg17	0.0	1.573672986	1.729534088	1.191340213	1.155325522	91.27303321	98.58344301
5	seg9	1.0	1.43550585	1.141409606	1.136417824	0.968691791	54.54922229	42.23215544
5	seg8	1.0	1.523524662	1.157141719	1.19596362	1.084794725	45.70573987	33.55710985
5	seg5	1.0	1.300400555	0.894306709	1.368907718	1.110096737	26.00801109	16.99182747
5	seg7	1.0	1.523524662	1.157141719	1.19596362	1.084794725	45.70573987	33.55710985
5	seg6	1.0	1.45640853	1.242304631	1.194030674	1.124821576	68.45120091	57.14601302
5	seg10	0.0	1.530859222	1.138701357	1.08992862	0.954496507	52.04921353	37.57714477
