Part_id	Sc_id	answer	Mean AU01_r	Standard Deviation AU01_r	Minimum AU01_r	Maximum AU01_r	Sum AU01_r	Mean AU02_r	Standard Deviation AU02_r	Minimum AU02_r	Maximum AU02_r	Sum AU02_r	Mean AU04_r	Standard Deviation AU04_r	Minimum AU04_r	Maximum AU04_r	Sum AU04_r	Mean AU05_r	Standard Deviation AU05_r	Minimum AU05_r	Maximum AU05_r	Sum AU05_r	Mean AU06_r	Standard Deviation AU06_r	Minimum AU06_r	Maximum AU06_r	Sum AU06_r	Mean AU07_r	Standard Deviation AU07_r	Minimum AU07_r	Maximum AU07_r	Sum AU07_r	Mean AU09_r	Standard Deviation AU09_r	Minimum AU09_r	Maximum AU09_r	Sum AU09_r	Mean AU10_r	Standard Deviation AU10_r	Minimum AU10_r	Maximum AU10_r	Sum AU10_r	Mean AU12_r	Standard Deviation AU12_r	Minimum AU12_r	Maximum AU12_r	Sum AU12_r	Mean AU14_r	Standard Deviation AU14_r	Minimum AU14_r	Maximum AU14_r	Sum AU14_r	Mean AU15_r	Standard Deviation AU15_r	Minimum AU15_r	Maximum AU15_r	Sum AU15_r	Mean AU17_r	Standard Deviation AU17_r	Minimum AU17_r	Maximum AU17_r	Sum AU17_r	Mean AU20_r	Standard Deviation AU20_r	Minimum AU20_r	Maximum AU20_r	Sum AU20_r	Mean AU23_r	Standard Deviation AU23_r	Minimum AU23_r	Maximum AU23_r	Sum AU23_r	Mean AU25_r	Standard Deviation AU25_r	Minimum AU25_r	Maximum AU25_r	Sum AU25_r	Mean AU26_r	Standard Deviation AU26_r	Minimum AU26_r	Maximum AU26_r	Sum AU26_r	Mean AU45_r	Standard Deviation AU45_r	Minimum AU45_r	Maximum AU45_r	Sum AU45_r
13	seg7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6072000000000004	0.167928238641788	0.18	1.19	227.7	0.0003199999999999	0.0033313060501851	0.0	0.04	0.12	0.0565866666666666	0.1030938851511357	0.0	0.49	21.22	2.1939999999999977	0.2326897791767686	1.42	2.69	822.7500000000001	0.0	0.0	0.0	0.0	0.0	0.0484533333333333	0.079841558657687	0.0	0.42	18.17	0.0052266666666666	0.0184864442828312	0.0	0.13	1.96	0.0438933333333333	0.1812012931030629	0.0	1.1	16.46	0.0444266666666666	0.0910479980864793	0.0	0.43	16.66	0.4667466666666663	0.5493381009501848	0.0	2.09	175.02999999999997	0.0438666666666666	0.1322935456559474	0.0	0.72	16.45	0.0300533333333333	0.1105453021264234	0.0	0.61	11.27	0.5426666666666663	0.2349055602198939	0.0	1.29	203.5	0.9530666666666666	0.4845059981282196	0.0	2.66	357.4	0.3599733333333332	0.3340766368498234	0.0	2.05	134.99
13	seg9	1.0	0.0043733333333333	0.0206318674762019	0.0	0.15	1.64	0.0	0.0	0.0	0.0	0.0	0.6639733333333336	0.3462360648780281	0.0	1.26	248.99	0.0053333333333333	0.0296168120424119	0.0	0.29	2.0	0.2000799999999999	0.1917519063790501	0.0	0.78	75.03	2.0197333333333325	0.5341514724828114	0.21	3.22	757.4000000000001	7.999999999999999e-05	0.0008908422980528	0.0	0.01	0.03	0.074	0.1173098461340731	0.0	0.46	27.75	0.0130933333333333	0.0421872566330428	0.0	0.24	4.91	0.1119466666666667	0.2800851248380665	0.0	1.23	41.98	0.1865599999999999	0.2187873390608637	0.0	1.05	69.96000000000001	0.5224266666666669	0.3846469956842103	0.0	1.63	195.91000000000005	0.1941066666666666	0.2196110242122546	0.0	0.89	72.79	0.1234666666666666	0.2728745417871653	0.0	1.19	46.3	0.5456	0.2510300911577466	0.04	1.42	204.6	0.7660533333333331	0.6844929197263887	0.0	2.66	287.27	0.5366666666666667	0.5262702305427852	0.0	2.45	201.25
13	seg10	1.0	0.6509333333333333	0.5180676232136324	0.0	1.77	244.1	0.1276	0.1992695996215513	0.0	0.87	47.85000000000001	0.5380266666666668	0.4095191968909664	0.0	1.38	201.76	0.1401333333333333	0.3336716682941803	0.0	1.77	52.55	0.4728800000000001	0.327582211971285	0.0	1.64	177.32999999999998	0.4651999999999999	0.5104219431019779	0.0	2.04	174.45000000000002	0.1319466666666667	0.2724832909046391	0.0	1.32	49.48	0.1864266666666666	0.1506998052052121	0.0	0.96	69.91	0.1209599999999999	0.2320704168996986	0.0	1.15	45.36000000000001	0.2009066666666665	0.3502695789753303	0.0	1.97	75.34	0.3198666666666669	0.2620783258663121	0.0	1.08	119.95000000000002	1.3204266666666666	0.2882671526360381	0.09	1.77	495.16	0.0027733333333333	0.0175814852109318	0.0	0.21	1.04	0.07624	0.2176713020435478	0.0	1.17	28.59	1.0338933333333329	0.4460401050229554	0.0	1.87	387.71	0.1226399999999999	0.1918561016317524	0.0	0.75	45.99	0.1469333333333333	0.3065140489801756	0.0	1.46	55.10000000000001
13	seg11	0.0	1.0936657681940698	0.6427757666035374	0.0	2.61	405.75	0.4797843665768193	0.55921918695158	0.0	2.25	178.0	0.4628840970350407	0.4922274965901304	0.0	1.99	171.73000000000002	0.1066846361185983	0.220459102578015	0.0	1.22	39.58	0.5659299191374666	0.3142713052597977	0.0	1.74	209.96	0.889541778975741	0.7574966255650168	0.0	2.78	330.02	0.1924528301886792	0.2788978497196491	0.0	1.79	71.4	0.2115363881401617	0.2862896967319625	0.0	1.17	78.48	0.3238544474393531	0.304683071342502	0.0	1.81	120.15	0.6449865229110511	0.5124595176506792	0.0	2.56	239.29	0.2508355795148245	0.2270604427548251	0.0	1.07	93.06	1.1920485175202156	0.3781763701215183	0.0	2.12	442.25	0.18722371967655	0.2883826095039908	0.0	1.33	69.46000000000001	0.0909164420485175	0.2432035098348008	0.0	1.32	33.73	0.6846630727762805	0.6924401808100551	0.0	2.52	254.01	0.1709703504043127	0.3045665501782467	0.0	1.37	63.43000000000001	0.3271159029649597	0.3768854273920903	0.0	1.86	121.36
13	seg12	0.0	1.0936657681940698	0.6427757666035374	0.0	2.61	405.75	0.4797843665768193	0.55921918695158	0.0	2.25	178.0	0.4628840970350407	0.4922274965901304	0.0	1.99	171.73000000000002	0.1066846361185983	0.220459102578015	0.0	1.22	39.58	0.5659299191374666	0.3142713052597977	0.0	1.74	209.96	0.889541778975741	0.7574966255650168	0.0	2.78	330.02	0.1924528301886792	0.2788978497196491	0.0	1.79	71.4	0.2115363881401617	0.2862896967319625	0.0	1.17	78.48	0.3238544474393531	0.304683071342502	0.0	1.81	120.15	0.6449865229110511	0.5124595176506792	0.0	2.56	239.29	0.2508355795148245	0.2270604427548251	0.0	1.07	93.06	1.1920485175202156	0.3781763701215183	0.0	2.12	442.25	0.18722371967655	0.2883826095039908	0.0	1.33	69.46000000000001	0.0909164420485175	0.2432035098348008	0.0	1.32	33.73	0.6846630727762805	0.6924401808100551	0.0	2.52	254.01	0.1709703504043127	0.3045665501782467	0.0	1.37	63.43000000000001	0.3271159029649597	0.3768854273920903	0.0	1.86	121.36
13	seg13	1.0	0.6013807531380752	0.8629114005230006	0.0	3.63	143.73	0.1705020920502091	0.3805036287631173	0.0	2.19	40.75	1.0717154811715484	0.6036887884983948	0.0	2.16	256.14	0.4120083682008368	0.4590468384925148	0.0	1.95	98.47000000000004	0.6936820083682002	0.5188713202697534	0.0	1.69	165.79	0.5543933054393304	0.4803123418456384	0.0	2.94	132.49999999999997	0.3223012552301256	0.4423143503879277	0.0	1.47	77.03	0.6112552301255223	0.3490634416864908	0.0	1.21	146.09000000000003	0.4302092050209203	0.3783751295474341	0.0	1.86	102.82	0.7833891213389128	0.6591955120156463	0.0	2.56	187.23	0.1759832635983264	0.2518030705348361	0.0	1.04	42.06	0.7239748953974894	0.5143217650759555	0.0	1.86	173.03	0.0107949790794979	0.043302427482029	0.0	0.3	2.58	0.804518828451883	0.7464614422674039	0.0	2.1	192.28	0.2978661087866109	0.2925104991534217	0.0	1.02	71.19	0.2027196652719665	0.2745413232080773	0.0	1.36	48.45	0.244142259414226	0.314188861753763	0.0	1.56	58.35000000000001
13	seg15	1.0	2.027728706624604	1.236676839207941	0.0	4.1	642.7900000000001	1.2088328075709782	1.0177464251604218	0.0	2.66	383.2000000000001	1.0394952681388014	0.8364407831589461	0.0	3.27	329.52	0.3488643533123028	0.4644945394550645	0.0	2.04	110.59	0.3092744479495266	0.3751135816339799	0.0	1.63	98.04	0.4175394321766564	0.6547768679999463	0.0	2.34	132.36	0.5883911671924295	0.6753124746892195	0.0	2.44	186.52	0.2079179810725553	0.3428753250687986	0.0	2.41	65.91	0.4633753943217666	0.3381891297340445	0.0	1.74	146.89	0.354794952681388	0.4416634446432555	0.0	1.72	112.47	0.5794321766561514	0.6852172691692892	0.0	2.83	183.68	0.5840378548895899	0.4027094025725246	0.0	1.72	185.14	0.010788643533123	0.0562077837127121	0.0	0.5	3.42	0.194416403785489	0.3486169928165321	0.0	1.53	61.63	3.020189274447949	1.814643544737945	0.0	5.0	957.4	1.0576340694006303	0.6958482682791098	0.0	2.58	335.27	0.4233123028391168	0.6422742077862396	0.0	2.57	134.19
13	seg16	0.0	0.7041504178272983	0.5900699072824562	0.0	2.25	252.79	0.1715598885793872	0.3298287158350569	0.0	1.88	61.59	0.7192479108635094	0.4622118825106898	0.0	1.99	258.21	0.3222005571030638	0.5001881583565693	0.0	2.61	115.67	0.4873537604456824	0.3187273879572453	0.0	1.31	174.96	0.9422562674094712	0.7769056406272481	0.0	2.84	338.27	0.2337325905292478	0.3401171284759189	0.0	1.16	83.91000000000001	0.4066852367688023	0.4048348314522564	0.0	1.71	146.0	0.339025069637883	0.2960546455165988	0.0	1.22	121.70999999999998	0.5589693593314764	0.5645525224398376	0.0	2.12	200.67	0.1605849582172702	0.2032204311031639	0.0	0.89	57.650000000000006	0.7790250696378839	0.5434178403698554	0.0	2.12	279.67	0.1464623955431754	0.3151778347654052	0.0	1.82	52.58	0.133091922005571	0.2934145724525355	0.0	2.13	47.78000000000001	0.5468245125348187	0.5109704022093201	0.0	2.14	196.31	0.3325905292479109	0.5101272188473306	0.0	1.94	119.4	0.1398328690807799	0.2813298600808405	0.0	1.76	50.2
13	seg17	1.0	0.5343767313019385	0.6070360414180123	0.0	4.23	192.91	0.1634072022160665	0.2972855457000905	0.0	1.48	58.99	1.0201385041551243	0.532649503221371	0.0	1.95	368.27	0.1101939058171744	0.2476431085553138	0.0	1.07	39.78	0.9702216066482005	0.3925539018388969	0.05	1.94	350.25	1.394155124653739	0.8910135647745451	0.0	4.03	503.29	1.391662049861495	0.7026231081099537	0.0	2.24	502.39	0.6573407202216067	0.3901830208080626	0.0	1.47	237.3	0.3265373961218837	0.2326766552253333	0.0	1.32	117.88	0.3253185595567868	0.3539276588746417	0.0	1.96	117.44	1.1349307479224373	0.7696187912511018	0.0	2.6	409.71	0.6183379501385039	0.2566133729676335	0.0	1.09	223.22	0.0388642659279778	0.0788039811737826	0.0	0.48	14.03	1.2269252077562325	0.5898046227532291	0.0	2.35	442.92	0.9436565096952908	0.5238821985090615	0.0	2.02	340.66	1.8170360110803323	1.2839608563728349	0.0	3.61	655.9499999999999	0.338337950138504	0.3694474528478209	0.0	1.45	122.14
14	seg1	1.0	0.7470855614973261	0.4312825148930712	0.0	1.78	279.41	0.122379679144385	0.268261296543922	0.0	1.29	45.77	0.0509893048128342	0.1199925795078587	0.0	0.66	19.07	0.2258021390374332	0.3070878802535733	0.0	1.17	84.45	0.7834759358288768	0.4554679126726618	0.0	1.94	293.02	0.5489839572192514	0.6162557587320677	0.0	2.72	205.32000000000005	0.2757486631016043	0.2765125654682784	0.0	1.19	103.13	0.2844385026737969	0.2635089831220053	0.0	1.4	106.38	0.3432620320855616	0.3911351241577279	0.0	1.21	128.38	0.8049197860962566	0.467078036265303	0.0	1.97	301.04	0.2968449197860963	0.3306430172060696	0.0	1.42	111.02	1.1380748663101603	0.4146508546879305	0.13	1.95	425.64	0.009331550802139	0.0375853000513226	0.0	0.29	3.49	0.218101604278075	0.2848207623785844	0.0	1.16	81.57	0.9028877005347584	0.6200795215593554	0.0	2.46	337.68	0.1059090909090909	0.1869973898777693	0.0	0.81	39.61	0.1972192513368982	0.3352360012405907	0.0	1.43	73.76
