Part_id	Sc_id	answer	Mean pose_Tx	Standard Deviation pose_Tx	Minimum pose_Tx	Maximum pose_Tx	Sum pose_Tx	Mean pose_Ty	Standard Deviation pose_Ty	Minimum pose_Ty	Maximum pose_Ty	Sum pose_Ty	Mean pose_Tz	Standard Deviation pose_Tz	Minimum pose_Tz	Maximum pose_Tz	Sum pose_Tz
1	seg2	1.0	-21.6855421686747	28.35383699070746	-74.8	28.2	-10799.4	58.0367469879518	8.810815908195641	29.3	76.5	28902.3	612.5002008032127	13.880344224224809	554.7	654.8	305025.1
1	seg3	1.0	1.171200000000001	19.83245649333431	-42.8	24.8	585.5999999999999	26.405400000000043	12.25541801979843	8.5	45.7	13202.7	618.7738	8.79428300431593	592.0	641.9	309386.9
1	seg5	1.0	-35.44012096774192	38.03351428485587	-84.8	27.7	-17578.300000000003	54.94274193548385	15.575572393495383	9.5	68.7	27251.6	606.1018145161293	6.416917592189464	588.6	630.8	300626.5
1	seg6	1.0	-1.9394628099173552	19.822109507599382	-42.0	50.0	-938.7000000000002	52.83057851239672	18.94058170179876	23.6	119.7	25570.0	608.8758264462806	19.787298036194457	557.2	733.0	294695.9
1	seg7	0.0	0.6475972540045799	19.76114985080313	-42.0	50.0	282.99999999999994	52.500228832952	20.11741904784808	25.4	119.7	22942.6	598.2311212814649	20.40554153379297	557.2	733.0	261427.0
1	seg8	1.0	0.6475972540045799	19.76114985080313	-42.0	50.0	282.99999999999994	52.500228832952	20.11741904784808	25.4	119.7	22942.6	598.2311212814649	20.40554153379297	557.2	733.0	261427.0
1	seg9	1.0	-15.637786259541985	37.97033172468419	-114.2	19.1	-4097.099999999999	61.75114503816795	26.828192037516512	35.3	145.6	16178.8	579.4770992366416	34.07733585635017	489.6	647.2	151823.0
1	seg10	1.0	-35.04347826086957	47.32452751662596	-114.2	19.1	-5642.0	100.2391304347826	32.84423462819889	47.1	145.6	16138.500000000002	576.4260869565218	51.73696075621928	489.6	648.8	92804.6
1	seg13	1.0	10.278683385579942	47.11863420985986	-75.2	68.9	3278.899999999999	72.99749216300935	33.69133159184653	15.8	128.7	23286.2	608.8282131661435	29.95225909187672	556.6	678.9	194216.2
1	seg14	1.0	-40.544102564102566	91.80444714991914	-1032.6	4.7	-7906.099999999999	91.94461538461536	71.18163987729775	32.8	863.1	17929.199999999997	632.4728205128206	513.3645989110679	493.8	6785.1	123332.2
1	seg15	1.0	-48.975572519083954	40.52989489743853	-113.6	4.7	-12831.6	100.3480916030534	37.29685915013344	32.8	149.3	26291.2	577.7904580152676	26.60599614913773	493.8	647.9	151381.1
