Part_id	Sc_id	enddistance	endpupilsize	length	maxdistance	maxpupilsize	maxpupilvelocity	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	mindistance	minpupilsize	minpupilvelocity	numfixations	numsamples	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	sumabspathangles	sumfixationduration	sumrelpathangles	answer
1	seg9	553.5	2591.0	19984573	562.4	3499.5	0.049147352	1.345850946	554.4671756	182.5714286	304.0934904	3219.109415	0.001292046	1.123912944	543.5	2224.5	0	21	1199	555.25	3194.5	1.022290175	3.995835385	77.31272303	173.8900316	0.003916985	0.823307487	26.91701891	3834	21.35434593	1.0
1	seg8	556.3	2999.5	19985384	563.4	3939.5	0.088381867	1.599907344	554.1258	262.1842105	258.1425448	3343.199333	0.000933405	1.141552129	547.05	1532.0	0	38	1201	548.85	3822.5	1.0838499	3.910140231	133.4241064	259.8116884	0.004329376	1.049329763	59.19657171	9963	41.09587664	1.0
1	seg5	552.85	3536.5	19985389	565.2	4054.5	0.027289102	1.431927104	556.2123932	183.2666667	448.4584865	3307.123932	0.001634943	1.063000634	548.4	1591.0	0	15	1201	556.0	3165.0	1.026048659	3.447424902	123.546097	491.1295246	0.003940386	0.871858409	20.04697945	2749	13.81900824	1.0
1	seg7	556.3	2999.5	19985384	563.4	3939.5	0.088381867	1.599907344	554.1258	262.1842105	258.1425448	3343.199333	0.000933405	1.141552129	547.05	1532.0	0	38	1201	548.85	3822.5	1.0838499	3.910140231	133.4241064	259.8116884	0.004329376	1.049329763	59.19657171	9963	41.09587664	0.0
1	seg6	554.95	3194.5	19968722	563.4	3939.5	0.094926449	1.489501735	552.8405207	274.9	302.5352235	3406.706943	0.001068395	1.221930622	546.4	1532.0	0	40	1200	555.9	3129.0	1.166111788	3.668544513	126.4610612	267.8959185	0.00529169	1.171246931	58.09056766	10996	46.43336363	1.0
1	seg10	547.25	3388.0	19982948	569.6	3826.5	0.064305014	1.508427098	552.0607323	212.9565217	313.8594284	3320.463384	0.001167016	1.097857845	534.1	1901.0	0	23	1197	548.3	3238.0	1.031979318	6.123884944	196.0246919	268.5065905	0.003953903	0.790016132	33.18539615	4898	23.05501474	1.0
1	seg3	553.5	3697.5	19985395	571.1	3947.5	0.043410387	1.451367645	557.4439597	262.0454545	304.0890862	3409.759508	0.001159353	1.47876456	547.35	1433.0	0	22	1201	570.9	3790.0	1.220289693	4.935783519	284.7795266	287.7705255	0.003456795	1.067267245	30.47872055	5765	29.57529121	1.0
1	seg2	556.9	1747.0	19984283	573.3	3900.5	0.104840759	1.426966283	559.2049273	305.1785714	311.6712521	3419.24873	0.00094442	1.364358339	542.75	0.982	0	28	1199	549.7	3850.0	1.192076427	5.437913392	359.3506545	263.864456	0.00475098	1.070193946	38.52808964	8545	35.47331683	1.0
1	seg15	561.3	2449.5	19985384	568.1	3735.0	0.071059742	1.58752597	559.6789539	300.3055556	401.0403799	3204.924658	0.00099464	1.302760164	550.45	1759.0	0	36	1201	558.1	2574.0	1.129484144	2.828095224	239.7717748	252.1353523	0.004718318	1.133074188	55.56340896	10811	44.29384556	1.0
1	seg13	552.05	3095.5	19968686	572.0	3633.5	0.014259982	1.262510323	553.3114017	248.3018868	326.743588	3166.92364	0.000534506	1.364640238	547.45	2838.0	0	53	1200	551.2	3149.0	1.041200074	3.709817275	117.811222	146.6161689	0.00096523	0.91932504	65.65053678	13160	69.59665215	1.0
