Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	answer
3	seg19	3.08E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	563.75	3971.5	0.000591669	2.20E-06	0.006383922	14972403	552.9766387	83273	578.3	4142	0.059385133	0.014733217	1.439389728	521.8858833	260.969697	276.8346721	3499.119085	0.000909455	1.501870881	234.4942951	61318.81818	0.003805944	500.65	1374	0	0.000859941	33	22	900	1	3.11E-06	511	2379	0.996861531	14.36370608	221.7912144	220.3207382	306.7194965	0.003669064	1.077831273	147.848068	16564.19729	0.002965695	46.06047129	8612	8858.709508	46.5579973	5158.874493	1349014	
3	seg12	2.72E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	529.2	3587	0.000330096	1.73E-06	0.004773994	14993584	619.1612162	83273	547.45	4147	0.015371682	0.010283507	1.630825374	528.1264706	174.3076923	197.9730346	3834.567227	0.000683663	1.160189564	212.2069858	52739.44444	0.00399302	500.45	3236	0	0.0007497	26	18	890	1	1.86E-06	538.7	3834	0.985072261	9.932801939	81.64056307	152.2957566	115.6258785	0.001235767	0.931724603	165.5542065	15381.25914	0.003103825	40.77063434	4532	4949.325865	27.84454953	3819.725744	949310	
3	seg17	1.73E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	514.9	3476	0.000340223	1.20E-06	0.002819055	14969782	551.9257479	99929	530.75	3768.5	0.003902732	0.0082307	1.527210679	514.5782895	156.5	299.5916188	3408.239035	0.000575198	1.44441233	260.8259408	66618.06667	0.003842665	493.1	3030	0	0.0014438	18	15	898	1	1.54E-06	515.65	3383	1.232155934	6.428702513	55.02646422	219.7017372	134.8751131	0.000606045	0.915381084	149.4004294	14075.87511	0.001960188	25.96258154	2817	5093.05752	23.11059728	3912.389112	999271	0
3	seg18	2.06E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	508.7	3453.5	0.000311954	1.33E-06	0.004955117	14987947	325.7662474	66619	559.05	4278	0.011167817	0.008566306	1.621369962	519.4923345	165.05	246.0817214	3639.531359	0.000932601	0.980438602	215.5981557	55515	0.004174825	480.8	1480	0	0.001886567	20	12	897	1	1.18E-06	524.8	4278	1.34254445	15.69502985	51.80070615	86.48119305	296.9536955	0.001331312	0.973465006	89.05799352	12965.62745	0.00229929	30.80602929	3301	4675.552707	17.64789484	2587.177868	666180	
4	4_allsc	4.12E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	566.1	3500.5	0.001094054	2.73E-06	0.00549639	284692086	1643.359592	116582	649.5	4269.5	0.161883031	0.015903907	1.545616682	607.0327805	221.9280206	410.3668599	3513.49696	0.000942631	1.424224551	272.37561	58953.94513	0.004214561	463.8	1388	0	0.000792107	778	565	17113	19	3.70E-06	616.9	3967	1.058110388	17.82793003	177.8687497	472.3786502	258.412902	0.003275701	1.020110513	245.8489172	18900.17187	0.002772983	1173.123062	172660	311468.4467	1053.926168	153892.2197	33308979	
4	seg16	4.13E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	611.9	3624	0.000874312	2.81E-06	0.004247304	14972395	707.7576054	99927	649.5	3927	0.053497448	0.008499347	1.506597288	619.5779088	192	319.2816114	3488.80739	0.000784738	1.65514009	213.3073383	57533.81818	0.003411348	602.1	1984	0	0.000792107	42	33	900	1	4.42E-06	620.15	3586	1.010993873	6.562588086	101.6322879	409.1083095	163.6229469	0.002568849	1.052198897	185.2986373	16174.2695	0.002246108	61.77048881	8064	13090.54607	66.20560361	7039.142164	1898616	
4	seg9	3.57E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	590.6	3625	0.001166807	2.54E-06	0.004641586	14989050	1589.229692	99927	627.5	3930.5	0.042632401	0.015903907	1.444597439	607.6721119	181.0526316	472.6844761	3527.712996	0.000915196	1.311622342	286.9997924	61760.5	0.004210442	587.6	2622	0	0.001304077	38	24	901	1	3.15E-06	626.75	3323.5	1.031982497	7.123444804	75.04879399	549.7420932	238.195734	0.002162506	0.98329522	310.205395	18030.68414	0.003194735	53.45010524	6880	17489.32562	47.21840433	6887.995019	1482252	0
4	seg8	4.02E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	616.5	3748.5	0.001257698	2.54E-06	0.004296208	14972409	609.6319568	99927	639.9	3748.5	0.009486641	0.011784662	1.62634847	615.1287796	184.5263158	508.9397681	3239.785975	0.000867881	1.273529205	260.0849956	60449.51852	0.004199704	607	2982.5	0	0.001225941	38	27	900	1	3.06E-06	609.15	3126	0.965865857	5.385846768	77.09549601	628.5264858	129.3387774	0.00138361	0.877565987	166.3612153	15422.71118	0.002639007	60.17489339	7012	18830.77142	45.84705137	7022.294881	1632137	1
4	seg5	3.90E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	595.15	3418.5	0.001219733	2.54E-06	0.005779545	14989071	1438.178815	116582	620.9	3910	0.028761859	0.012336305	1.579036985	604.4158482	227.9736842	494.1259351	3366.924851	0.000898928	1.36263065	344.7536336	62454.45833	0.004512471	592.15	2888	0	0.001047361	38	24	901	1	3.27E-06	602.45	3272	0.971990275	5.820867789	197.621873	608.6005744	142.1641646	0.001797027	0.95628774	413.7086922	24678.00306	0.003344443	58.42436845	8663	18282.6596	49.05470341	8274.087206	1498907	0
4	seg4	5.49E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	607.45	3395.5	0.001309515	3.47E-06	0.004625883	14989038	970.009025	83273	627.6	3655	0.040288202	0.014560983	1.614170355	612.8705422	213.3461538	384.8698703	3402.260241	0.000856669	1.560278671	318.2526123	58493.78049	0.00526746	605.5	2594	0	0.001461094	52	41	901	1	5.20E-06	614.2	3608.5	1.254651607	3.08198827	94.08879507	266.0501204	126.3973204	0.002198686	1.195458504	215.8797666	17115.22905	0.003184632	82.32268809	11094	19628.36339	78.01393356	13048.3571	2398245	
