Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
121,15/02/2023 14:13:32,0.0,0,1.237154317,74229259.02,P17,216963437.0,292109347.0,play,pause,01:03:36.963437,01:04:52.109347
122,15/02/2023 14:14:32,44.032,44032000,0.039808233,2388493.98,P17,296381441.0,298915376.0,play,ff,01:04:56.381441,01:04:58.915376
123,15/02/2023 14:14:32,56.339634,56339634,0.162446767,9746806.02,P17,298915376.0,309429268.0,ff,pause,01:04:58.915376,01:05:09.429268
124,15/02/2023 14:15:02,66.239634,66239634,0.128814667,7728880.02,P17,312653368.0,320485309.0,play,pause,01:05:12.653368,01:05:20.485309
125,15/02/2023 14:15:02,74.079634,74079634,0.179410433,10764625.98,P17,324909326.0,335829243.0,play,pause,01:05:24.909326,01:05:35.829243
126,15/02/2023 14:15:32,84.999634,84999634,0.079737117,4784227.02,P17,345093271.0,349957275.0,play,pause,01:05:45.093271,01:05:49.957275
127,15/02/2023 14:15:32,89.862982,89862982,1.142756617,68565397.02,P17,356421217.0,425101154.0,play,pause,01:05:56.421217,01:07:05.101154
128,15/02/2023 14:17:02,158.484243,158484243,0.488996133,29339767.98,P17,448421024.0,478493199.0,play,pause,01:07:28.421024,01:07:58.493199
129,15/02/2023 14:18:02,187.944691,187944691,0.741009867,44460592.02,P17,487620932.0,532196774.0,play,pause,01:08:07.620932,01:08:52.196774
130,15/02/2023 14:18:32,232.524886,232524886,0.258001183,15480070.98,P17,540796878.0,556372847.0,play,pause,01:09:00.796878,01:09:16.372847
131,15/02/2023 14:19:02,248.108042,248108042,0.43656095,26193657.0,P17,570908743.0,597220837.0,play,pause,01:09:30.908743,01:09:57.220837
132,15/02/2023 14:20:02,274.449255,274449255,0.974649467,58478968.02,P17,611324723.0,669844490.0,play,pause,01:10:11.324723,01:11:09.844490
133,15/02/2023 14:21:02,332.991376,332991376,1.445291333,86717479.98,P17,684484871.0,771332333.0,play,pause,01:11:24.484871,01:12:51.332333
134,15/02/2023 14:22:32,409.795928,409795928,0.058072367,3484342.02,P17,777698231.0,781284310.0,play,pause,01:12:57.698231,01:13:01.284310
135,15/02/2023 14:23:02,413.379166,413379166,0.16569565,9941739.0,P17,788244243.0,798316270.0,play,pause,01:13:08.244243,01:13:18.316270
136,15/02/2023 14:23:32,423.391581,423391581,0.106456283,6387376.98,P17,816916208.0,823572214.0,play,pause,01:13:36.916208,01:13:43.572214
137,15/02/2023 14:23:32,429.871581,429871581,0.173036767,10382206.02,P17,829092274.0,838000000.0,play,,01:13:49.092274,01:13:58
