Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
2,9/2/2023 10:05,0.0,0,0.0155725,934350.0,P02,166474367.0,348796509.0,play,fb,01:02:46.474367,01:05:48.796509
3,9/2/2023 10:09,1.00429,1004290,3.031782367,181906942.0,P02,348796509.0,350620427.0,fb,fb,01:05:48.796509,01:05:50.620427
4,9/2/2023 10:12,0.0,0,0.057722567,3463354.02,P02,350620427.0,354345391.0,fb,ff,01:05:50.620427,01:05:54.345391
5,9/2/2023 10:13,137.28,137280000,0.025361967,1521718.02,P02,354345391.0,361673406.0,ff,ff,01:05:54.345391,01:06:01.673406
6,9/2/2023 10:13,140.55,140550000,4.9960954,299765724.0,P02,361673406.0,661000000.0,ff,,01:06:01.673406,01:11:01
