Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
89,14/02/2023 16:08:38,0.0,0,0.04247155,2548293.0,P13,33760150.0,37120097.0,play,pause,01:00:33.760150,01:00:37.120097
90,14/02/2023 16:08:38,2.64,2640000,2.696744317,161804659.0,P13,41312073.0,203281357.0,play,fb,01:00:41.312073,01:03:23.281357
91,14/02/2023 16:11:08,120.309041,120309041,0.364749433,21884965.98,P13,203281357.0,225393315.0,fb,pause,01:03:23.281357,01:03:45.393315
92,14/02/2023 16:11:38,142.269041,142269041,0.262167983,15730078.98,P13,225689563.0,241529285.0,play,pause,01:03:45.689563,01:04:01.529285
93,14/02/2023 16:12:08,158.040335,158040335,0.442095283,26525716.98,P13,259081134.0,286232951.0,play,pause,01:04:19.081134,01:04:46.232951
94,14/02/2023 16:13:08,185.060335,185060335,0.529110633,31746637.98,P13,305169046.0,337000741.0,play,pause,01:05:05.169046,01:05:37.000741
95,14/02/2023 16:13:38,216.883765,216883765,0.484443583,29066614.98,P13,349176742.0,378288751.0,play,pause,01:05:49.176742,01:06:18.288751
96,14/02/2023 16:14:08,246.020335,246020335,0.054167883,3250072.98,P13,385760557.0,389126547.0,play,fb,01:06:25.760557,01:06:29.126547
97,14/02/2023 16:14:08,239.124538,239124538,0.044826267,2689576.02,P13,389126547.0,392528639.0,fb,pause,01:06:29.126547,01:06:32.528639
98,14/02/2023 16:14:38,241.928586,241928586,0.364036283,21842176.98,P13,404696496.0,426616482.0,play,pause,01:06:44.696496,01:07:06.616482
99,14/02/2023 16:15:08,263.864538,263864538,0.4394267,26365602.0,P13,430848459.0,457344286.0,play,pause,01:07:10.848459,01:07:37.344286
100,14/02/2023 16:15:38,290.293493,290293493,0.751873167,45112390.02,P13,475144139.0,520920038.0,play,pause,01:07:55.144139,01:08:40.920038
101,14/02/2023 16:16:38,335.49507,335495070,0.65445475,39267285.0,P13,530055962.0,569399685.0,play,pause,01:08:50.055962,01:09:29.399685
102,14/02/2023 16:18:08,374.77904,374779040,0.5624642,33747852.0,P13,611087717.0,645607771.0,play,pause,01:10:11.087717,01:10:45.607771
103,14/02/2023 16:18:38,408.623703,408623703,0.332810767,19968646.02,P13,656679328.0,676719207.0,play,pause,01:10:56.679328,01:11:16.719207
104,14/02/2023 16:19:08,418.624413,418624413,0.027488783,1649326.98,P13,685429144.0,687255188.0,play,pause,01:11:25.429144,01:11:27.255188
105,14/02/2023 16:19:38,420.346018,420346018,0.332250683,19935040.98,P13,718623055.0,737000000.0,play,,01:11:58.623055,01:12:17
