Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
254,28/02/2023 13:37:02,0.0,0,1.165229033,69913741.98,P25,143067010.0,213348605.0,play,pause,01:02:23.067010,01:03:33.348605
255,28/02/2023 13:38:02,69.980734,69980734,0.231101617,13866097.02,P25,225244500.0,239164500.0,play,pause,01:03:45.244500,01:03:59.164500
256,28/02/2023 13:39:02,83.863204,83863204,1.058453117,63507187.02,P25,262900319.0,327220091.0,play,pause,01:04:22.900319,01:05:27.220091
257,28/02/2023 13:40:02,147.442328,147442328,0.179843383,10790602.98,P25,343683993.0,354756013.0,play,pause,01:05:43.683993,01:05:54.756013
258,28/02/2023 13:40:32,148.240949,148240949,0.130505983,7830358.98,P25,362753907.0,370721837.0,play,pause,01:06:02.753907,01:06:10.721837
259,28/02/2023 13:40:32,156.200949,156200949,0.030166,1809960.0,P25,374169796.0,376137733.0,play,pause,01:06:14.169796,01:06:16.137733
260,28/02/2023 13:41:02,158.101945,158101945,0.323324883,19399492.98,P25,406169575.0,426233794.0,play,pause,01:06:46.169575,01:07:06.233794
261,28/02/2023 13:42:02,178.621945,178621945,0.081796567,4907794.02,P25,448675654.0,453691487.0,play,pause,01:07:28.675654,01:07:33.691487
262,28/02/2023 13:42:02,173.57485,173574850,0.15701005,9420603.0,P25,464403014.0,474339438.0,play,pause,01:07:44.403014,01:07:54.339438
263,28/02/2023 13:42:32,183.160211,183160211,0.1440427,8642562.0,P25,487755458.0,496497349.0,play,fb,01:08:07.755458,01:08:16.497349
264,28/02/2023 13:42:32,181.603872,181603872,0.04681655,2808993.0,P25,496497349.0,499897276.0,fb,pause,01:08:16.497349,01:08:19.897276
265,28/02/2023 13:43:02,185.214332,185214332,0.066224833,3973489.98,P25,522259337.0,526867376.0,play,pause,01:08:42.259337,01:08:46.867376
266,28/02/2023 13:43:32,189.209061,189209061,0.182515817,10950949.02,P25,542883202.0,554059106.0,play,pause,01:09:02.883202,01:09:14.059106
267,28/02/2023 13:44:02,200.170373,200170373,0.197184317,11831059.02,P25,569635115.0,582115081.0,play,pause,01:09:29.635115,01:09:42.115081
268,28/02/2023 13:44:32,212.135085,212135085,0.107309567,6438574.02,P25,593370894.0,599931048.0,play,pause,01:09:53.370894,01:09:59.931048
269,28/02/2023 13:44:32,218.730373,218730373,0.07670415,4602249.0,P25,608970878.0,613715031.0,play,pause,01:10:08.970878,01:10:13.715031
270,28/02/2023 13:44:32,223.470373,223470373,0.018052283,1083136.98,P25,619802862.0,621010835.0,play,pause,01:10:19.802862,01:10:21.010835
271,28/02/2023 13:45:02,224.616232,224616232,0.1141374,6848244.0,P25,638930745.0,646466813.0,play,pause,01:10:38.930745,01:10:46.466813
272,28/02/2023 13:45:33,231.483171,231483171,0.140334933,8420095.98,P25,672258569.0,680978507.0,play,pause,01:11:12.258569,01:11:20.978507
273,28/02/2023 13:46:02,239.934424,239934424,0.175758983,10545538.98,P25,710346529.0,721706452.0,play,pause,01:11:50.346529,01:12:01.706452
274,28/02/2023 13:46:32,240.540469,240540469,0.018762067,1125724.02,P25,724160339.0,725376243.0,play,pause,01:12:04.160339,01:12:05.376243
275,28/02/2023 13:46:32,241.695732,241695732,0.0396406,2378436.0,P25,740978259.0,743906628.0,play,pause,01:12:20.978259,01:12:23.906628
276,28/02/2023 13:47:02,244.195732,244195732,0.12995635,7797381.0,P25,749482279.0,757404203.0,play,pause,01:12:29.482279,01:12:37.404203
277,28/02/2023 13:47:02,242.052499,242052499,0.12906735,7744041.0,P25,769064227.0,777040044.0,play,pause,01:12:49.064227,01:12:57.040044
278,28/02/2023 13:47:32,250.931886,250931886,0.048085783,2885146.98,P25,794792246.0,797840056.0,play,pause,01:13:14.792246,01:13:17.840056
279,28/02/2023 13:48:02,253.971886,253971886,0.041742367,2504542.02,P25,805775989.0,808384090.0,play,pause,01:13:25.775989,01:13:28.384090
280,28/02/2023 13:48:02,256.515235,256515235,0.0623817,3742902.0,P25,823831990.0,828063894.0,play,pause,01:13:43.831990,01:13:48.063894
281,28/02/2023 13:48:32,260.274599,260274599,0.053034183,3182050.98,P25,849727806.0,853631790.0,play,pause,01:14:09.727806,01:14:13.631790
282,28/02/2023 13:49:02,263.541941,263541941,0.088678517,5320711.02,P25,873743737.0,879807642.0,play,pause,01:14:33.743737,01:14:39.807642
283,28/02/2023 13:49:02,268.987461,268987461,0.082290267,4937416.02,P25,889863736.0,894863621.0,play,pause,01:14:49.863736,01:14:54.863621
284,28/02/2023 13:49:32,273.943492,273943492,0.017551433,1053085.98,P25,913623542.0,915063499.0,play,pause,01:15:13.623542,01:15:15.063499
285,28/02/2023 13:50:02,275.087118,275087118,0.08131785,4879071.0,P25,926831510.0,931815439.0,play,pause,01:15:26.831510,01:15:31.815439
286,28/02/2023 13:50:32,280.785033,280785033,0.041842933,2510575.98,P25,974343305.0,977375262.0,play,pause,01:16:14.343305,01:16:17.375262
287,28/02/2023 13:52:02,291.062584,291062584,0.071272817,4276369.02,P25,1045113134.0,1049617022.0,play,pause,01:17:25.113134,01:17:29.617022
288,28/02/2023 13:52:02,285.409172,285409172,0.163784467,9827068.02,P25,1064486898.0,1074368845.0,play,pause,01:17:44.486898,01:17:54.368845
289,28/02/2023 13:53:02,295.950973,295950973,0.046960133,2817607.98,P25,1108168738.0,1111646643.0,play,fb,01:18:28.168738,01:18:31.646643
290,28/02/2023 13:53:02,288.844671,288844671,0.12795425,7677255.0,P25,1111646643.0,1119654622.0,fb,pause,01:18:31.646643,01:18:39.654622
291,28/02/2023 13:53:02,296.584671,296584671,0.0723079,4338474.0,P25,1127542635.0,1132014604.0,play,pause,01:18:47.542635,01:18:52.014604
292,28/02/2023 13:54:02,299.77,299770000,0.05978285,3586971.0,P25,1162030468.0,1165846409.0,play,pause,01:19:22.030468,01:19:25.846409
293,28/02/2023 13:54:02,303.458032,303458032,0.03279495,1967697.0,P25,1190326347.0,1192638607.0,play,pause,01:19:50.326347,01:19:52.638607
294,28/02/2023 13:54:32,305.517924,305517924,0.019107367,1146442.02,P25,1215150280.0,1217046209.0,play,pause,01:20:15.150280,01:20:17.046209
295,28/02/2023 13:55:02,306.844386,306844386,0.030075867,1804552.02,P25,1228102286.0,1229950180.0,play,fb,01:20:28.102286,01:20:29.950180
296,28/02/2023 13:55:02,298.386868,298386868,0.152509117,9150547.02,P25,1229950180.0,1239598166.0,fb,pause,01:20:29.950180,01:20:39.598166
297,28/02/2023 13:55:33,307.589549,307589549,0.065004133,3900247.98,P25,1258350050.0,1262822016.0,play,pause,01:20:58.350050,01:21:02.822016
298,28/02/2023 13:56:02,311.565015,311565015,0.082207883,4932472.98,P25,1282797951.0,1288541937.0,play,pause,01:21:22.797951,01:21:28.541937
299,28/02/2023 13:56:33,316.592592,316592592,0.057294783,3437686.98,P25,1315614033.0,1319581786.0,play,pause,01:21:55.614033,01:21:59.581786
300,28/02/2023 13:56:33,320.136075,320136075,0.01895765,1137459.0,P25,1329869743.0,1331117824.0,play,pause,01:22:09.869743,01:22:11.117824
301,28/02/2023 13:56:33,321.415876,321415876,0.048617,2917020.0,P25,1338573733.0,1341549677.0,play,pause,01:22:18.573733,01:22:21.549677
302,28/02/2023 13:57:02,324.335794,324335794,0.044884933,2693095.98,P25,1360517617.0,1363509569.0,play,pause,01:22:40.517617,01:22:43.509569
303,28/02/2023 13:57:33,327.09164,327091640,0.033171417,1990285.02,P25,1379589550.0,1381757532.0,play,pause,01:22:59.589550,01:23:01.757532
