Participant	Segment	Start Time	End Time
13	4	152672073	216972316
13	5	224972316	263040799
13	6	260040799	280040799
13	7	270040799	309108711
13	8	270040799	309108711
13	9	280040799	319108711
13	10	313108711	333108711
13	11	325108711	357292977
13	12	325108711	357292977
13	13	477850646	497850646
13	14	502850646	532560892
13	15	505850646	535560892
13	16	336108711	368292977
13	17	618308677	700277037
13	18	435983921	455983921
13	19	515850646	545560892
14	1	237711944	257711944
14	2	261711944	281711944
14	3	289711944	309711944
14	4	340173068	360173068
14	5	368173068	378117151
14	6	385173068	405173068
14	7	378560660	415173068
14	8	378560660	415173068
14	9	405173068	425173068
14	10	419173068	439173068
14	11	431173068	451173068
14	12	431173068	451173068
14	13	519173068	539173068
14	14	544173068	564173068
14	15	547173068	567173068
14	16	442173068	462173068
14	17	608173068	628173068
14	18	495173068	515173068
14	19	557173068	577173068
15	1	174519463	194519463
15	2	198519463	218519463
15	3	226519463	246519463
15	4	257519463	277519463
15	5	285519463	305519463
15	6	302519463	322519463
15	7	312519463	332519463
15	8	312519463	332519463
15	9	322519463	342519463
15	10	336519463	356519463
15	11	348519463	368519463
15	12	348519463	368519463
15	13	436519463	456519463
15	14	461519463	481519463
15	15	464519463	484519463
15	16	359519463	379519463
15	17	525519463	545519463
15	18	412519463	432519463
15	19	474519463	494519463
16	1	159740664	179740664
16	2	183740664	203740664
16	3	211740664	231740664
16	4	242740664	262740664
16	5	371402080	303217133
16	6	300217133	320217133
16	7	310217133	375637966
16	8	310217133	375637966
16	9	320217133	385637966
16	10	379637966	399637966
16	11	391637966	411843525
16	12	391637966	411843525
16	13	511312345	531312345
16	14	536312345	556312345
16	15	539312345	559312345
16	16	402843525	422843525
16	17	600312345	620312345
16	18	498604373	507312345
16	19	549312345	569312345
17	1	247963437	303349441
17	2	307349441	325829692
17	3	333829692	369558235
17	4	380558235	400558235
17	5	408558235	451936781
17	6	448936781	468936781
17	7	458936781	488676241
17	8	458936781	488676241
17	9	468936781	498676241
17	10	492676241	512676241
17	11	504676241	524676241
17	12	504676241	524676241
17	13	629875468	649875468
17	14	654875468	689493495
17	15	657875468	692493495
17	16	515676241	544271992
17	17	781220693	801220693
17	18	591800701	625875468
17	19	667875468	702493495
18	1	326456315	346456315
18	2	350456315	370456315
18	3	378456315	442614727
18	4	453614727	589976336
18	5	597976336	653418246
18	6	650418246	712882891
18	7	660418246	722882891
18	8	660418246	722882891
18	9	712882891	732882891
18	10	726882891	767889337
18	11	759889337	779889337
18	12	759889337	779889337
18	13	1050796393	1138846270
18	14	1143846270	1178360659
18	15	1146846270	1181360659
18	16	770889337	838016269
18	17	1267339447	1323229025
18	18	957588879	1078589090
18	19	1171360659	1191360659
19	1	176896165	196896165
19	2	200896165	220896165
19	3	228896165	248896165
19	4	259896165	279896165
19	5	287896165	307896165
19	6	304896165	324896165
