,Recording timestamp,Eye movement type,gaze_direction
47,527622441,EyesNotFound,screen
48,527639096,EyesNotFound,screen
49,527655751,EyesNotFound,screen
127,528954804,EyesNotFound,screen
176,529770880,EyesNotFound,screen
206,530270519,EyesNotFound,screen
330,532335691,EyesNotFound,screen
333,532385654,EyesNotFound,screen
334,532402309,EyesNotFound,screen
335,532418963,EyesNotFound,screen
346,532602164,EyesNotFound,screen
347,532618819,EyesNotFound,screen
348,532635473,EyesNotFound,screen
349,532652128,EyesNotFound,screen
350,532668783,EyesNotFound,screen
356,532768711,EyesNotFound,screen
357,532785366,EyesNotFound,screen
360,532835329,EyesNotFound,screen
361,532851983,EyesNotFound,screen
365,532918602,EyesNotFound,screen
366,532935257,EyesNotFound,screen
367,532951911,EyesNotFound,screen
368,532968566,EyesNotFound,screen
369,532985221,EyesNotFound,screen
370,533001875,EyesNotFound,screen
371,533018529,EyesNotFound,screen
372,533035184,EyesNotFound,screen
377,533118457,EyesNotFound,screen
390,533334967,EyesNotFound,screen
391,533351622,EyesNotFound,screen
396,533434895,EyesNotFound,screen
397,533451550,EyesNotFound,screen
398,533468204,EyesNotFound,screen
399,533484858,EyesNotFound,screen
400,533501513,EyesNotFound,screen
401,533518168,EyesNotFound,screen
402,533534822,EyesNotFound,screen
403,533551477,EyesNotFound,screen
404,533568132,EyesNotFound,screen
405,533584787,EyesNotFound,screen
406,533601441,EyesNotFound,screen
407,533618096,EyesNotFound,screen
408,533634751,EyesNotFound,screen
409,533651405,EyesNotFound,screen
410,533668060,EyesNotFound,screen
411,533684714,EyesNotFound,screen
412,533701368,EyesNotFound,screen
413,533718022,EyesNotFound,screen
439,534151042,EyesNotFound,screen
535,535749883,EyesNotFound,screen
573,536382757,EyesNotFound,screen
574,536399412,EyesNotFound,screen
575,536416066,EyesNotFound,screen
603,536882396,EyesNotFound,screen
604,536899050,EyesNotFound,screen
605,536915705,EyesNotFound,screen
632,537365379,EyesNotFound,screen
633,537382033,EyesNotFound,screen
849,540979428,EyesNotFound,screen
885,541578994,EyesNotFound,screen
886,541595648,EyesNotFound,screen
900,541828813,EyesNotFound,screen
901,541845468,EyesNotFound,screen
902,541862122,EyesNotFound,screen
903,541878777,EyesNotFound,screen
904,541895432,EyesNotFound,screen
905,541912085,EyesNotFound,screen
939,542478343,EyesNotFound,screen
940,542494997,EyesNotFound,screen
941,542511652,EyesNotFound,screen
942,542528307,EyesNotFound,screen
943,542544960,EyesNotFound,screen
1040,544160459,EyesNotFound,screen
1041,544177114,EyesNotFound,screen
1042,544193768,EyesNotFound,screen
1043,544210423,EyesNotFound,screen
1044,544227078,EyesNotFound,screen
1123,545542796,EyesNotFound,screen
1124,545559450,EyesNotFound,screen
1125,545576105,EyesNotFound,screen
1283,548207542,EyesNotFound,screen
1284,548224197,EyesNotFound,screen
1285,548240852,EyesNotFound,screen
1286,548257506,EyesNotFound,screen
1644,554219859,EyesNotFound,screen
1645,554236514,EyesNotFound,screen
1927,558933106,EyesNotFound,screen
1939,559132962,EyesNotFound,screen
1940,559149616,EyesNotFound,screen
1941,559166271,EyesNotFound,screen
1942,559182925,EyesNotFound,screen
1943,559199580,EyesNotFound,screen
1944,559216235,EyesNotFound,screen
2043,560865041,EyesNotFound,screen
2044,560881695,EyesNotFound,screen
2045,560898350,EyesNotFound,screen
2046,560915005,EyesNotFound,screen
2047,560931659,EyesNotFound,screen
2187,563263305,EyesNotFound,screen
2188,563279959,EyesNotFound,screen
2189,563296614,EyesNotFound,screen
2190,563313269,EyesNotFound,screen
2217,563762943,EyesNotFound,screen
2218,563779598,EyesNotFound,screen
2219,563796253,EyesNotFound,screen
2220,563812906,EyesNotFound,screen
2221,563829561,EyesNotFound,screen
2276,564745566,EyesNotFound,screen
2277,564762221,EyesNotFound,screen
2278,564778875,EyesNotFound,screen
2279,564795530,EyesNotFound,screen
2280,564812185,EyesNotFound,screen
2299,565128623,EyesNotFound,screen
2348,565944700,EyesNotFound,screen
2349,565961355,EyesNotFound,screen
2350,565978010,EyesNotFound,screen
2351,565994663,EyesNotFound,screen
2352,566011318,EyesNotFound,screen
2627,570591343,EyesNotFound,screen
2803,573522554,EyesNotFound,screen
2804,573539209,EyesNotFound,screen
2805,573555864,EyesNotFound,screen
2806,573572518,EyesNotFound,screen
2807,573589173,EyesNotFound,screen
