,Recording timestamp,Eye movement type,gaze_direction
7,258888988,EyesNotFound,screen
8,258905643,EyesNotFound,screen
9,258922298,EyesNotFound,screen
12,258972261,EyesNotFound,screen
13,258988915,EyesNotFound,screen
34,259338660,EyesNotFound,screen
35,259355314,EyesNotFound,screen
36,259371969,EyesNotFound,screen
37,259388624,EyesNotFound,screen
38,259405278,EyesNotFound,screen
39,259421932,EyesNotFound,screen
42,259471896,EyesNotFound,screen
43,259488550,EyesNotFound,screen
44,259505205,EyesNotFound,screen
45,259521859,EyesNotFound,screen
46,259538514,EyesNotFound,screen
47,259555169,EyesNotFound,screen
48,259571822,EyesNotFound,screen
49,259588477,EyesNotFound,screen
50,259605132,EyesNotFound,screen
51,259621786,EyesNotFound,screen
121,260787603,EyesNotFound,screen
154,261337200,EyesNotFound,None
155,261353855,EyesNotFound,None
156,261370510,EyesNotFound,None
157,261387164,EyesNotFound,None
158,261403819,EyesNotFound,None
159,261420473,EyesNotFound,None
160,261437127,EyesNotFound,screen
161,261453782,EyesNotFound,screen
356,264701409,EyesNotFound,screen
357,264718064,EyesNotFound,screen
358,264734718,EyesNotFound,screen
359,264751371,EyesNotFound,screen
360,264768026,EyesNotFound,screen
361,264784681,EyesNotFound,screen
368,264901262,EyesNotFound,screen
369,264917916,EyesNotFound,screen
377,265051152,EyesNotFound,screen
378,265067806,EyesNotFound,screen
379,265084461,EyesNotFound,screen
380,265101115,EyesNotFound,screen
381,265117769,EyesNotFound,screen
382,265134424,EyesNotFound,screen
383,265151079,EyesNotFound,screen
384,265167733,EyesNotFound,screen
385,265184387,EyesNotFound,screen
756,271363189,EyesNotFound,screen
757,271379844,EyesNotFound,screen
758,271396498,EyesNotFound,screen
759,271413152,EyesNotFound,screen
894,273661509,EyesNotFound,screen
895,273678164,EyesNotFound,screen
896,273694817,EyesNotFound,screen
897,273711472,EyesNotFound,screen
898,273728127,EyesNotFound,screen
899,273744781,EyesNotFound,screen
900,273761436,EyesNotFound,screen
901,273778090,EyesNotFound,screen
902,273794745,EyesNotFound,screen
903,273811399,EyesNotFound,screen
904,273828054,EyesNotFound,screen
905,273844709,EyesNotFound,screen
906,273861362,EyesNotFound,screen
907,273878017,EyesNotFound,None
908,273894672,EyesNotFound,None
909,273911326,EyesNotFound,None
910,273927981,EyesNotFound,None
911,273959281,EyesNotFound,None
912,273975935,EyesNotFound,None
913,273992590,EyesNotFound,None
914,274009245,EyesNotFound,None
915,274025899,EyesNotFound,None
916,274042553,EyesNotFound,None
