,Recording timestamp,Eye movement type,gaze_direction
186,220181632,EyesNotFound,screen
187,220198286,EyesNotFound,screen
188,220214941,EyesNotFound,screen
189,220231595,EyesNotFound,screen
190,220248250,EyesNotFound,screen
258,221380754,EyesNotFound,screen
259,221397409,EyesNotFound,screen
260,221414064,EyesNotFound,screen
261,221430718,EyesNotFound,screen
262,221447373,EyesNotFound,screen
263,221464027,EyesNotFound,screen
264,221480681,EyesNotFound,screen
272,221613918,EyesNotFound,screen
273,221630572,EyesNotFound,screen
274,221647226,EyesNotFound,screen
275,221663881,EyesNotFound,screen
276,221680536,EyesNotFound,screen
277,221697190,EyesNotFound,screen
278,221713844,EyesNotFound,screen
535,225994043,EyesNotFound,screen
536,226010697,EyesNotFound,screen
537,226027352,EyesNotFound,screen
538,226044007,EyesNotFound,screen
539,226060661,EyesNotFound,screen
540,226077315,EyesNotFound,screen
618,227376363,EyesNotFound,screen
619,227393016,EyesNotFound,screen
620,227409671,EyesNotFound,screen
621,227426326,EyesNotFound,screen
622,227442981,EyesNotFound,screen
878,231706526,EyesNotFound,screen
1057,234687678,EyesNotFound,screen
1058,234704331,EyesNotFound,screen
1059,234720986,EyesNotFound,screen
1060,234737641,EyesNotFound,screen
1061,234754295,EyesNotFound,screen
1062,234770950,EyesNotFound,screen
1063,234787604,EyesNotFound,screen
1224,237468971,EyesNotFound,screen
1225,237485626,EyesNotFound,screen
1226,237502280,EyesNotFound,screen
1227,237518934,EyesNotFound,screen
1228,237535589,EyesNotFound,screen
1229,237552244,EyesNotFound,screen
1230,237568899,EyesNotFound,screen
1231,237585552,EyesNotFound,screen
1535,242648513,EyesNotFound,screen
1536,242665168,EyesNotFound,screen
1537,242681823,EyesNotFound,screen
1538,242698477,EyesNotFound,screen
1539,242715132,EyesNotFound,screen
1540,242731786,EyesNotFound,screen
1612,243930909,EyesNotFound,screen
1651,244580434,EyesNotFound,screen
1721,245746248,EyesNotFound,screen
1722,245762902,EyesNotFound,screen
1723,245779556,EyesNotFound,screen
1724,245796211,EyesNotFound,screen
1725,245812866,EyesNotFound,screen
1726,245829520,EyesNotFound,screen
1767,246512355,EyesNotFound,screen
1768,246529009,EyesNotFound,screen
1769,246545663,EyesNotFound,screen
1770,246562318,EyesNotFound,screen
1771,246578972,EyesNotFound,screen
1772,246595627,EyesNotFound,screen
1775,246645590,EyesNotFound,screen
1914,248960565,EyesNotFound,screen
1915,248977219,EyesNotFound,screen
1916,248993873,EyesNotFound,screen
1917,249010528,EyesNotFound,screen
1918,249027183,EyesNotFound,screen
1919,249043837,EyesNotFound,screen
1920,249060492,EyesNotFound,screen
1921,249077146,EyesNotFound,screen
1922,249093800,EyesNotFound,screen
1923,249110455,EyesNotFound,screen
2092,251925064,EyesNotFound,screen
2093,251941718,EyesNotFound,screen
2094,251958373,EyesNotFound,screen
2095,251975027,EyesNotFound,screen
2096,251991682,EyesNotFound,screen
2097,252008337,EyesNotFound,screen
2098,252024990,EyesNotFound,screen
2099,252041645,EyesNotFound,screen
2106,252158227,EyesNotFound,screen
2107,252174880,EyesNotFound,screen
2108,252191535,EyesNotFound,screen
2109,252208190,EyesNotFound,screen
2110,252224845,EyesNotFound,screen
2111,252241499,EyesNotFound,screen
2112,252258153,EyesNotFound,screen
2113,252274808,EyesNotFound,screen
2114,252291462,EyesNotFound,screen
2120,252391389,EyesNotFound,screen
2121,252408044,EyesNotFound,screen
2122,252424698,EyesNotFound,screen
2123,252441352,EyesNotFound,screen
2124,252458007,EyesNotFound,screen
2125,252474662,EyesNotFound,screen
2126,252491317,EyesNotFound,screen
2135,252641207,EyesNotFound,screen
2494,258620167,EyesNotFound,screen
2495,258636821,EyesNotFound,screen
2496,258653476,EyesNotFound,screen
2497,258670131,EyesNotFound,screen
2498,258686784,EyesNotFound,screen
2499,258703439,EyesNotFound,screen
2500,258720094,EyesNotFound,screen
2501,258736748,EyesNotFound,screen
2502,258753402,EyesNotFound,screen
2652,261251576,EyesNotFound,screen
2653,261268231,EyesNotFound,screen
2654,261284886,EyesNotFound,screen
2655,261301539,EyesNotFound,screen
2656,261318194,EyesNotFound,screen
2657,261334849,EyesNotFound,screen
2658,261351503,EyesNotFound,screen
2659,261368158,EyesNotFound,screen
2788,263516587,EyesNotFound,screen
2902,265415201,EyesNotFound,screen
2903,265431856,EyesNotFound,screen
2904,265448510,EyesNotFound,screen
2905,265465165,EyesNotFound,screen
2979,266697602,EyesNotFound,screen
2980,266714257,EyesNotFound,screen
2981,266730910,EyesNotFound,screen
2982,266747565,EyesNotFound,screen
2983,266764220,EyesNotFound,screen
2984,266780874,EyesNotFound,screen
2985,266797529,EyesNotFound,screen
2986,266814183,EyesNotFound,screen
2987,266830838,EyesNotFound,screen
3084,268446330,EyesNotFound,screen
3118,269012585,EyesNotFound,screen
3119,269029239,EyesNotFound,screen
3120,269045894,EyesNotFound,screen
3121,269062548,EyesNotFound,screen
3122,269079203,EyesNotFound,screen
3123,269095858,EyesNotFound,screen
3124,269112513,EyesNotFound,screen
3293,271927122,EyesNotFound,screen
3294,271943777,EyesNotFound,screen
