,Recording timestamp,Eye movement type,gaze_direction
1,220570473,EyesNotFound,screen
2,220587127,EyesNotFound,screen
3,220603782,EyesNotFound,screen
4,220620437,EyesNotFound,screen
5,220637091,EyesNotFound,screen
6,220653746,EyesNotFound,screen
7,220670400,EyesNotFound,screen
8,220687054,EyesNotFound,screen
9,220703709,EyesNotFound,screen
10,220720364,EyesNotFound,screen
11,220737018,EyesNotFound,screen
12,220753672,EyesNotFound,screen
13,220770327,EyesNotFound,screen
14,220786981,EyesNotFound,screen
15,220818744,EyesNotFound,screen
16,220835398,EyesNotFound,screen
17,220869431,EyesNotFound,screen
18,220886086,EyesNotFound,screen
19,220902741,EyesNotFound,screen
20,220919396,EyesNotFound,screen
21,220936049,EyesNotFound,screen
22,220952704,EyesNotFound,screen
23,220969359,EyesNotFound,screen
24,220986013,EyesNotFound,screen
25,221002668,EyesNotFound,screen
26,221019322,EyesNotFound,screen
27,221035976,EyesNotFound,screen
28,221052631,EyesNotFound,screen
29,221069286,EyesNotFound,screen
30,221085940,EyesNotFound,screen
31,221102595,EyesNotFound,screen
32,221119249,EyesNotFound,screen
33,221135903,EyesNotFound,screen
34,221152558,EyesNotFound,screen
35,221169213,EyesNotFound,screen
36,221185868,EyesNotFound,screen
37,221202521,EyesNotFound,screen
38,221219176,EyesNotFound,screen
39,221235831,EyesNotFound,screen
40,221252485,EyesNotFound,screen
41,221269140,EyesNotFound,screen
42,221285794,EyesNotFound,screen
43,221302448,EyesNotFound,screen
44,221319103,EyesNotFound,screen
45,221335758,EyesNotFound,screen
46,221352412,EyesNotFound,screen
47,221369067,EyesNotFound,screen
48,221385721,EyesNotFound,screen
49,221402375,EyesNotFound,screen
50,221419030,EyesNotFound,screen
51,221435685,EyesNotFound,screen
52,221452340,EyesNotFound,screen
53,221468993,EyesNotFound,screen
54,221485648,EyesNotFound,screen
55,221502303,EyesNotFound,screen
56,221518957,EyesNotFound,screen
57,221535612,EyesNotFound,screen
58,221552266,EyesNotFound,screen
59,221568920,EyesNotFound,screen
60,221585575,EyesNotFound,screen
61,221602230,EyesNotFound,screen
62,221618884,EyesNotFound,screen
63,221635539,EyesNotFound,screen
64,221652193,EyesNotFound,screen
65,221682737,EyesNotFound,screen
66,221699392,EyesNotFound,screen
67,221733422,EyesNotFound,screen
68,221750077,EyesNotFound,screen
69,221766732,EyesNotFound,screen
70,221783386,EyesNotFound,screen
71,221800041,EyesNotFound,screen
72,221816696,EyesNotFound,screen
73,221833349,EyesNotFound,screen
74,221850004,EyesNotFound,screen
75,221866659,EyesNotFound,screen
76,221883313,EyesNotFound,screen
77,221899968,EyesNotFound,screen
184,223682000,EyesNotFound,screen
185,223698653,EyesNotFound,screen
186,223715308,EyesNotFound,screen
187,223731963,EyesNotFound,screen
188,223748617,EyesNotFound,screen
189,223765272,EyesNotFound,screen
190,223781927,EyesNotFound,screen
191,223798581,EyesNotFound,screen
192,223815235,EyesNotFound,screen
193,223831890,EyesNotFound,screen
194,223848544,EyesNotFound,screen
195,223865198,EyesNotFound,screen
196,223881852,EyesNotFound,screen
197,223898507,EyesNotFound,screen
198,223915161,EyesNotFound,screen
199,223931816,EyesNotFound,screen
200,223948471,EyesNotFound,screen
201,223965125,EyesNotFound,screen
202,223981779,EyesNotFound,screen
203,223998434,EyesNotFound,screen
204,224015088,EyesNotFound,screen
205,224031743,EyesNotFound,screen
206,224048398,EyesNotFound,screen
207,224065052,EyesNotFound,screen
208,224081706,EyesNotFound,screen
209,224098361,EyesNotFound,screen
210,224115016,EyesNotFound,screen
211,224131670,EyesNotFound,screen
212,224148324,EyesNotFound,screen
213,224164979,EyesNotFound,screen
214,224181633,EyesNotFound,screen
215,224198288,EyesNotFound,screen
216,224214943,EyesNotFound,screen
217,224231596,EyesNotFound,screen
218,224248250,EyesNotFound,screen
219,224264905,EyesNotFound,screen
220,224281559,EyesNotFound,screen
221,224298214,EyesNotFound,screen
222,224314869,EyesNotFound,screen
223,224331523,EyesNotFound,screen
224,224348177,EyesNotFound,screen
225,224364832,EyesNotFound,screen
255,224864466,EyesNotFound,screen
256,224881120,EyesNotFound,screen
257,224897775,EyesNotFound,screen
258,224914430,EyesNotFound,screen
263,224997701,EyesNotFound,screen
278,225247518,EyesNotFound,screen
279,225264173,EyesNotFound,screen
280,225280828,EyesNotFound,screen
281,225297481,EyesNotFound,screen
360,226613184,EyesNotFound,screen
361,226629838,EyesNotFound,screen
362,226646493,EyesNotFound,screen
743,232991852,EyesNotFound,screen
746,233041815,EyesNotFound,screen
1253,241485648,EyesNotFound,screen
1700,248930207,EyesNotFound,screen
1963,253310340,EyesNotFound,screen
1964,253326994,EyesNotFound,screen
1965,253343649,EyesNotFound,screen
1966,253360303,EyesNotFound,screen
1967,253376958,EyesNotFound,screen
3060,271580351,EyesNotFound,screen
3061,271597006,EyesNotFound,screen
3062,271613660,EyesNotFound,screen
3063,271630315,EyesNotFound,screen
3064,271646970,EyesNotFound,screen
3065,271663623,EyesNotFound,screen
3066,271680278,EyesNotFound,screen
3067,271696933,EyesNotFound,screen
3068,271713587,EyesNotFound,screen
3069,271730242,EyesNotFound,screen
3070,271746897,EyesNotFound,screen
3071,271763551,EyesNotFound,screen
3072,271780205,EyesNotFound,screen
3073,271796860,EyesNotFound,screen
3074,271813515,EyesNotFound,screen
3075,271830169,EyesNotFound,screen
3076,271846823,EyesNotFound,screen
3077,271863478,EyesNotFound,screen
3078,271880132,EyesNotFound,screen
3079,271896787,EyesNotFound,screen
3080,271928171,EyesNotFound,screen
3081,271944825,EyesNotFound,screen
3082,271978876,EyesNotFound,screen
3083,271995531,EyesNotFound,screen
3084,272012185,EyesNotFound,screen
3085,272028839,EyesNotFound,screen
3086,272045494,EyesNotFound,screen
3087,272062148,EyesNotFound,screen
3088,272078803,EyesNotFound,screen
3089,272095458,EyesNotFound,screen
3090,272112112,EyesNotFound,screen
3091,272128766,EyesNotFound,screen
3092,272145421,EyesNotFound,screen
3093,272162076,EyesNotFound,screen
3094,272178730,EyesNotFound,screen
3095,272195385,EyesNotFound,screen
3096,272212039,EyesNotFound,screen
3097,272228693,EyesNotFound,screen
3098,272245348,EyesNotFound,screen
3099,272262003,EyesNotFound,screen
3100,272278657,EyesNotFound,screen
3101,272295312,EyesNotFound,screen
3102,272311966,EyesNotFound,screen
3103,272328620,EyesNotFound,screen
3104,272345275,EyesNotFound,screen
3105,272361930,EyesNotFound,screen
3106,272378584,EyesNotFound,screen
3107,272395238,EyesNotFound,screen
3108,272411893,EyesNotFound,screen
3109,272428548,EyesNotFound,screen
3110,272445202,EyesNotFound,screen
3111,272461857,EyesNotFound,screen
3112,272478512,EyesNotFound,screen
3113,272495165,EyesNotFound,screen
3114,272511820,EyesNotFound,screen
3115,272528475,EyesNotFound,screen
3116,272545129,EyesNotFound,screen
3117,272561784,EyesNotFound,screen
3118,272578438,EyesNotFound,screen
3119,272595092,EyesNotFound,screen
3120,272611747,EyesNotFound,screen
3121,272628402,EyesNotFound,screen
3122,272645056,EyesNotFound,screen
3123,272676171,EyesNotFound,screen
3124,272692826,EyesNotFound,screen
3125,272726858,EyesNotFound,screen
3126,272743513,EyesNotFound,screen
3127,272760166,EyesNotFound,screen
3128,272776821,EyesNotFound,screen
3129,272793476,EyesNotFound,screen
3148,273109912,EyesNotFound,screen
3149,273126565,EyesNotFound,screen
3150,273143220,EyesNotFound,screen
3151,273159875,EyesNotFound,screen
3152,273176529,EyesNotFound,screen
3153,273193184,EyesNotFound,screen
3154,273209838,EyesNotFound,screen
3155,273226493,EyesNotFound,screen
3156,273243147,EyesNotFound,screen
3157,273259802,EyesNotFound,screen
3158,273276457,EyesNotFound,screen
3159,273293111,EyesNotFound,screen
3160,273324164,EyesNotFound,screen
3161,273340818,EyesNotFound,screen
3162,273374862,EyesNotFound,screen
3163,273391515,EyesNotFound,screen
3164,273408170,EyesNotFound,screen
3165,273424825,EyesNotFound,screen
3166,273441480,EyesNotFound,screen
3167,273458134,EyesNotFound,screen
3168,273474789,EyesNotFound,screen
3169,273491443,EyesNotFound,screen
3170,273508097,EyesNotFound,screen
3171,273524752,EyesNotFound,screen
3172,273541407,EyesNotFound,screen
3173,273558061,EyesNotFound,screen
3174,273574715,EyesNotFound,screen
3175,273591370,EyesNotFound,screen
3176,273608024,EyesNotFound,screen
3177,273624679,EyesNotFound,screen
3178,273641334,EyesNotFound,screen
3179,273657988,EyesNotFound,screen
3180,273674642,EyesNotFound,screen
3181,273691297,EyesNotFound,screen
3182,273707952,EyesNotFound,screen
3185,273757915,EyesNotFound,screen
3186,273774569,EyesNotFound,screen
3187,273791224,EyesNotFound,screen
3188,273807879,EyesNotFound,screen
3189,273824533,EyesNotFound,screen
3190,273841188,EyesNotFound,screen
3191,273857842,EyesNotFound,screen
3192,273874496,EyesNotFound,screen
3193,273891151,EyesNotFound,screen
3194,273907806,EyesNotFound,screen
3195,273924460,EyesNotFound,screen
3196,273941114,EyesNotFound,screen
3197,273957769,EyesNotFound,screen
3198,273974424,EyesNotFound,screen
3199,273991078,EyesNotFound,screen
3200,274007733,EyesNotFound,screen
3201,274024388,EyesNotFound,screen
3202,274041041,EyesNotFound,screen
3203,274057696,EyesNotFound,screen
3204,274074351,EyesNotFound,screen
3205,274091004,EyesNotFound,screen
3206,274107659,EyesNotFound,screen
3207,274124313,EyesNotFound,screen
3208,274140967,EyesNotFound,screen
3209,274157622,EyesNotFound,screen
3210,274174277,EyesNotFound,screen
3211,274190931,EyesNotFound,screen
3212,274207585,EyesNotFound,screen
3213,274224240,EyesNotFound,screen
3214,274240895,EyesNotFound,screen
3215,274257549,EyesNotFound,screen
3216,274274204,EyesNotFound,screen
3217,274290859,EyesNotFound,screen
3218,274307512,EyesNotFound,screen
3219,274324167,EyesNotFound,screen
3220,274340822,EyesNotFound,screen
3221,274357476,EyesNotFound,screen
3222,274374131,EyesNotFound,screen
3223,274390785,EyesNotFound,screen
3224,274407439,EyesNotFound,screen
3225,274424094,EyesNotFound,screen
3226,274440749,EyesNotFound,screen
3227,274457403,EyesNotFound,screen
3228,274474058,EyesNotFound,screen
3229,274490712,EyesNotFound,screen
3230,274507367,EyesNotFound,screen
3231,274524021,EyesNotFound,screen
3232,274540676,EyesNotFound,screen
3233,274557331,EyesNotFound,screen
3234,274573984,EyesNotFound,screen
3235,274590639,EyesNotFound,screen
3236,274607294,EyesNotFound,screen
3237,274623948,EyesNotFound,screen
3238,274640603,EyesNotFound,screen
3239,274657258,EyesNotFound,screen
3240,274673911,EyesNotFound,screen
3241,274690566,EyesNotFound,screen
3242,274707221,EyesNotFound,screen
3243,274723875,EyesNotFound,screen
3244,274740530,EyesNotFound,screen
3247,274790493,EyesNotFound,screen
3248,274807148,EyesNotFound,screen
3249,274823803,EyesNotFound,screen
3250,274840457,EyesNotFound,screen
3251,274857111,EyesNotFound,screen
3252,274873766,EyesNotFound,screen
3253,274890420,EyesNotFound,screen
3254,274907075,EyesNotFound,screen
3255,274923729,EyesNotFound,screen
3256,274940383,EyesNotFound,screen
3257,274957038,EyesNotFound,screen
3258,274973693,EyesNotFound,screen
3259,274990347,EyesNotFound,screen
3260,275007001,EyesNotFound,screen
3261,275023656,EyesNotFound,screen
3262,275040311,EyesNotFound,screen
3263,275056965,EyesNotFound,screen
3264,275073620,EyesNotFound,screen
3265,275090274,EyesNotFound,screen
3266,275106928,EyesNotFound,screen
3267,275123582,EyesNotFound,screen
3268,275140237,EyesNotFound,screen
3269,275156891,EyesNotFound,screen
3270,275173546,EyesNotFound,screen
3271,275190201,EyesNotFound,screen
3272,275206854,EyesNotFound,screen
3273,275223509,EyesNotFound,screen
3274,275240164,EyesNotFound,screen
3275,275256818,EyesNotFound,screen
3276,275273473,EyesNotFound,screen
3277,275290128,EyesNotFound,screen
3278,275306782,EyesNotFound,screen
3279,275323436,EyesNotFound,screen
3280,275340091,EyesNotFound,screen
3281,275356746,EyesNotFound,screen
3282,275373400,EyesNotFound,screen
3283,275390054,EyesNotFound,screen
3284,275406709,EyesNotFound,screen
3285,275423363,EyesNotFound,screen
3286,275440018,EyesNotFound,screen
3287,275456673,EyesNotFound,screen
3288,275473327,EyesNotFound,screen
3289,275489981,EyesNotFound,screen
3290,275506636,EyesNotFound,screen
3291,275523290,EyesNotFound,screen
3292,275539945,EyesNotFound,screen
3293,275556600,EyesNotFound,screen
3294,275573254,EyesNotFound,screen
3295,275589908,EyesNotFound,screen
3296,275606563,EyesNotFound,screen
3297,275623218,EyesNotFound,screen
3298,275639872,EyesNotFound,screen
3299,275656527,EyesNotFound,screen
3300,275673181,EyesNotFound,screen
3301,275689835,EyesNotFound,screen
3302,275706490,EyesNotFound,screen
3303,275723145,EyesNotFound,screen
3304,275739799,EyesNotFound,screen
3307,275789762,EyesNotFound,screen
3308,275806417,EyesNotFound,screen
3309,275823071,EyesNotFound,screen
3310,275839726,EyesNotFound,screen
3311,275856380,EyesNotFound,screen
3312,275873035,EyesNotFound,screen
3313,275889690,EyesNotFound,screen
3314,275906343,EyesNotFound,screen
3315,275922998,EyesNotFound,screen
3316,275939653,EyesNotFound,screen
3317,275956307,EyesNotFound,screen
3318,275972962,EyesNotFound,screen
3319,275989617,EyesNotFound,screen
3320,276006270,EyesNotFound,screen
3321,276022925,EyesNotFound,screen
3322,276039580,EyesNotFound,screen
3323,276056234,EyesNotFound,screen
3324,276072889,EyesNotFound,screen
3325,276089543,EyesNotFound,screen
3326,276106198,EyesNotFound,screen
3327,276122851,EyesNotFound,screen
3328,276139506,EyesNotFound,screen
3329,276156161,EyesNotFound,screen
3330,276172815,EyesNotFound,screen
3331,276189470,EyesNotFound,screen
3332,276206125,EyesNotFound,screen
3335,276256088,EyesNotFound,screen
3336,276272742,EyesNotFound,screen
3337,276289397,EyesNotFound,screen
3338,276306051,EyesNotFound,screen
3339,276322705,EyesNotFound,screen
3340,276339360,EyesNotFound,screen
3341,276356015,EyesNotFound,screen
3342,276372670,EyesNotFound,screen
3343,276389323,EyesNotFound,screen
3344,276405978,EyesNotFound,screen
3345,276422633,EyesNotFound,screen
3346,276439287,EyesNotFound,screen
