,Recording timestamp,Eye movement type,gaze_direction
35,189337267,EyesNotFound,screen
36,189353922,EyesNotFound,screen
37,189370577,EyesNotFound,screen
38,189387232,EyesNotFound,screen
39,189403885,EyesNotFound,screen
40,189420540,EyesNotFound,screen
41,189437195,EyesNotFound,screen
92,190286575,EyesNotFound,screen
93,190303229,EyesNotFound,screen
94,190319883,EyesNotFound,screen
115,190669628,EyesNotFound,screen
116,190686282,EyesNotFound,screen
117,190702937,EyesNotFound,screen
118,190719592,EyesNotFound,screen
119,190736246,EyesNotFound,screen
234,192651514,EyesNotFound,screen
245,192834714,EyesNotFound,screen
246,192851369,EyesNotFound,screen
323,194133764,EyesNotFound,screen
324,194150418,EyesNotFound,screen
325,194167073,EyesNotFound,screen
326,194183728,EyesNotFound,screen
327,194200382,EyesNotFound,screen
328,194217037,EyesNotFound,screen
329,194233691,EyesNotFound,screen
330,194250345,EyesNotFound,screen
331,194267000,EyesNotFound,screen
332,194283655,EyesNotFound,screen
333,194300309,EyesNotFound,screen
334,194316964,EyesNotFound,screen
550,197914337,EyesNotFound,screen
571,198264081,EyesNotFound,screen
572,198280736,EyesNotFound,screen
573,198297390,EyesNotFound,screen
574,198314045,EyesNotFound,screen
575,198330699,EyesNotFound,screen
576,198347353,EyesNotFound,screen
603,198797025,EyesNotFound,screen
604,198813680,EyesNotFound,screen
605,198830334,EyesNotFound,screen
606,198846989,EyesNotFound,screen
607,198863644,EyesNotFound,screen
608,198880297,EyesNotFound,screen
609,198896952,EyesNotFound,screen
610,198913607,EyesNotFound,screen
639,199396588,EyesNotFound,screen
640,199413242,EyesNotFound,screen
641,199429896,EyesNotFound,screen
642,199446551,EyesNotFound,screen
643,199463205,EyesNotFound,screen
644,199479860,EyesNotFound,screen
699,200395858,EyesNotFound,screen
700,200412513,EyesNotFound,screen
701,200429166,EyesNotFound,screen
702,200445821,EyesNotFound,screen
703,200462476,EyesNotFound,screen
704,200479130,EyesNotFound,screen
705,200495785,EyesNotFound,screen
706,200512439,EyesNotFound,screen
842,202777452,EyesNotFound,screen
1281,210088780,EyesNotFound,screen
1282,210105434,EyesNotFound,screen
1283,210122088,EyesNotFound,screen
1284,210138743,EyesNotFound,screen
1285,210155398,EyesNotFound,screen
1286,210172053,EyesNotFound,screen
1287,210188706,EyesNotFound,screen
1288,210205361,EyesNotFound,screen
1289,210222016,EyesNotFound,screen
1290,210238670,EyesNotFound,screen
1291,210255325,EyesNotFound,screen
1292,210271980,EyesNotFound,screen
1293,210288633,EyesNotFound,screen
1294,210305288,EyesNotFound,screen
1295,210321943,EyesNotFound,screen
1296,210338597,EyesNotFound,screen
