,Recording timestamp,Eye movement type,gaze_direction
0,342983941,EyesNotFound,screen
1,343000595,EyesNotFound,screen
2,343017250,EyesNotFound,screen
3,343033905,EyesNotFound,screen
4,343050559,EyesNotFound,screen
5,343067213,EyesNotFound,screen
6,343083868,EyesNotFound,screen
7,343100523,EyesNotFound,screen
8,343117177,EyesNotFound,screen
9,343133832,EyesNotFound,screen
10,343150487,EyesNotFound,screen
11,343167141,EyesNotFound,screen
14,343217105,EyesNotFound,screen
15,343233760,EyesNotFound,screen
16,343250414,EyesNotFound,screen
17,343267068,EyesNotFound,screen
18,343283723,EyesNotFound,screen
19,343300378,EyesNotFound,screen
20,343317033,EyesNotFound,screen
21,343333687,EyesNotFound,screen
22,343350342,EyesNotFound,screen
23,343366996,EyesNotFound,screen
24,343383650,EyesNotFound,screen
25,343400305,EyesNotFound,screen
26,343416960,EyesNotFound,screen
27,343433614,EyesNotFound,screen
28,343450268,EyesNotFound,screen
29,343466923,EyesNotFound,screen
32,343516887,EyesNotFound,screen
33,343533541,EyesNotFound,screen
48,343783360,EyesNotFound,screen
49,343800014,EyesNotFound,screen
50,343816669,EyesNotFound,screen
51,343833324,EyesNotFound,screen
52,343849978,EyesNotFound,screen
53,343866632,EyesNotFound,screen
54,343883287,EyesNotFound,screen
55,343899942,EyesNotFound,screen
150,345482126,EyesNotFound,screen
151,345498780,EyesNotFound,screen
152,345515434,EyesNotFound,screen
153,345532089,EyesNotFound,screen
154,345548744,EyesNotFound,screen
155,345565398,EyesNotFound,screen
156,345582053,EyesNotFound,screen
157,345598708,EyesNotFound,screen
158,345615362,EyesNotFound,screen
159,345632017,EyesNotFound,screen
160,345648672,EyesNotFound,screen
161,345665325,EyesNotFound,screen
162,345681980,EyesNotFound,screen
163,345698634,EyesNotFound,screen
164,345715289,EyesNotFound,screen
165,345731943,EyesNotFound,screen
166,345748598,EyesNotFound,screen
167,345765253,EyesNotFound,screen
168,345781907,EyesNotFound,screen
169,345798562,EyesNotFound,screen
170,345815217,EyesNotFound,screen
171,345831871,EyesNotFound,screen
172,345848526,EyesNotFound,screen
173,345879406,EyesNotFound,screen
174,345896060,EyesNotFound,screen
175,345930108,EyesNotFound,screen
178,345980072,EyesNotFound,screen
181,346030036,EyesNotFound,screen
182,346046691,EyesNotFound,screen
183,346063345,EyesNotFound,screen
184,346079998,EyesNotFound,screen
185,346096653,EyesNotFound,screen
186,346113308,EyesNotFound,screen
187,346129962,EyesNotFound,screen
188,346146617,EyesNotFound,screen
191,346196581,EyesNotFound,screen
192,346213236,EyesNotFound,screen
197,346296508,EyesNotFound,screen
198,346313163,EyesNotFound,screen
199,346329818,EyesNotFound,screen
200,346346472,EyesNotFound,screen
