,Recording timestamp,Eye movement type,gaze_direction
0,278115597,EyesNotFound,screen
1,278132251,EyesNotFound,screen
2,278148906,EyesNotFound,screen
3,278165561,EyesNotFound,screen
4,278182215,EyesNotFound,screen
5,278198869,EyesNotFound,screen
6,278215524,EyesNotFound,screen
7,278232178,EyesNotFound,screen
8,278248833,EyesNotFound,screen
9,278265488,EyesNotFound,screen
10,278282143,EyesNotFound,screen
11,278298797,EyesNotFound,screen
12,278332152,EyesNotFound,screen
17,278415425,EyesNotFound,screen
18,278432080,EyesNotFound,screen
19,278448735,EyesNotFound,screen
20,278465390,EyesNotFound,screen
21,278482044,EyesNotFound,screen
22,278498699,EyesNotFound,screen
23,278515353,EyesNotFound,screen
38,278765173,EyesNotFound,screen
39,278781828,EyesNotFound,screen
40,278798482,EyesNotFound,screen
41,278815137,EyesNotFound,screen
42,278831792,EyesNotFound,screen
43,278848446,EyesNotFound,screen
44,278865101,EyesNotFound,screen
45,278881756,EyesNotFound,screen
46,278898410,EyesNotFound,screen
47,278915065,EyesNotFound,screen
48,278931719,EyesNotFound,screen
49,278948374,EyesNotFound,screen
50,278965029,EyesNotFound,screen
63,279181539,EyesNotFound,screen
64,279198194,EyesNotFound,screen
119,280114200,EyesNotFound,screen
120,280130853,EyesNotFound,screen
121,280147508,EyesNotFound,screen
122,280164164,EyesNotFound,screen
123,280180817,EyesNotFound,screen
124,280197473,EyesNotFound,screen
133,280347364,EyesNotFound,screen
134,280364019,EyesNotFound,screen
135,280380674,EyesNotFound,screen
136,280397328,EyesNotFound,screen
137,280413983,EyesNotFound,screen
138,280430638,EyesNotFound,screen
139,280447292,EyesNotFound,screen
144,280530566,EyesNotFound,screen
145,280547220,EyesNotFound,screen
146,280563874,EyesNotFound,screen
147,280580529,EyesNotFound,screen
148,280597184,EyesNotFound,screen
165,280880313,EyesNotFound,screen
166,280896968,EyesNotFound,screen
167,280913623,EyesNotFound,screen
168,280930277,EyesNotFound,screen
169,280946932,EyesNotFound,screen
170,280963587,EyesNotFound,screen
171,280980241,EyesNotFound,screen
172,280996895,EyesNotFound,screen
173,281013550,EyesNotFound,screen
174,281030204,EyesNotFound,screen
