,Recording timestamp,Eye movement type,gaze_direction
239,238977188,EyesNotFound,None
240,238993842,EyesNotFound,None
241,239010496,EyesNotFound,None
242,239027151,EyesNotFound,None
243,239043806,EyesNotFound,None
244,239060460,EyesNotFound,None
245,239077115,EyesNotFound,None
246,239093770,EyesNotFound,None
247,239110424,EyesNotFound,None
248,239127079,EyesNotFound,None
249,239143734,EyesNotFound,None
250,239174849,EyesNotFound,None
251,239191504,EyesNotFound,None
252,239225554,EyesNotFound,None
253,239242209,EyesNotFound,None
254,239258864,EyesNotFound,None
255,239275518,EyesNotFound,None
256,239292173,EyesNotFound,None
257,239308828,EyesNotFound,None
258,239325483,EyesNotFound,None
259,239342137,EyesNotFound,None
260,239358791,EyesNotFound,None
261,239375446,EyesNotFound,None
262,239392100,EyesNotFound,None
263,239408755,EyesNotFound,None
264,239425410,EyesNotFound,None
265,239442064,EyesNotFound,None
266,239458719,EyesNotFound,None
267,239475374,EyesNotFound,None
268,239492028,EyesNotFound,None
269,239508683,EyesNotFound,None
270,239525338,EyesNotFound,None
271,239541992,EyesNotFound,None
272,239558646,EyesNotFound,None
273,239575301,EyesNotFound,None
274,239591956,EyesNotFound,None
275,239608610,EyesNotFound,None
276,239625265,EyesNotFound,None
277,239641920,EyesNotFound,None
278,239658574,EyesNotFound,None
279,239675229,EyesNotFound,None
280,239691884,EyesNotFound,None
281,239722854,EyesNotFound,None
282,239739508,EyesNotFound,None
283,239773543,EyesNotFound,None
293,239940089,EyesNotFound,None
294,239956744,EyesNotFound,None
295,239973399,EyesNotFound,None
296,239990053,EyesNotFound,None
297,240006708,EyesNotFound,None
1473,259592517,EyesNotFound,None
1614,261940813,EyesNotFound,None
1615,261957468,EyesNotFound,None
1616,261974123,EyesNotFound,None
1617,261990777,EyesNotFound,None
1618,262007431,EyesNotFound,None
1619,262024086,EyesNotFound,None
1620,262040740,EyesNotFound,None
1621,262057395,EyesNotFound,None
1622,262074050,EyesNotFound,None
1623,262090705,EyesNotFound,None
1624,262107359,EyesNotFound,None
1625,262124014,EyesNotFound,None
1626,262140669,EyesNotFound,None
1627,262157323,EyesNotFound,None
1628,262173978,EyesNotFound,None
1629,262190632,EyesNotFound,None
1630,262207286,EyesNotFound,None
1631,262223941,EyesNotFound,None
1632,262254735,EyesNotFound,None
1633,262271390,EyesNotFound,None
1634,262305423,EyesNotFound,None
1635,262322078,EyesNotFound,None
1636,262338732,EyesNotFound,None
1637,262355387,EyesNotFound,None
1638,262372041,EyesNotFound,None
1639,262388695,EyesNotFound,None
1640,262405350,EyesNotFound,None
1641,262422005,EyesNotFound,None
1642,262438660,EyesNotFound,None
1643,262455314,EyesNotFound,None
1644,262471969,EyesNotFound,None
1645,262488624,EyesNotFound,None
1646,262505278,EyesNotFound,None
1647,262521933,EyesNotFound,None
1648,262538588,EyesNotFound,None
1649,262555241,EyesNotFound,None
1650,262571896,EyesNotFound,None
1651,262588551,EyesNotFound,None
1652,262605205,EyesNotFound,None
1653,262621860,EyesNotFound,None
1654,262638515,EyesNotFound,None
1655,262655169,EyesNotFound,None
1656,262671824,EyesNotFound,None
1657,262688479,EyesNotFound,None
1658,262705134,EyesNotFound,None
1659,262721788,EyesNotFound,None
1660,262738442,EyesNotFound,None
1661,262755097,EyesNotFound,None
1662,262771751,EyesNotFound,None
1663,262788406,EyesNotFound,None
1664,262805061,EyesNotFound,None
1665,262821715,EyesNotFound,None
1666,262838370,EyesNotFound,None
1667,262855025,EyesNotFound,None
1668,262871679,EyesNotFound,None
1669,262888334,EyesNotFound,None
1670,262904989,EyesNotFound,None
1671,262921642,EyesNotFound,None
1672,262938297,EyesNotFound,None
1673,262954952,EyesNotFound,None
1674,262971607,EyesNotFound,None
1675,262988261,EyesNotFound,None
1676,263004916,EyesNotFound,None
1677,263021571,EyesNotFound,None
1678,263038225,EyesNotFound,None
1679,263054880,EyesNotFound,None
1680,263071535,EyesNotFound,None
1681,263088189,EyesNotFound,None
1682,263104843,EyesNotFound,None
1683,263121498,EyesNotFound,None
1684,263138152,EyesNotFound,None
1685,263154807,EyesNotFound,None
1686,263171462,EyesNotFound,None
1687,263188116,EyesNotFound,None
1688,263204771,EyesNotFound,None
1689,263221426,EyesNotFound,None
1690,263238081,EyesNotFound,None
1691,263254735,EyesNotFound,None
1692,263271390,EyesNotFound,None
1693,263288044,EyesNotFound,None
1694,263304698,EyesNotFound,None
1695,263321353,EyesNotFound,None
1696,263338008,EyesNotFound,None
1697,263354662,EyesNotFound,None
1698,263371317,EyesNotFound,None
1699,263387972,EyesNotFound,None
1700,263404626,EyesNotFound,None
1701,263421281,EyesNotFound,None
1702,263437936,EyesNotFound,None
1703,263454590,EyesNotFound,None
1704,263471244,EyesNotFound,None
1705,263487899,EyesNotFound,None
1706,263504554,EyesNotFound,None
1707,263521208,EyesNotFound,None
1708,263537863,EyesNotFound,None
1709,263554518,EyesNotFound,None
1710,263571172,EyesNotFound,None
1711,263587827,EyesNotFound,None
1712,263604482,EyesNotFound,None
1713,263621136,EyesNotFound,None
1714,263637791,EyesNotFound,None
1715,263654445,EyesNotFound,None
1716,263671099,EyesNotFound,None
1717,263687754,EyesNotFound,None
1718,263704409,EyesNotFound,None
1719,263721063,EyesNotFound,None
1720,263737718,EyesNotFound,None
1721,263754373,EyesNotFound,None
1722,263771028,EyesNotFound,None
1723,263787682,EyesNotFound,None
1724,263804337,EyesNotFound,None
1725,263820992,EyesNotFound,None
1726,263837645,EyesNotFound,None
1727,263854300,EyesNotFound,None
1728,263870955,EyesNotFound,None
1729,263887609,EyesNotFound,None
1730,263904264,EyesNotFound,None
