,Recording timestamp,Eye movement type,gaze_direction
88,648992045,EyesNotFound,screen
89,649008700,EyesNotFound,screen
90,649025354,EyesNotFound,screen
91,649042009,EyesNotFound,screen
92,649058663,EyesNotFound,screen
93,649075317,EyesNotFound,screen
94,649091972,EyesNotFound,screen
95,649108627,EyesNotFound,screen
96,649125281,EyesNotFound,screen
97,649141936,EyesNotFound,screen
98,649158591,EyesNotFound,screen
99,649175245,EyesNotFound,screen
100,649191900,EyesNotFound,screen
101,649208554,EyesNotFound,screen
102,649225208,EyesNotFound,screen
103,649241863,EyesNotFound,screen
104,649258518,EyesNotFound,screen
105,649275173,EyesNotFound,screen
106,649291827,EyesNotFound,screen
107,649308482,EyesNotFound,screen
108,649325137,EyesNotFound,screen
109,649356013,EyesNotFound,screen
110,649372667,EyesNotFound,screen
111,649406716,EyesNotFound,screen
112,649423371,EyesNotFound,screen
113,649440025,EyesNotFound,screen
114,649456680,EyesNotFound,screen
115,649473335,EyesNotFound,screen
116,649489989,EyesNotFound,screen
117,649506644,EyesNotFound,screen
118,649523298,EyesNotFound,screen
119,649539952,EyesNotFound,screen
120,649556607,EyesNotFound,screen
121,649573262,EyesNotFound,screen
122,649589916,EyesNotFound,screen
123,649606571,EyesNotFound,screen
124,649623226,EyesNotFound,screen
125,649639881,EyesNotFound,screen
126,649656535,EyesNotFound,screen
127,649673190,EyesNotFound,screen
128,649689844,EyesNotFound,screen
129,649706498,EyesNotFound,screen
130,649723153,EyesNotFound,screen
131,649739808,EyesNotFound,screen
132,649756462,EyesNotFound,screen
133,649773117,EyesNotFound,screen
134,649789772,EyesNotFound,screen
135,649806426,EyesNotFound,screen
136,649823081,EyesNotFound,screen
137,649839735,EyesNotFound,screen
138,649856389,EyesNotFound,screen
139,649873044,EyesNotFound,screen
140,649889699,EyesNotFound,screen
141,649906354,EyesNotFound,screen
142,649923008,EyesNotFound,screen
143,649939663,EyesNotFound,screen
144,649956318,EyesNotFound,screen
145,649972972,EyesNotFound,screen
146,649989627,EyesNotFound,screen
147,650006281,EyesNotFound,screen
148,650022935,EyesNotFound,screen
149,650039590,EyesNotFound,screen
150,650056245,EyesNotFound,screen
151,650072899,EyesNotFound,screen
152,650089554,EyesNotFound,screen
155,650139518,EyesNotFound,screen
156,650156173,EyesNotFound,screen
157,650172827,EyesNotFound,screen
165,650306064,EyesNotFound,screen
166,650322718,EyesNotFound,screen
167,650339372,EyesNotFound,screen
168,650356027,EyesNotFound,screen
169,650372682,EyesNotFound,screen
170,650389336,EyesNotFound,screen
171,650405991,EyesNotFound,screen
172,650422646,EyesNotFound,screen
173,650439301,EyesNotFound,screen
174,650455955,EyesNotFound,screen
175,650472610,EyesNotFound,screen
176,650489264,EyesNotFound,screen
177,650505918,EyesNotFound,screen
178,650522573,EyesNotFound,screen
179,650539228,EyesNotFound,screen
180,650555882,EyesNotFound,screen
181,650572537,EyesNotFound,screen
182,650589192,EyesNotFound,screen
183,650605846,EyesNotFound,screen
184,650622501,EyesNotFound,screen
185,650639155,EyesNotFound,screen
186,650655809,EyesNotFound,screen
187,650672464,EyesNotFound,screen
188,650689119,EyesNotFound,screen
189,650705774,EyesNotFound,screen
190,650722428,EyesNotFound,screen
191,650754006,EyesNotFound,screen
192,650770661,EyesNotFound,screen
193,650787316,EyesNotFound,screen
194,650803969,EyesNotFound,screen
195,650820624,EyesNotFound,screen
196,650837279,EyesNotFound,screen
197,650853933,EyesNotFound,screen
198,650870588,EyesNotFound,screen
199,650887243,EyesNotFound,screen
200,650903897,EyesNotFound,screen
201,650920552,EyesNotFound,screen
202,650937207,EyesNotFound,screen
203,650953861,EyesNotFound,screen
204,650970515,EyesNotFound,screen
205,650987170,EyesNotFound,screen
206,651003825,EyesNotFound,screen
207,651020479,EyesNotFound,screen
208,651037134,EyesNotFound,screen
209,651053789,EyesNotFound,screen
210,651088707,EyesNotFound,screen
211,651105362,EyesNotFound,screen
212,651122015,EyesNotFound,screen
213,651138670,EyesNotFound,screen
214,651155325,EyesNotFound,screen
215,651171979,EyesNotFound,screen
216,651188634,EyesNotFound,screen
217,651205289,EyesNotFound,screen
218,651221944,EyesNotFound,screen
219,651238598,EyesNotFound,screen
220,651255253,EyesNotFound,screen
221,651271907,EyesNotFound,screen
222,651288561,EyesNotFound,screen
223,651305216,EyesNotFound,screen
224,651321871,EyesNotFound,screen
225,651338525,EyesNotFound,screen
226,651355180,EyesNotFound,screen
227,651371835,EyesNotFound,screen
228,651388489,EyesNotFound,screen
229,651405144,EyesNotFound,screen
230,651421799,EyesNotFound,screen
231,651438452,EyesNotFound,screen
232,651455107,EyesNotFound,screen
233,651471762,EyesNotFound,screen
234,651488417,EyesNotFound,screen
235,651505071,EyesNotFound,screen
236,651521726,EyesNotFound,screen
237,651538381,EyesNotFound,screen
238,651555035,EyesNotFound,screen
239,651571690,EyesNotFound,screen
240,651588344,EyesNotFound,screen
241,651604998,EyesNotFound,screen
242,651621653,EyesNotFound,screen
243,651638308,EyesNotFound,screen
244,651654962,EyesNotFound,screen
245,651671617,EyesNotFound,screen
246,651688272,EyesNotFound,screen
247,651704926,EyesNotFound,screen
248,651721581,EyesNotFound,screen
249,651738236,EyesNotFound,screen
250,651754890,EyesNotFound,screen
251,651771544,EyesNotFound,screen
252,651788199,EyesNotFound,screen
253,651804854,EyesNotFound,screen
254,651821508,EyesNotFound,screen
255,651838163,EyesNotFound,screen
256,651854818,EyesNotFound,screen
257,651871472,EyesNotFound,screen
258,651888127,EyesNotFound,screen
259,651904781,EyesNotFound,screen
260,651921435,EyesNotFound,screen
261,651951997,EyesNotFound,screen
262,651968651,EyesNotFound,screen
263,652002700,EyesNotFound,screen
264,652019355,EyesNotFound,screen
265,652036010,EyesNotFound,screen
266,652052664,EyesNotFound,screen
267,652069318,EyesNotFound,screen
268,652085973,EyesNotFound,screen
269,652102627,EyesNotFound,screen
270,652119282,EyesNotFound,screen
271,652169245,EyesNotFound,screen
272,652185900,EyesNotFound,screen
273,652202555,EyesNotFound,screen
542,656682623,EyesNotFound,screen
543,656699278,EyesNotFound,screen
544,656715932,EyesNotFound,screen
545,656732587,EyesNotFound,screen
546,656749241,EyesNotFound,screen
547,656765896,EyesNotFound,screen
548,656782551,EyesNotFound,screen
549,656799205,EyesNotFound,screen
550,656815860,EyesNotFound,screen
551,656832514,EyesNotFound,screen
552,656849168,EyesNotFound,screen
553,656879950,EyesNotFound,screen
554,656896605,EyesNotFound,screen
555,656930655,EyesNotFound,screen
556,656947310,EyesNotFound,screen
557,656963964,EyesNotFound,screen
558,656980619,EyesNotFound,screen
559,656997274,EyesNotFound,screen
560,657013927,EyesNotFound,screen
561,657030582,EyesNotFound,screen
562,657047237,EyesNotFound,screen
563,657063892,EyesNotFound,screen
564,657080546,EyesNotFound,screen
565,657097201,EyesNotFound,screen
566,657113856,EyesNotFound,screen
567,657130510,EyesNotFound,screen
568,657147165,EyesNotFound,screen
569,657163819,EyesNotFound,screen
570,657180473,EyesNotFound,screen
571,657197128,EyesNotFound,screen
572,657213783,EyesNotFound,screen
573,657230437,EyesNotFound,screen
594,657580184,EyesNotFound,screen
595,657596839,EyesNotFound,screen
596,657613492,EyesNotFound,screen
597,657630147,EyesNotFound,screen
598,657646802,EyesNotFound,screen
599,657663456,EyesNotFound,screen
600,657680111,EyesNotFound,screen
601,657696766,EyesNotFound,screen
602,657713420,EyesNotFound,screen
603,657730075,EyesNotFound,screen
604,657746730,EyesNotFound,screen
605,657763383,EyesNotFound,screen
606,657780038,EyesNotFound,screen
607,657796693,EyesNotFound,screen
608,657813347,EyesNotFound,screen
609,657830002,EyesNotFound,screen
610,657846657,EyesNotFound,screen
611,657863312,EyesNotFound,screen
612,657879966,EyesNotFound,screen
613,657896621,EyesNotFound,screen
614,657913275,EyesNotFound,screen
615,657929929,EyesNotFound,screen
616,657946584,EyesNotFound,screen
617,657963239,EyesNotFound,screen
618,657979893,EyesNotFound,screen
619,657996548,EyesNotFound,screen
620,658013203,EyesNotFound,screen
621,658029857,EyesNotFound,screen
622,658046512,EyesNotFound,screen
623,658063166,EyesNotFound,screen
624,658079820,EyesNotFound,screen
625,658096475,EyesNotFound,screen
626,658113130,EyesNotFound,screen
627,658129785,EyesNotFound,screen
628,658146439,EyesNotFound,screen
629,658163094,EyesNotFound,screen
630,658179749,EyesNotFound,screen
631,658196403,EyesNotFound,screen
632,658213057,EyesNotFound,screen
633,658229712,EyesNotFound,screen
634,658246366,EyesNotFound,screen
635,658263021,EyesNotFound,screen
636,658279676,EyesNotFound,screen
637,658296330,EyesNotFound,screen
638,658312985,EyesNotFound,screen
639,658329640,EyesNotFound,screen
640,658346294,EyesNotFound,screen
641,658362948,EyesNotFound,screen
642,658379603,EyesNotFound,screen
643,658396258,EyesNotFound,screen
644,658412912,EyesNotFound,screen
645,658429567,EyesNotFound,screen
646,658446222,EyesNotFound,screen
647,658462876,EyesNotFound,screen
648,658479531,EyesNotFound,screen
649,658496186,EyesNotFound,screen
650,658512839,EyesNotFound,screen
651,658529494,EyesNotFound,screen
652,658546149,EyesNotFound,screen
653,658562803,EyesNotFound,screen
654,658579458,EyesNotFound,screen
655,658596113,EyesNotFound,screen
656,658612767,EyesNotFound,screen
657,658629422,EyesNotFound,screen
658,658646077,EyesNotFound,screen
659,658662732,EyesNotFound,screen
660,658679385,EyesNotFound,screen
661,658696040,EyesNotFound,screen
662,658712695,EyesNotFound,screen
663,658729349,EyesNotFound,screen
664,658746004,EyesNotFound,screen
665,658762659,EyesNotFound,screen
666,658779313,EyesNotFound,screen
667,658795968,EyesNotFound,screen
668,658812623,EyesNotFound,screen
669,658829276,EyesNotFound,screen
670,658845931,EyesNotFound,screen
671,658862586,EyesNotFound,screen
672,658879240,EyesNotFound,screen
673,658895895,EyesNotFound,screen
674,658912550,EyesNotFound,screen
675,658929205,EyesNotFound,screen
676,658945859,EyesNotFound,screen
677,658962514,EyesNotFound,screen
678,658979168,EyesNotFound,screen
679,658995822,EyesNotFound,screen
680,659012477,EyesNotFound,screen
681,659029132,EyesNotFound,screen
682,659045786,EyesNotFound,screen
683,659062441,EyesNotFound,screen
684,659079096,EyesNotFound,screen
685,659095750,EyesNotFound,screen
686,659112405,EyesNotFound,screen
687,659129059,EyesNotFound,screen
688,659145713,EyesNotFound,screen
689,659162368,EyesNotFound,screen
690,659179023,EyesNotFound,screen
691,659195678,EyesNotFound,screen
692,659212332,EyesNotFound,screen
693,659228987,EyesNotFound,screen
694,659245642,EyesNotFound,screen
695,659262296,EyesNotFound,screen
696,659278950,EyesNotFound,screen
697,659295605,EyesNotFound,screen
698,659312259,EyesNotFound,screen
699,659328914,EyesNotFound,screen
700,659345569,EyesNotFound,screen
701,659362223,EyesNotFound,screen
702,659378878,EyesNotFound,screen
703,659395533,EyesNotFound,screen
704,659412187,EyesNotFound,screen
705,659428841,EyesNotFound,screen
706,659445496,EyesNotFound,screen
707,659462151,EyesNotFound,screen
708,659478805,EyesNotFound,screen
709,659495460,EyesNotFound,screen
710,659512115,EyesNotFound,screen
711,659528769,EyesNotFound,screen
712,659545424,EyesNotFound,screen
713,659562079,EyesNotFound,screen
714,659578732,EyesNotFound,screen
715,659595387,EyesNotFound,screen
716,659612042,EyesNotFound,screen
717,659628696,EyesNotFound,screen
718,659645351,EyesNotFound,screen
719,659662006,EyesNotFound,screen
720,659678660,EyesNotFound,screen
721,659695315,EyesNotFound,screen
722,659711970,EyesNotFound,screen
723,659728624,EyesNotFound,screen
724,659745278,EyesNotFound,screen
725,659761933,EyesNotFound,screen
726,659778588,EyesNotFound,screen
727,659795242,EyesNotFound,screen
728,659811897,EyesNotFound,screen
729,659828552,EyesNotFound,screen
730,659845206,EyesNotFound,screen
731,659861861,EyesNotFound,screen
732,659878515,EyesNotFound,screen
733,659895169,EyesNotFound,screen
734,659911824,EyesNotFound,screen
735,659928479,EyesNotFound,screen
736,659945133,EyesNotFound,screen
737,659961788,EyesNotFound,screen
738,659978443,EyesNotFound,screen
