Number,fusion,Classifier,precision,recall,f1-score,accuracy
1,webcam10,Random Forest,0.6177430709666817,0.5763822041219301,0.5733297349959183,0.5763822041219301
2,webcam10,SVM,0.6450937326047134,0.6170276440824386,0.5590107234012529,0.6170276440824386
3,webcam10,Gradient Boosting,0.6219955091221049,0.5707536303426715,0.5672873193453305,0.5707536303426715
4,webcam10,K-Nearest Neighbors,0.6044447055690203,0.527360236949278,0.5289395668916643,0.527360236949278
5,webcam10,AdaBoost,0.6132797512678692,0.5488337652721215,0.5532354138066288,0.5488337652721215
6,webcam10,Logistic Regression,0.6022290485113565,0.5649707927105188,0.5600410822215804,0.5649707927105188
7,webcam10,Multi-Layer Perceptron,0.604970080825703,0.5621940433584268,0.5586827779398413,0.5621940433584268
8,webcam10,Gaussian Naive Bayes,0.5967748075957069,0.6388724340779135,0.589100512257143,0.6388724340779135
9,webcam10,Decision Tree,0.5674790634345517,0.4968087950964664,0.5175838853874846,0.4968087950964664
10,webcam10,Linear Discriminant Analysis,0.6149412537609142,0.5597175943066354,0.5696761607386439,0.5597175943066354
11,webcam10,Bagging,0.58137678714155,0.5323172487556049,0.5355792354351144,0.5323172487556049
12,webcam10,Extra Trees,0.5999352354804314,0.5569398165288575,0.5520025545322654,0.5569398165288575
13,webcam10,Gaussian Process,0.6039768095330931,0.5406876054136328,0.5470957264200866,0.5406876054136328
14,webcam10,Ridge,0.6177604856967756,0.5678257024147435,0.5662135285304829,0.5678257024147435
15,webcam10,Linear Support Vector Classifier,0.6139463928202568,0.5651229997120408,0.5729067378023485,0.5651229997120408
16,webcam10,Calibrated Classifier,0.6957147262469322,0.6550835081657,0.5381751570350143,0.6550835081657
17,webcam10,Histogram Gradient Boosting,0.6198849483509126,0.5735684314451438,0.5750001244399301,0.5735684314451438
18,webcam10,Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
19,tobii-eyetracker10,Random Forest,0.5721828234738258,0.6103913273400317,0.5698805174714849,0.6103913273400317
20,tobii-eyetracker10,SVM,0.6732106521599366,0.6199612198131501,0.5321822161840595,0.6199612198131501
21,tobii-eyetracker10,Gradient Boosting,0.5456985500710353,0.5838357130266173,0.5556583958409431,0.5838357130266173
22,tobii-eyetracker10,K-Nearest Neighbors,0.5254287917837026,0.5574969152124096,0.5306302004468814,0.5574969152124096
23,tobii-eyetracker10,AdaBoost,0.5710330698964379,0.5641001233915036,0.5529925573044159,0.5641001233915036
24,tobii-eyetracker10,Logistic Regression,0.5785792788389904,0.5969416534461484,0.5502732266480039,0.5969416534461484
25,tobii-eyetracker10,Multi-Layer Perceptron,0.5214510758380126,0.5414718843645338,0.5164879372235849,0.5414718843645338
26,tobii-eyetracker10,Gaussian Naive Bayes,0.6175746453626509,0.389400669839591,0.2738055584641542,0.389400669839591
27,tobii-eyetracker10,Decision Tree,0.547389070699821,0.5182513661202186,0.5256569136756706,0.5182513661202186
28,tobii-eyetracker10,Linear Discriminant Analysis,0.5899888335008896,0.5612444914507315,0.5302058878630866,0.5612444914507315
29,tobii-eyetracker10,Bagging,0.5661170188879304,0.5839414771725717,0.569362058650787,0.5839414771725717
30,tobii-eyetracker10,Extra Trees,0.5626139097980175,0.6298484047241317,0.5721743721425765,0.6298484047241317
31,tobii-eyetracker10,Gaussian Process,0.5773202293933216,0.5671672836241848,0.5590004720024118,0.5671672836241848
32,tobii-eyetracker10,Ridge,0.6289346598997577,0.6067794817556849,0.5639233612443038,0.6067794817556849
33,tobii-eyetracker10,Linear Support Vector Classifier,0.6073906089709263,0.6035007932310947,0.5661140988508551,0.6035007932310947
34,tobii-eyetracker10,Calibrated Classifier,0.7794936886571138,0.6591468358893001,0.525581821772936,0.6591468358893001
35,tobii-eyetracker10,Histogram Gradient Boosting,0.531940396603962,0.5675497972853869,0.5378304251482185,0.5675497972853869
36,tobii-eyetracker10,Dummy Classifier,0.7794936886571138,0.6591468358893001,0.525581821772936,0.6591468358893001
37,feature fusion10,Random Forest,0.6077625777976371,0.622996632996633,0.5872777540700925,0.622996632996633
38,feature fusion10,SVM,0.7413082305535136,0.6593650793650794,0.5587726979392912,0.6593650793650794
39,feature fusion10,Gradient Boosting,0.587049695892503,0.5833886483886483,0.5600488707296267,0.5833886483886483
40,feature fusion10,K-Nearest Neighbors,0.5820189560131623,0.5976719576719577,0.5728431279378517,0.5976719576719577
41,feature fusion10,AdaBoost,0.5624739750005707,0.5064766714766715,0.5117737460837221,0.5064766714766715
42,feature fusion10,Logistic Regression,0.6694174458883717,0.6273665223665224,0.6326053222945626,0.6273665223665224
43,feature fusion10,Multi-Layer Perceptron,0.6585107695122672,0.6415151515151515,0.6353011543898278,0.6415151515151515
44,feature fusion10,Gaussian Naive Bayes,0.6051689941993876,0.373035113035113,0.3482679623378638,0.373035113035113
