Number,fusion,Classifier,precision,recall,f1-score,accuracy
1,webcam25,Random Forest,0.6325148472692446,0.5846404623801884,0.5823500280006133,0.5846404623801884
2,webcam25,SVM,0.6533756169592378,0.6361327080505162,0.5786474887038949,0.6361327080505162
3,webcam25,Gradient Boosting,0.6181090046238746,0.5626074704841828,0.563493913129528,0.5626074704841828
4,webcam25,K-Nearest Neighbors,0.6325962584310313,0.5574653420543831,0.5615879664612372,0.5574653420543831
5,webcam25,AdaBoost,0.5719391228248101,0.5135484799868361,0.5218843608952988,0.5135484799868361
6,webcam25,Logistic Regression,0.5862103303181729,0.5350919412563249,0.5328980536588925,0.5350919412563249
7,webcam25,Multi-Layer Perceptron,0.6264968234651943,0.5599047677814801,0.5621015960918195,0.5599047677814801
8,webcam25,Gaussian Naive Bayes,0.6991093489538337,0.4268851042823646,0.3535677976736743,0.4268851042823646
9,webcam25,Decision Tree,0.5904489097202352,0.5406855485622609,0.5549375921272753,0.5406855485622609
10,webcam25,Linear Discriminant Analysis,0.5800822610402223,0.4942171623678472,0.5018624687843766,0.4942171623678472
11,webcam25,Bagging,0.6251436616572525,0.570791682093052,0.5789816952585582,0.570791682093052
12,webcam25,Extra Trees,0.6117239039606601,0.5627195688839525,0.5689910227022413,0.5627195688839525
13,webcam25,Gaussian Process,0.6148774640044488,0.5598327779834629,0.5667338331429217,0.5598327779834629
14,webcam25,Ridge,0.5779857666237846,0.5186525566662554,0.5178338651540374,0.5186525566662554
15,webcam25,Linear Support Vector Classifier,0.5797380815172344,0.5106565469579168,0.5187961062587557,0.5106565469579168
16,webcam25,Calibrated Classifier,0.7566263717743901,0.6469023818338886,0.524221287645124,0.6469023818338886
17,webcam25,Histogram Gradient Boosting,0.6190310866023616,0.5655353984121108,0.5671033089115682,0.5655353984121108
18,webcam25,Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
19,tobii-eyetracker25,Random Forest,0.5527171164395897,0.6020928462709285,0.5383703046196457,0.6020928462709285
20,tobii-eyetracker25,SVM,0.5820613063525599,0.6102739726027397,0.524810691432451,0.6102739726027397
21,tobii-eyetracker25,Gradient Boosting,0.5673327943062617,0.6022450532724506,0.5588801206488456,0.6022450532724506
22,tobii-eyetracker25,K-Nearest Neighbors,0.5265072135971887,0.5416286149162861,0.5319396227022715,0.5416286149162861
23,tobii-eyetracker25,AdaBoost,0.5011786676937913,0.5192541856925419,0.5004453229849353,0.5192541856925419
24,tobii-eyetracker25,Logistic Regression,0.5726587603085737,0.613013698630137,0.5773395112629235,0.613013698630137
25,tobii-eyetracker25,Multi-Layer Perceptron,0.58888935494089,0.6049086757990867,0.5909334133199723,0.6049086757990867
26,tobii-eyetracker25,Gaussian Naive Bayes,0.5991904507334469,0.5300608828006088,0.5321175197664644,0.5300608828006088
27,tobii-eyetracker25,Decision Tree,0.5781247456350171,0.5719558599695587,0.5609342310538592,0.5719558599695587
28,tobii-eyetracker25,Linear Discriminant Analysis,0.588154590243411,0.6211187214611871,0.5965784847156604,0.6211187214611871
29,tobii-eyetracker25,Bagging,0.5651876868129468,0.5661339421613394,0.5501080113198851,0.5661339421613394
30,tobii-eyetracker25,Extra Trees,0.5742041561150151,0.596537290715373,0.5278033204308232,0.596537290715373
