Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
112,23/02/2023 11:05:14,0.0,0,2.6161082,156966492.0,P16,128740664.0,286821702.0,play,pause,01:02:08.740664,01:04:46.821702,179740664.0,159740664.0
112,23/02/2023 11:05:14,0.0,0,2.6161082,156966492.0,P16,128740664.0,286821702.0,play,pause,01:02:08.740664,01:04:46.821702,203740664.0,183740664.0
112,23/02/2023 11:05:14,0.0,0,2.6161082,156966492.0,P16,128740664.0,286821702.0,play,pause,01:02:08.740664,01:04:46.821702,231740664.0,211740664.0
112,23/02/2023 11:05:14,0.0,0,2.6161082,156966492.0,P16,128740664.0,286821702.0,play,pause,01:02:08.740664,01:04:46.821702,262740664.0,242740664.0
113,23/02/2023 11:07:44,157.084558,157084558,1.187128483,71227708.98,P16,298301691.0,369581325.0,play,fb,01:04:58.301691,01:06:09.581325,303217133.0,283217133.0
113,23/02/2023 11:07:44,157.084558,157084558,1.187128483,71227708.98,P16,298301691.0,369581325.0,play,fb,01:04:58.301691,01:06:09.581325,320217133.0,300217133.0
115,23/02/2023 11:09:14,185.199351,185199351,0.483554883,29013292.98,P16,371837317.0,401397072.0,ff,ff,01:06:11.837317,01:06:41.397072,375637966.0,355637966.0
115,23/02/2023 11:09:14,185.199351,185199351,0.483554883,29013292.98,P16,371837317.0,401397072.0,ff,ff,01:06:11.837317,01:06:41.397072,375637966.0,355637966.0
115,23/02/2023 11:09:14,185.199351,185199351,0.483554883,29013292.98,P16,371837317.0,401397072.0,ff,ff,01:06:11.837317,01:06:41.397072,385637966.0,365637966.0
115,23/02/2023 11:09:14,185.199351,185199351,0.483554883,29013292.98,P16,371837317.0,401397072.0,ff,ff,01:06:11.837317,01:06:41.397072,399637966.0,379637966.0
116,23/02/2023 11:09:44,214.553547,214553547,1.481221133,88873267.98,P16,401397072.0,491372559.0,ff,fb,01:06:41.397072,01:08:11.372559,411843525.0,391843525.0
116,23/02/2023 11:09:44,214.553547,214553547,1.481221133,88873267.98,P16,401397072.0,491372559.0,ff,fb,01:06:41.397072,01:08:11.372559,411843525.0,391843525.0
120,23/02/2023 11:11:14,286.93,286930000,2.555571333,153334280.0,P16,505242345.0,658000000.0,ff,,01:08:25.242345,01:10:58,531312345.0,511312345.0
120,23/02/2023 11:11:14,286.93,286930000,2.555571333,153334280.0,P16,505242345.0,658000000.0,ff,,01:08:25.242345,01:10:58,556312345.0,536312345.0
120,23/02/2023 11:11:14,286.93,286930000,2.555571333,153334280.0,P16,505242345.0,658000000.0,ff,,01:08:25.242345,01:10:58,559312345.0,539312345.0
116,23/02/2023 11:09:44,214.553547,214553547,1.481221133,88873267.98,P16,401397072.0,491372559.0,ff,fb,01:06:41.397072,01:08:11.372559,422843525.0,402843525.0
120,23/02/2023 11:11:14,286.93,286930000,2.555571333,153334280.0,P16,505242345.0,658000000.0,ff,,01:08:25.242345,01:10:58,620312345.0,600312345.0
120,23/02/2023 11:11:14,286.93,286930000,2.555571333,153334280.0,P16,505242345.0,658000000.0,ff,,01:08:25.242345,01:10:58,507312345.0,487312345.0
120,23/02/2023 11:11:14,286.93,286930000,2.555571333,153334280.0,P16,505242345.0,658000000.0,ff,,01:08:25.242345,01:10:58,569312345.0,549312345.0
