Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
66,10/2/2023 13:42,40.16,40160000,0.888947917,53336875.02,P09,297852645.0,351572340.0,play,fb,01:04:57.852645,01:05:51.572340,308692645.0,288692645.0
66,10/2/2023 13:42,40.16,40160000,0.888947917,53336875.02,P09,297852645.0,351572340.0,play,fb,01:04:57.852645,01:05:51.572340,332692645.0,312692645.0
69,10/2/2023 13:45,100.62,100620000,0.033037467,1982248.02,P09,424724045.0,427011945.0,play,fb,01:07:04.724045,01:07:07.011945,427104045.0,407104045.0
69,10/2/2023 13:45,100.62,100620000,0.033037467,1982248.02,P09,424724045.0,427011945.0,play,fb,01:07:04.724045,01:07:07.011945,458104045.0,438104045.0
72,10/2/2023 13:47,161.146746,161146746,0.481569733,28894183.98,P09,550739409.0,580267260.0,play,pause,01:09:10.739409,01:09:40.267260,551592663.0,531592663.0
72,10/2/2023 13:47,161.146746,161146746,0.481569733,28894183.98,P09,550739409.0,580267260.0,play,pause,01:09:10.739409,01:09:40.267260,568592663.0,548592663.0
72,10/2/2023 13:47,161.146746,161146746,0.481569733,28894183.98,P09,550739409.0,580267260.0,play,pause,01:09:10.739409,01:09:40.267260,578592663.0,558592663.0
72,10/2/2023 13:47,161.146746,161146746,0.481569733,28894183.98,P09,550739409.0,580267260.0,play,pause,01:09:10.739409,01:09:40.267260,578592663.0,558592663.0
73,10/2/2023 13:47,190.146746,190146746,1.467618233,88057093.98,P09,588907150.0,677226741.0,play,pause,01:09:48.907150,01:11:17.226741,597760404.0,577760404.0
73,10/2/2023 13:47,190.146746,190146746,1.467618233,88057093.98,P09,588907150.0,677226741.0,play,pause,01:09:48.907150,01:11:17.226741,611760404.0,591760404.0
73,10/2/2023 13:47,190.146746,190146746,1.467618233,88057093.98,P09,588907150.0,677226741.0,play,pause,01:09:48.907150,01:11:17.226741,623760404.0,603760404.0
73,10/2/2023 13:47,190.146746,190146746,1.467618233,88057093.98,P09,588907150.0,677226741.0,play,pause,01:09:48.907150,01:11:17.226741,623760404.0,603760404.0
74,10/2/2023 13:49,274.09,274090000,1.885510617,113130637.0,P09,697162620.0,810514035.0,play,pause,01:11:37.162620,01:13:30.514035,736072620.0,716072620.0
76,10/2/2023 13:52,400.381178,400381178,0.664221933,39853315.98,P09,876521686.0,916000000.0,play,,01:14:36.521686,01:15:16,814140508.0,794140508.0
76,10/2/2023 13:52,400.381178,400381178,0.664221933,39853315.98,P09,876521686.0,916000000.0,play,,01:14:36.521686,01:15:16,817140508.0,797140508.0
73,10/2/2023 13:47,190.146746,190146746,1.467618233,88057093.98,P09,588907150.0,677226741.0,play,pause,01:09:48.907150,01:11:17.226741,634760404.0,614760404.0
76,10/2/2023 13:52,400.381178,400381178,0.664221933,39853315.98,P09,876521686.0,916000000.0,play,,01:14:36.521686,01:15:16,878140508.0,858140508.0
74,10/2/2023 13:49,274.09,274090000,1.885510617,113130637.0,P09,697162620.0,810514035.0,play,pause,01:11:37.162620,01:13:30.514035,712072620.0,692072620.0
76,10/2/2023 13:52,400.381178,400381178,0.664221933,39853315.98,P09,876521686.0,916000000.0,play,,01:14:36.521686,01:15:16,827140508.0,807140508.0
