Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
211,24/02/2023 15:11:48,0.0,0,1.682169517,100930171.0,P23,174516416.0,275907952.0,play,pause,01:02:54.516416,01:04:35.907952,225516416.0,205516416.0
211,24/02/2023 15:11:48,0.0,0,1.682169517,100930171.0,P23,174516416.0,275907952.0,play,pause,01:02:54.516416,01:04:35.907952,249516416.0,229516416.0
214,24/02/2023 15:15:18,101.184389,101184389,0.780697983,46841878.98,P23,385659493.0,432571281.0,play,pause,01:06:25.659493,01:07:12.571281,387475104.0,367475104.0
214,24/02/2023 15:15:18,101.184389,101184389,0.780697983,46841878.98,P23,385659493.0,432571281.0,play,pause,01:06:25.659493,01:07:12.571281,418475104.0,398475104.0
216,24/02/2023 15:17:18,160.534634,160534634,0.164729717,9883783.02,P23,514674810.0,525074793.0,play,pause,01:08:34.674810,01:08:45.074793,516140176.0,496140176.0
217,24/02/2023 15:17:48,170.45329,170453290,0.270799633,16247977.98,P23,542922706.0,559890826.0,play,pause,01:09:02.922706,01:09:19.890826,551469416.0,531469416.0
218,24/02/2023 15:18:18,186.752129,186752129,0.131859367,7911562.02,P23,586810552.0,595122412.0,play,pause,01:09:46.810552,01:09:55.122412,589058423.0,569058423.0
218,24/02/2023 15:18:18,186.752129,186752129,0.131859367,7911562.02,P23,586810552.0,595122412.0,play,pause,01:09:46.810552,01:09:55.122412,589058423.0,569058423.0
223,24/02/2023 15:20:48,196.81,196810000,1.48569595,89141757.0,P23,723137848.0,812425395.0,play,pause,01:12:03.137848,01:13:32.425395,725327848.0,705327848.0
221,24/02/2023 15:19:48,205.195907,205195907,0.515680517,30940831.02,P23,679930147.0,710945869.0,play,pause,01:11:19.930147,01:11:50.945869,687734240.0,667734240.0
221,24/02/2023 15:19:48,205.195907,205195907,0.515680517,30940831.02,P23,679930147.0,710945869.0,play,pause,01:11:19.930147,01:11:50.945869,699734240.0,679734240.0
221,24/02/2023 15:19:48,205.195907,205195907,0.515680517,30940831.02,P23,679930147.0,710945869.0,play,pause,01:11:19.930147,01:11:50.945869,699734240.0,679734240.0
227,24/02/2023 15:23:18,301.548335,301548335,0.555035717,33302143.02,P23,889177024.0,923024862.0,play,pause,01:14:49.177024,01:15:23.024862,900628689.0,880628689.0
228,24/02/2023 15:24:18,334.934076,334934076,0.9467794,56806764.0,P23,952080664.0,1009480464.0,play,pause,01:15:52.080664,01:16:49.480464,955146588.0,935146588.0
228,24/02/2023 15:24:18,334.934076,334934076,0.9467794,56806764.0,P23,952080664.0,1009480464.0,play,pause,01:15:52.080664,01:16:49.480464,958146588.0,938146588.0
221,24/02/2023 15:19:48,205.195907,205195907,0.515680517,30940831.02,P23,679930147.0,710945869.0,play,pause,01:11:19.930147,01:11:50.945869,710734240.0,690734240.0
229,24/02/2023 15:25:48,391.854076,391854076,0.1944483,11666898.0,P23,1015504482.0,1027288401.0,play,fb,01:16:55.504482,01:17:07.288401,1025650406.0,1005650406.0
224,24/02/2023 15:22:48,286.036637,286036637,0.2969648,17817888.0,P23,833353286.0,851633179.0,play,fb,01:13:53.353286,01:14:11.633179,836316649.0,816316649.0
228,24/02/2023 15:24:18,334.934076,334934076,0.9467794,56806764.0,P23,952080664.0,1009480464.0,play,pause,01:15:52.080664,01:16:49.480464,968146588.0,948146588.0
