Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
51,9/2/2023 16:09,0.0,0,1.44684645,86810787.0,P07,238998384.0,326229228.0,play,pause,01:03:58.998384,01:05:26.229228,289998384.0,269998384.0
51,9/2/2023 16:09,0.0,0,1.44684645,86810787.0,P07,238998384.0,326229228.0,play,pause,01:03:58.998384,01:05:26.229228,313998384.0,293998384.0
52,9/2/2023 16:11,86.962783,86962783,1.148835583,68930134.98,P07,340893098.0,409956926.0,play,pause,01:05:40.893098,01:06:49.956926,356930315.0,336930315.0
52,9/2/2023 16:11,86.962783,86962783,1.148835583,68930134.98,P07,340893098.0,409956926.0,play,pause,01:05:40.893098,01:06:49.956926,387930315.0,367930315.0
54,9/2/2023 16:12,158.7,158700000,0.433550017,26013001.02,P07,421588845.0,447732556.0,play,pause,01:07:01.588845,01:07:27.732556,424888845.0,404888845.0
54,9/2/2023 16:12,158.7,158700000,0.433550017,26013001.02,P07,421588845.0,447732556.0,play,pause,01:07:01.588845,01:07:27.732556,441888845.0,421888845.0
55,9/2/2023 16:13,184.84,184840000,0.599819567,35989174.02,P07,453500637.0,489757370.0,play,fb,01:07:33.500637,01:08:09.757370,457660637.0,437660637.0
55,9/2/2023 16:13,184.84,184840000,0.599819567,35989174.02,P07,453500637.0,489757370.0,play,fb,01:07:33.500637,01:08:09.757370,457660637.0,437660637.0
55,9/2/2023 16:13,184.84,184840000,0.599819567,35989174.02,P07,453500637.0,489757370.0,play,fb,01:07:33.500637,01:08:09.757370,467660637.0,447660637.0
57,9/2/2023 16:14,202.89689,202896890,0.023566083,1413964.98,P07,536828192.0,538941353.0,fb,pause,01:08:56.828192,01:08:58.941353,546931302.0,526931302.0
57,9/2/2023 16:14,202.89689,202896890,0.023566083,1413964.98,P07,536828192.0,538941353.0,fb,pause,01:08:56.828192,01:08:58.941353,558931302.0,538931302.0
57,9/2/2023 16:14,202.89689,202896890,0.023566083,1413964.98,P07,536828192.0,538941353.0,fb,pause,01:08:56.828192,01:08:58.941353,558931302.0,538931302.0
61,9/2/2023 16:16,298.84,298840000,2.16373315,129823989.0,P07,639980792.0,770436081.0,fb,fb,01:10:39.980792,01:12:50.436081,654140792.0,634140792.0
61,9/2/2023 16:16,298.84,298840000,2.16373315,129823989.0,P07,639980792.0,770436081.0,fb,fb,01:10:39.980792,01:12:50.436081,679140792.0,659140792.0
61,9/2/2023 16:16,298.84,298840000,2.16373315,129823989.0,P07,639980792.0,770436081.0,fb,fb,01:10:39.980792,01:12:50.436081,682140792.0,662140792.0
58,9/2/2023 16:14,230.67,230670000,0.832490817,49949449.02,P07,541948111.0,592124828.0,play,fb,01:09:01.948111,01:09:52.124828,547278111.0,527278111.0
62,9/2/2023 16:18,415.81,415810000,0.4077561,24465366.0,P07,770436081.0,794000000.0,fb,,01:12:50.436081,01:13:14,756626081.0,736626081.0
60,9/2/2023 16:15,285.054852,285054852,0.398363617,23901817.02,P07,615923771.0,639980792.0,play,fb,01:10:15.923771,01:10:39.980792,619868919.0,599868919.0
61,9/2/2023 16:16,298.84,298840000,2.16373315,129823989.0,P07,639980792.0,770436081.0,fb,fb,01:10:39.980792,01:12:50.436081,692140792.0,672140792.0
