Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
254,28/02/2023 13:37:02,0.0,0,1.165229033,69913741.98,P25,143067010.0,213348605.0,play,pause,01:02:23.067010,01:03:33.348605,194067010.0,174067010.0
255,28/02/2023 13:38:02,69.980734,69980734,0.231101617,13866097.02,P25,225244500.0,239164500.0,play,pause,01:03:45.244500,01:03:59.164500,230263766.0,210263766.0
256,28/02/2023 13:39:02,83.863204,83863204,1.058453117,63507187.02,P25,262900319.0,327220091.0,play,pause,01:04:22.900319,01:05:27.220091,282037115.0,262037115.0
256,28/02/2023 13:39:02,83.863204,83863204,1.058453117,63507187.02,P25,262900319.0,327220091.0,play,pause,01:04:22.900319,01:05:27.220091,313037115.0,293037115.0
260,28/02/2023 13:41:02,158.101945,158101945,0.323324883,19399492.98,P25,406169575.0,426233794.0,play,pause,01:06:46.169575,01:07:06.233794,410067630.0,390067630.0
261,28/02/2023 13:42:02,178.621945,178621945,0.081796567,4907794.02,P25,448675654.0,453691487.0,play,pause,01:07:28.675654,01:07:33.691487,449053709.0,429053709.0
265,28/02/2023 13:43:02,185.214332,185214332,0.066224833,3973489.98,P25,522259337.0,526867376.0,play,pause,01:08:42.259337,01:08:46.867376,526045005.0,506045005.0
265,28/02/2023 13:43:02,185.214332,185214332,0.066224833,3973489.98,P25,522259337.0,526867376.0,play,pause,01:08:42.259337,01:08:46.867376,526045005.0,506045005.0
266,28/02/2023 13:43:32,189.209061,189209061,0.182515817,10950949.02,P25,542883202.0,554059106.0,play,pause,01:09:02.883202,01:09:14.059106,552674141.0,532674141.0
268,28/02/2023 13:44:32,212.135085,212135085,0.107309567,6438574.02,P25,593370894.0,599931048.0,play,pause,01:09:53.370894,01:09:59.931048,594235809.0,574235809.0
271,28/02/2023 13:45:02,224.616232,224616232,0.1141374,6848244.0,P25,638930745.0,646466813.0,play,pause,01:10:38.930745,01:10:46.466813,639314513.0,619314513.0
271,28/02/2023 13:45:02,224.616232,224616232,0.1141374,6848244.0,P25,638930745.0,646466813.0,play,pause,01:10:38.930745,01:10:46.466813,639314513.0,619314513.0
298,28/02/2023 13:56:02,311.565015,311565015,0.082207883,4932472.98,P25,1282797951.0,1288541937.0,play,pause,01:21:22.797951,01:21:28.541937,1284232936.0,1264232936.0
309,28/02/2023 13:58:32,336.301634,336301634,0.040132633,2407957.98,P25,1446669235.0,1449237215.0,play,pause,01:24:06.669235,01:24:09.237215,1448367601.0,1428367601.0
311,28/02/2023 13:59:02,340.866951,340866951,0.052026067,3121564.02,P25,1479085182.0,1482333070.0,play,fb,01:24:39.085182,01:24:42.333070,1479218231.0,1459218231.0
272,28/02/2023 13:45:33,231.483171,231483171,0.140334933,8420095.98,P25,672258569.0,680978507.0,play,pause,01:11:12.258569,01:11:20.978507,676775398.0,656775398.0
338,28/02/2023 14:08:02,400.910777,400910777,0.042018583,2521114.98,P25,2024250804.0,2027386919.0,play,pause,01:33:44.250804,01:33:47.386919,2025340027.0,2005340027.0
290,28/02/2023 13:53:02,288.844671,288844671,0.12795425,7677255.0,P25,1111646643.0,1119654622.0,fb,pause,01:18:31.646643,01:18:39.654622,1111801972.0,1091801972.0
316,28/02/2023 14:00:03,350.427723,350427723,0.04914855,2948913.0,P25,1548340836.0,1552004840.0,play,pause,01:25:48.340836,01:25:52.004840,1548913113.0,1528913113.0
