Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,result,result -20
90,14/02/2023 16:08:38,2.64,2640000,2.696744317,161804659.0,P13,41312073.0,203281357.0,play,fb,01:00:41.312073,01:03:23.281357,89672073.0,69672073.0
90,14/02/2023 16:08:38,2.64,2640000,2.696744317,161804659.0,P13,41312073.0,203281357.0,play,fb,01:00:41.312073,01:03:23.281357,113672073.0,93672073.0
90,14/02/2023 16:08:38,2.64,2640000,2.696744317,161804659.0,P13,41312073.0,203281357.0,play,fb,01:00:41.312073,01:03:23.281357,141672073.0,121672073.0
91,14/02/2023 16:11:08,120.309041,120309041,0.364749433,21884965.98,P13,203281357.0,225393315.0,fb,pause,01:03:23.281357,01:03:45.393315,216972316.0,196972316.0
93,14/02/2023 16:12:08,158.040335,158040335,0.442095283,26525716.98,P13,259081134.0,286232951.0,play,pause,01:04:19.081134,01:04:46.232951,263040799.0,243040799.0
93,14/02/2023 16:12:08,158.040335,158040335,0.442095283,26525716.98,P13,259081134.0,286232951.0,play,pause,01:04:19.081134,01:04:46.232951,280040799.0,260040799.0
94,14/02/2023 16:13:08,185.060335,185060335,0.529110633,31746637.98,P13,305169046.0,337000741.0,play,pause,01:05:05.169046,01:05:37.000741,309108711.0,289108711.0
94,14/02/2023 16:13:08,185.060335,185060335,0.529110633,31746637.98,P13,305169046.0,337000741.0,play,pause,01:05:05.169046,01:05:37.000741,309108711.0,289108711.0
94,14/02/2023 16:13:08,185.060335,185060335,0.529110633,31746637.98,P13,305169046.0,337000741.0,play,pause,01:05:05.169046,01:05:37.000741,319108711.0,299108711.0
94,14/02/2023 16:13:08,185.060335,185060335,0.529110633,31746637.98,P13,305169046.0,337000741.0,play,pause,01:05:05.169046,01:05:37.000741,333108711.0,313108711.0
95,14/02/2023 16:13:38,216.883765,216883765,0.484443583,29066614.98,P13,349176742.0,378288751.0,play,pause,01:05:49.176742,01:06:18.288751,357292977.0,337292977.0
95,14/02/2023 16:13:38,216.883765,216883765,0.484443583,29066614.98,P13,349176742.0,378288751.0,play,pause,01:05:49.176742,01:06:18.288751,357292977.0,337292977.0
100,14/02/2023 16:15:38,290.293493,290293493,0.751873167,45112390.02,P13,475144139.0,520920038.0,play,pause,01:07:55.144139,01:08:40.920038,497850646.0,477850646.0
101,14/02/2023 16:16:38,335.49507,335495070,0.65445475,39267285.0,P13,530055962.0,569399685.0,play,pause,01:08:50.055962,01:09:29.399685,532560892.0,512560892.0
101,14/02/2023 16:16:38,335.49507,335495070,0.65445475,39267285.0,P13,530055962.0,569399685.0,play,pause,01:08:50.055962,01:09:29.399685,535560892.0,515560892.0
95,14/02/2023 16:13:38,216.883765,216883765,0.484443583,29066614.98,P13,349176742.0,378288751.0,play,pause,01:05:49.176742,01:06:18.288751,368292977.0,348292977.0
105,14/02/2023 16:19:38,420.346018,420346018,0.332250683,19935040.98,P13,718623055.0,737000000.0,play,,01:11:58.623055,01:12:17,700277037.0,680277037.0
99,14/02/2023 16:15:08,263.864538,263864538,0.4394267,26365602.0,P13,430848459.0,457344286.0,play,pause,01:07:10.848459,01:07:37.344286,455983921.0,435983921.0
101,14/02/2023 16:16:38,335.49507,335495070,0.65445475,39267285.0,P13,530055962.0,569399685.0,play,pause,01:08:50.055962,01:09:29.399685,545560892.0,525560892.0
